datetime,cpu,mem
Sun Oct 23 14:51:33 GMT 2022,0.1,1220055
Sun Oct 23 14:51:34 GMT 2022,10,1222330
Sun Oct 23 14:51:36 GMT 2022,10,1193986
Sun Oct 23 14:51:38 GMT 2022,10,1215592
Sun Oct 23 14:51:41 GMT 2022,0.1,1225399
Sun Oct 23 14:51:44 GMT 2022,0.1,1211483
Sun Oct 23 14:51:46 GMT 2022,0.1,1206336
Sun Oct 23 14:51:49 GMT 2022,0.1,1207048
Sun Oct 23 14:51:51 GMT 2022,0.1,1210173
Sun Oct 23 14:51:54 GMT 2022,0.1,1194738
Sun Oct 23 14:51:55 GMT 2022,0.1,1190777
Sun Oct 23 14:51:57 GMT 2022,0.1,1192066
Sun Oct 23 14:51:59 GMT 2022,35,1191369
Sun Oct 23 14:52:01 GMT 2022,35,1190461
Sun Oct 23 14:52:03 GMT 2022,35,1193346
Sun Oct 23 14:52:05 GMT 2022,40,1192277
Sun Oct 23 14:52:07 GMT 2022,40,1192825
Sun Oct 23 14:52:09 GMT 2022,40,1187242
Sun Oct 23 14:52:11 GMT 2022,34,1187325
Sun Oct 23 14:52:13 GMT 2022,34,1190681
Sun Oct 23 14:52:15 GMT 2022,34,1193342
Sun Oct 23 14:52:16 GMT 2022,33,1191979
Sun Oct 23 14:52:18 GMT 2022,33,1191083
Sun Oct 23 14:52:21 GMT 2022,33,1192460
Sun Oct 23 14:52:23 GMT 2022,48,1190932
Sun Oct 23 14:52:25 GMT 2022,48,1191702
Sun Oct 23 14:52:27 GMT 2022,48,1191283
Sun Oct 23 14:52:29 GMT 2022,0.2,1190716
Sun Oct 23 14:52:31 GMT 2022,0.2,1192040
Sun Oct 23 14:52:33 GMT 2022,0.2,1193473
Sun Oct 23 14:52:35 GMT 2022,0.1,1194020
Sun Oct 23 14:52:37 GMT 2022,0.1,1192136
Sun Oct 23 14:52:39 GMT 2022,0.1,1193485
Sun Oct 23 14:52:41 GMT 2022,33,1192292
Sun Oct 23 14:52:43 GMT 2022,33,1193896
Sun Oct 23 14:52:45 GMT 2022,33,1206005
Sun Oct 23 14:52:47 GMT 2022,0.2,1176086
