Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1,1458054,278321
85,1599845,420112
186,2004384,824651
286,1087706,0
386,1752028,572295
487,2501129,1321396
590,2964152,1784419
691,2562090,1382357
791,1935229,755496
892,1745932,566199
993,1572776,393043
1093,1700247,520514
1194,2712284,1532551
1295,2472359,1292626
1396,1655247,475514
1497,1867270,687537
1597,2859355,1679622
1704,3558872,2379139
1803,3569383,2389650
1906,3886807,2707074
2006,3825428,2645695
2105,3617356,2437623
2205,3588676,2408943
2306,3548328,2368595
2407,3115982,1936249
2509,2377462,1197729
2611,2302213,1122480
2710,2674454,1494721
2808,2688396,1508663
2911,3257926,2078193
3009,3304495,2124762
3113,2562882,1383149
3219,1899082,719349
3318,1445350,265617
3418,1861215,681482
3517,2054808,875075
3615,1316288,136555
3719,957783,0
3818,1466860,287127
3918,1545731,365998
4018,1122696,0
4137,823039,0
4221,2943031,1763298
4320,3219721,2039988
4421,3381275,2201542
4521,3237873,2058140
4621,2513694,1333961
4722,1366479,186746
4822,1760834,581101
4924,1517051,337318
5023,2290553,1110820
5123,1552901,373168
5224,1491389,311656
5327,1086333,0
5427,2133266,953533
5531,1913748,734015
5630,2020693,840960
5734,1947520,767787
5834,2178296,998563
5941,2054465,874732
6035,2138895,959162
6145,2138895,959162
6235,2122009,942276
6336,1947520,767787
6434,2195182,1015449
6542,2138895,959162
6644,2082608,902875
6747,2195182,1015449
6847,2251468,1071735
6957,2200810,1021077
7043,2110752,931019
7145,2093865,914132
7246,2071351,891618
7351,2088237,908504
7457,2251468,1071735
7552,2178296,998563
7657,2060093,880360
7759,2031950,852217
7852,2122009,942276
7956,2065722,885989
8060,1925005,745272
8157,2082608,902875
8260,1711116,531383
8353,1896862,717129
8458,2003807,824074
8564,1930634,750901
8659,2251468,1071735
8766,2251468,1071735
8860,2195182,1015449
8977,2251468,1071735
9063,2195182,1015449
9168,1986921,807188
9269,2183924,1004191
9373,2138895,959162
9420,2060093,880360
9522,2026321,846588
9630,2060093,880360
9734,2138895,959162
9820,2003807,824074
9922,1891233,711500
10022,1660458,480725
10132,1722373,542640
10229,2195182,1015449
10329,2138895,959162
10426,2015064,835331
10537,2195182,1015449
10639,1964406,784673
10730,2195182,1015449
10830,2138895,959162
10935,2031950,852217
11031,1767403,587670
11137,1688601,508868
11233,1857461,677728
11338,1637943,458210
11431,1277708,97975
11534,1198907,19174
11634,1615428,435695
11736,1547884,368151
11834,1221421,41688
11936,956874,0
12035,1288965,109232
12134,1761774,582041
12236,1238307,58574
12332,1170763,0
12433,883694,0
12534,916980,0
12634,1796919,617186
12734,1546910,367177
12838,708251,0
12935,772973,0
13037,657126,0
13137,527053,0
13238,713412,0
13338,811445,0
13439,783302,0
13540,676357,0
13640,616819,0
13740,1203107,23374
13841,896348,0
13944,545671,0
14044,775073,0
14142,1046912,0
14244,767176,0
14346,545011,0
14445,699321,0
14551,507821,0
14651,1935302,755569
14751,1270165,90432
14856,1135077,0
14955,886464,0
15059,935712,0
15162,948710,0
15254,891187,0
15351,594259,0
15450,837711,0
15551,590554,0
15652,747228,0
15753,751469,0
15853,665359,0
15955,610675,0
16055,674500,0
16154,725512,0
16255,635086,0
16357,701972,0
16457,1046909,0
16557,597618,0
16659,786378,0
16759,742241,0
16860,538974,0
16960,500325,0
17061,484498,0
17165,533217,0
17263,577456,0
17364,429864,0
17463,764985,0
17565,584271,0
17666,531252,0
17768,502092,0
17870,467159,0
17970,504455,0
18075,419503,0
18172,474971,0
18272,689472,0
18372,796400,0
18476,905630,0
18578,705119,0
18675,820357,0
18775,601005,0
18875,491097,0
18977,524771,0
19078,474552,0
19177,631048,0
19278,696038,0
19379,611255,0
19479,1166052,0
19580,625463,0
19680,590976,0
19781,732333,0
19883,462101,0
19983,504057,0
20084,417589,0
20183,769509,0
20284,526699,0
20385,676802,0
20487,904735,0
20586,725203,0
20687,510223,0
20787,807667,0
20890,933417,0
20989,641155,0
21092,592631,0
21189,695281,0
21290,675333,0
21391,801339,0
21493,693249,0
21592,509004,0
21693,466020,0
21794,573291,0
21895,517017,0
21995,425520,0
22096,542937,0
22196,485891,0
22298,516343,0
22395,948729,0
22500,808017,0
22596,1011264,0
22698,997087,0
22798,774830,0
22899,556007,0
23003,888418,0
23099,224374,0
23200,673767,0
23301,809107,0
23402,855378,0
23504,695707,0
23605,739885,0
23704,824480,0
23807,714003,0
23910,699003,0
24008,1001651,0
24109,664927,0
24211,716353,0
24312,779533,0
24412,944709,0
24514,817172,0
24614,722356,0
24715,914280,0
24818,1061606,0
24915,990646,0
25016,740160,0
25066,766897,0
25166,971732,0
25268,865393,0
25367,752057,0
25468,1141360,0
25570,852261,0
25670,864972,0
25770,758725,0
25872,731912,0
25973,759325,0
26072,817286,0
26173,861327,0
26274,771433,0
26376,313300,0
26475,709106,0
26575,1081149,0
26680,790414,0
26776,1705487,525754
26882,2088237,908504
26978,1024418,0
27079,983351,0
27180,1156557,0
27279,978364,0
27382,825523,0
27481,617566,0
27582,613325,0
27683,561673,0
27784,471312,0
27887,462780,0
27986,472529,0
28087,480600,0
28188,541317,0
28289,603379,0
28390,521347,0
28490,830649,0
28591,452888,0
28693,513000,0
28792,999900,0
28893,727497,0
28993,508895,0
29096,564748,0
29195,547955,0
29295,484272,0
29399,774835,0
29496,777673,0
29597,852788,0
29699,829930,0
29799,715229,0
29899,685307,0
30001,538444,0
30099,748569,0
