datetime,cpu,mem
Sun Oct 23 14:54:05 GMT 2022,0.1,1260720
Sun Oct 23 14:54:08 GMT 2022,0.1,1273912
Sun Oct 23 14:54:11 GMT 2022,0.1,1189845
Sun Oct 23 14:54:16 GMT 2022,0.2,1245914
Sun Oct 23 14:54:20 GMT 2022,0.2,1271934
Sun Oct 23 14:54:24 GMT 2022,98,1272168
Sun Oct 23 14:54:28 GMT 2022,98,1280067
Sun Oct 23 14:54:31 GMT 2022,96,1278814
Sun Oct 23 14:54:34 GMT 2022,96,1289068
Sun Oct 23 14:54:37 GMT 2022,92,1300795
Sun Oct 23 14:54:40 GMT 2022,92,1304585
Sun Oct 23 14:54:43 GMT 2022,0.1,1296582
Sun Oct 23 14:54:46 GMT 2022,0.1,1303181
Sun Oct 23 14:54:48 GMT 2022,44,1288262
Sun Oct 23 14:54:51 GMT 2022,44,1288171
Sun Oct 23 14:54:53 GMT 2022,44,1287352
Sun Oct 23 14:54:56 GMT 2022,44,1288400
Sun Oct 23 14:54:59 GMT 2022,43,1286805
Sun Oct 23 14:55:01 GMT 2022,43,1287674
Sun Oct 23 14:55:04 GMT 2022,44,1287509
Sun Oct 23 14:55:06 GMT 2022,44,1287630
Sun Oct 23 14:55:09 GMT 2022,44,1286713
Sun Oct 23 14:55:11 GMT 2022,44,1288374
Sun Oct 23 14:55:14 GMT 2022,43,1285161
Sun Oct 23 14:55:16 GMT 2022,43,1285974
Sun Oct 23 14:55:19 GMT 2022,44,1285561
