Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
73,3573299,1112433
176,3931491,1470625
276,3646281,1185415
379,3770764,1309898
480,3405916,945050
577,3661573,1200707
684,3187654,726788
777,2958240,497374
877,3144662,683796
978,3194853,733987
1079,3280894,820028
1185,3144662,683796
1278,2649926,189060
1379,4567102,2106236
1479,3394350,933484
1588,3309574,848708
1678,3029941,569075
1783,3280026,819160
1884,3438636,977770
1989,3166172,705306
2096,3431466,970600
2187,3423427,962561
2281,3341877,881011
2390,3388445,927579
2489,2384632,0
2595,3052955,592089
2694,2251468,0
2801,2251468,0
2892,2138895,0
2994,2195182,0
3102,2251468,0
3198,2251468,0
3293,2251468,0
3394,2251468,0
3494,2251468,0
3610,2073265,0
3699,1840205,0
3802,1944933,0
3903,1944933,0
4003,1994803,0
4097,1994803,0
4202,1855166,0
4308,1880102,0
4414,1880102,0
4511,1994803,0
4612,1929972,0
4715,1850179,0
4807,1845192,0
4916,1745452,0
5008,1885089,0
5114,1895063,0
5224,1929972,0
5326,1994803,0
5438,1994803,0
5533,1934959,0
5611,1994803,0
5721,2161410,0
5832,2251468,0
5922,2251468,0
6025,2093865,0
6117,2195182,0
6223,2138895,0
6318,2251468,0
6417,2155781,0
6532,2719791,258925
6625,2595961,135095
6734,2719791,258925
6836,2719791,258925
6928,2251468,0
7036,2155781,0
7134,2251468,0
7250,2251468,0
7339,2183924,0
7429,2110752,0
7540,2251468,0
7642,2178296,0
7736,2178296,0
7839,2200810,0
7954,2251468,0
8034,2251468,0
8131,2251468,0
8240,2251468,0
8334,2195182,0
8440,2195182,0
8566,2150152,0
8661,2183924,0
8784,2251468,0
8858,2251468,0
8942,2251468,0
9078,2251468,0
9151,2251468,0
9256,2251468,0
9360,2251468,0
9454,2251468,0
9566,2195182,0
9605,2251468,0
9710,2251468,0
9806,2195182,0
9908,2251468,0
10009,2251468,0
10120,3610561,1149695
10211,3554275,1093409
10313,2849327,388461
10413,2251468,0
10532,2251468,0
10628,2251468,0
10727,2251468,0
10814,2251468,0
10913,2195182,0
11024,2251468,0
11120,2195182,0
11226,2195182,0
11320,2195182,0
11436,2183924,0
11526,2251468,0
11630,2251468,0
11738,2195182,0
11846,2251468,0
11940,2251468,0
12046,2195182,0
12139,2195182,0
12231,2251468,0
12331,2251468,0
12439,2251468,0
12538,2251468,0
12642,2251468,0
12735,2251468,0
12829,2251468,0
12940,2195182,0
13043,2879220,418354
13138,2879220,418354
13243,2879220,418354
13343,2251468,0
13443,2144524,0
13541,2183924,0
13644,2251468,0
13773,2251468,0
13851,2251468,0
13957,2195182,0
14054,2251468,0
14157,2138895,0
14258,2195182,0
14378,2195182,0
14458,2015064,0
14559,2251468,0
14653,2195182,0
14753,2251468,0
14855,2195182,0
14951,2054465,0
15063,2088237,0
15172,2251468,0
15258,2122009,0
15366,2195182,0
15471,2195182,0
15558,2060093,0
15659,2088237,0
15765,2031950,0
15863,2060093,0
15962,2155781,0
16070,1925005,0
16168,2195182,0
16262,2054465,0
16377,3402437,941571
16482,3391179,930313
16594,3486867,1026001
16674,3565668,1104802
16773,3509382,1048516
16880,3582554,1121688
16979,3565668,1104802
17072,3565668,1104802
17175,3576926,1116060
17275,3576926,1116060
17379,3582554,1121688
17484,2982631,521765
17547,2993888,533022
17648,3033289,572423
17731,3033289,572423
17880,2965745,504879
17996,2518832,57966
18079,1896862,0
18131,2155781,0
18245,2251468,0
18341,2195182,0
18444,2093865,0
18534,2251468,0
