datetime,cpu,mem
Sun Oct 23 07:00:57 GMT 2022,32,1109063
Sun Oct 23 07:00:58 GMT 2022,5.4,1098823
Sun Oct 23 07:01:00 GMT 2022,5.4,1152647
Sun Oct 23 07:01:01 GMT 2022,5.4,1174805
Sun Oct 23 07:01:03 GMT 2022,5.4,1174477
Sun Oct 23 07:01:04 GMT 2022,51,1170773
Sun Oct 23 07:01:05 GMT 2022,51,1168853
Sun Oct 23 07:01:07 GMT 2022,51,1169806
Sun Oct 23 07:01:08 GMT 2022,51,1159045
Sun Oct 23 07:01:10 GMT 2022,30,1158463
Sun Oct 23 07:01:11 GMT 2022,30,1159323
Sun Oct 23 07:01:13 GMT 2022,30,1160491
Sun Oct 23 07:01:14 GMT 2022,30,1160727
Sun Oct 23 07:01:15 GMT 2022,26,1160583
Sun Oct 23 07:01:17 GMT 2022,26,1161451
Sun Oct 23 07:01:18 GMT 2022,26,1160485
Sun Oct 23 07:01:20 GMT 2022,26,1162896
Sun Oct 23 07:01:21 GMT 2022,28,1160218
Sun Oct 23 07:01:23 GMT 2022,28,1159990
Sun Oct 23 07:01:24 GMT 2022,28,1159954
Sun Oct 23 07:01:25 GMT 2022,28,1160278
Sun Oct 23 07:01:27 GMT 2022,29,1157978
Sun Oct 23 07:01:28 GMT 2022,29,1147230
Sun Oct 23 07:01:30 GMT 2022,29,1151679
Sun Oct 23 07:01:31 GMT 2022,29,1154291
Sun Oct 23 07:01:33 GMT 2022,31,1151651
Sun Oct 23 07:01:34 GMT 2022,31,1150435
Sun Oct 23 07:01:36 GMT 2022,31,1151055
Sun Oct 23 07:01:37 GMT 2022,31,1151471
Sun Oct 23 07:01:39 GMT 2022,28,1151495
Sun Oct 23 07:01:40 GMT 2022,28,1150443
Sun Oct 23 07:01:41 GMT 2022,28,1149603
Sun Oct 23 07:01:43 GMT 2022,28,1151387
Sun Oct 23 07:01:44 GMT 2022,29,1151399
Sun Oct 23 07:01:46 GMT 2022,29,1152595
Sun Oct 23 07:01:47 GMT 2022,29,1151619
Sun Oct 23 07:01:49 GMT 2022,29,1152979
Sun Oct 23 07:01:50 GMT 2022,29,1151391
Sun Oct 23 07:01:52 GMT 2022,29,1152913
Sun Oct 23 07:01:53 GMT 2022,29,1151623
Sun Oct 23 07:01:54 GMT 2022,29,1151407
Sun Oct 23 07:01:56 GMT 2022,29,1151323
Sun Oct 23 07:01:57 GMT 2022,29,1152447
Sun Oct 23 07:01:59 GMT 2022,29,1153755
Sun Oct 23 07:02:00 GMT 2022,29,1149471
Sun Oct 23 07:02:02 GMT 2022,31,1148123
Sun Oct 23 07:02:03 GMT 2022,31,1148163
Sun Oct 23 07:02:04 GMT 2022,31,1149451
Sun Oct 23 07:02:06 GMT 2022,31,1149263
Sun Oct 23 07:02:07 GMT 2022,27,1146271
Sun Oct 23 07:02:09 GMT 2022,27,1149955
Sun Oct 23 07:02:10 GMT 2022,27,1132819
