Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2035958,534889
93,2308422,807353
193,3288962,1787893
292,2597195,1096126
399,2338898,837829
490,1806694,305625
597,1375007,0
698,2430314,929245
791,1720267,219198
890,2652239,1151170
993,2666591,1165522
1094,4095984,2594915
1191,3767215,2266146
1298,5346084,3845015
1395,4861368,3360299
1495,4897693,3396624
1604,5422577,3921508
1700,5985773,4484704
1806,5880985,4379916
1896,5442290,3941221
2002,4360785,2859716
2098,4183018,2681949
2196,3335486,1834417
2303,3765039,2263970
2405,2730538,1229469
2498,1858964,357895
2599,2703239,1202170
2700,2522932,1021863
2800,4444116,2943047
2901,3473932,1972863
3001,2143553,642484
3103,4008641,2507572
3201,3143915,1642846
3301,1936326,435257
3402,2145098,644029
3503,1646208,145139
3603,2391819,890750
3704,2188794,687725
3811,1684624,183555
3914,1672413,171344
4012,977015,0
4112,1830963,329894
4214,2974566,1473497
4313,3002659,1501590
4414,2609566,1108497
4517,2403896,902827
4609,3222408,1721339
4710,2324732,823663
4810,1806515,305446
4910,2291144,790075
5011,1338990,0
5113,1115503,0
5214,975596,0
5315,833551,0
5421,2242490,741421
5524,2204886,703817
5615,2099728,598659
5727,1394955,0
5827,1409916,0
5924,1792175,291106
6026,2798752,1297683
6117,1772928,271859
6217,1973397,472328
6318,3094075,1593006
6419,2955319,1454250
6519,2305397,804328
6620,3068083,1567014
6720,2514063,1012994
6821,3097654,1596585
6920,2591407,1090338
7021,2028788,527719
7123,1340459,0
7222,1493294,0
7326,1210427,0
7425,1238875,0
7533,2428769,927700
7632,1670284,169215
7736,1627263,126194
7826,1591413,90344
7928,1496685,0
8028,1335111,0
8128,1346180,0
8233,1028533,0
8337,1328769,0
8438,1485442,0
8538,1439838,0
8643,1375007,0
8738,1741985,240916
8840,1949917,448848
8939,1526882,25813
9041,1686774,185705
9140,1837459,336390
9242,1882155,381086
9344,1562732,61663
9443,1469521,0
9535,1476691,0
9640,1003813,0
9739,837939,0
9838,1454860,0
9940,1192165,0
10046,2442109,941040
10147,2208041,706972
10244,3074624,1573555
10347,1984093,483024
10446,1900522,399453
10553,1565368,64299
10642,1862407,361338
10746,1068664,0
10844,1330216,0
10946,1599153,98084
11046,1405051,0
11150,2012977,511908
11252,1557031,55962
11356,1476691,0
11449,2286912,785843
11553,1532583,31514
11660,1300985,0
11754,1749155,248086
11856,1433671,0
11957,1741985,240916
12051,2459055,957986
12153,1488384,0
12251,1303083,0
12354,1352153,0
12453,1371786,0
12553,989673,0
12655,755126,0
12754,1295548,0
12856,1368465,0
12956,1345806,0
13057,1672849,171780
13157,1548392,47323
13259,1496733,0
13364,2099020,597951
13470,1204227,0
13565,1634494,133425
13682,1106758,0
13769,1807356,306287
13867,1548392,47323
13974,1063763,0
14073,1609293,108224
14171,1519712,18643
14276,1514805,13736
14365,1605753,104684
14468,1261588,0
14566,1518243,17174
14670,1069535,0
14784,1406899,0
14876,1858087,357018
14974,1455181,0
15097,1132927,0
15178,1856706,355637
15276,1663114,162045
15383,1325373,0
15472,1518797,17728
15573,1582567,81498
15673,1604284,103215
15776,1371403,0
15876,1331820,0
15975,1419330,0
16075,1437734,0
16181,1419330,0
16302,1119999,0
16386,1504058,2989
16488,1706134,205065
16528,1820856,319787
16629,1627176,126107
16729,1261600,0
16829,1084031,0
16932,923473,0
17036,673282,0
17132,1352871,0
17233,1686912,185843
17333,1598583,97514
17435,1077373,0
17555,1470949,0
17646,1656004,154935
17736,1569902,68833
17856,1247546,0
17948,1899727,398658
18038,1405051,0
18140,1412160,0
18245,1633025,131956
18361,807065,0
18448,1515454,14385
18546,1132533,0
18648,1552097,51028
18747,2248330,747261
18865,1111366,0
18949,2058227,557158
19049,2700634,1199565
19149,2099020,597951
19256,1340459,0
19345,1612923,111854
19446,1391958,0
19548,1261362,0
19647,1349747,0
19749,1380316,0
19862,842729,0
19955,979388,0
20059,1204370,0
20157,1684624,183555
20257,1706134,205065
20359,1429864,0
20461,1313632,0
20569,1293990,0
20667,1382579,0
20763,1339898,0
20862,1474747,0
20967,1449812,0
21064,1444825,0
21163,1550520,49451
21263,1556149,55080
21365,1030208,0
21464,1085876,0
21568,1426500,0
21658,2064639,563570
21759,1337101,0
21859,1438655,0
21960,1561296,60227
22063,1143400,0
22163,186425,0
22265,1231356,0
22386,1288108,0
22475,1382579,0
22575,1366163,0
22682,1309927,0
22781,1362880,0
22875,1814620,313551
22974,1325524,0
23080,1330124,0
23176,1713304,212235
23270,1439838,0
23371,1202003,0
23472,1270000,0
23576,1361847,0
23675,1238875,0
23777,1226130,0
23878,1277380,0
23978,1365593,0
24078,1317413,0
24179,1237208,0
24280,961364,0
24380,659006,0
24486,1357979,0
24583,1396592,0
24694,1715479,214410
24794,1412128,0
24893,1346464,0
24992,1494695,0
25096,1509656,8587
25196,797087,0
25293,1628732,127663
25394,1375007,0
25494,1539578,38509
25598,1519630,18561
25700,1562412,61343
25795,1777835,276766
25895,1676414,175345
25995,1239483,0
26089,1384981,0
26190,1942747,441678
26290,3016792,1515723
26390,1873309,372240
26491,1469521,0
26593,1482114,0
26691,1554539,53470
26792,1814206,313137
26892,1484721,0
26993,1350631,0
27094,1432053,0
27209,1351108,0
27303,785067,0
27403,1027873,0
27502,1568586,67517
27603,1491031,0
27707,1634433,133364
27797,1677454,176385
27902,1257818,0
28013,1354866,0
28108,1464659,0
28211,1375007,0
28311,1684624,183555
28408,1689513,188444
28509,1519630,18561
28614,1536815,35746
28713,1320198,0
28815,856561,0
28909,1149623,0
29015,1577072,76003
29116,1648773,147704
29205,1555562,54493
29314,1474747,0
29414,1534678,33609
29516,1475269,0
29612,349090,0
29720,1509656,8587
29816,1389968,0
29917,1479734,0
