datetime,cpu,mem
Sun Oct 23 07:28:33 GMT 2022,4.8,1186360
Sun Oct 23 07:28:34 GMT 2022,11,1189772
Sun Oct 23 07:28:36 GMT 2022,11,1237083
Sun Oct 23 07:28:38 GMT 2022,11,1292581
Sun Oct 23 07:28:40 GMT 2022,62,1286462
Sun Oct 23 07:28:41 GMT 2022,62,1278429
Sun Oct 23 07:28:43 GMT 2022,62,1278063
Sun Oct 23 07:28:44 GMT 2022,62,1272211
Sun Oct 23 07:28:46 GMT 2022,-57.8,1269584
Sun Oct 23 07:28:47 GMT 2022,-57.8,1267828
Sun Oct 23 07:28:49 GMT 2022,-57.8,1308416
Sun Oct 23 07:28:51 GMT 2022,-57.8,1232679
Sun Oct 23 07:28:53 GMT 2022,0.1,1234983
Sun Oct 23 07:28:55 GMT 2022,0.1,1240719
Sun Oct 23 07:28:56 GMT 2022,0.1,1247326
Sun Oct 23 07:28:59 GMT 2022,0.1,1179163
Sun Oct 23 07:29:01 GMT 2022,0.1,1178055
Sun Oct 23 07:29:03 GMT 2022,0.1,1181089
Sun Oct 23 07:29:05 GMT 2022,0,1181263
Sun Oct 23 07:29:06 GMT 2022,0,1180277
Sun Oct 23 07:29:08 GMT 2022,0,1181295
Sun Oct 23 07:29:10 GMT 2022,0,1180653
Sun Oct 23 07:29:11 GMT 2022,0,1181757
Sun Oct 23 07:29:13 GMT 2022,0,1180437
Sun Oct 23 07:29:15 GMT 2022,0,1181351
Sun Oct 23 07:29:17 GMT 2022,0.1,1180977
Sun Oct 23 07:29:19 GMT 2022,0.1,1182229
Sun Oct 23 07:29:20 GMT 2022,0.1,1180881
Sun Oct 23 07:29:21 GMT 2022,0.1,1181131
Sun Oct 23 07:29:23 GMT 2022,33,1181377
Sun Oct 23 07:29:25 GMT 2022,33,1182683
Sun Oct 23 07:29:27 GMT 2022,33,1182345
Sun Oct 23 07:29:28 GMT 2022,0,1180295
Sun Oct 23 07:29:30 GMT 2022,0,1181807
Sun Oct 23 07:29:32 GMT 2022,0,1184709
Sun Oct 23 07:29:34 GMT 2022,0,1182171
Sun Oct 23 07:29:36 GMT 2022,0,1181599
Sun Oct 23 07:29:37 GMT 2022,0,1184013
Sun Oct 23 07:29:39 GMT 2022,36,1184043
Sun Oct 23 07:29:41 GMT 2022,36,1182047
Sun Oct 23 07:29:43 GMT 2022,36,1181021
Sun Oct 23 07:29:44 GMT 2022,36,1183422
Sun Oct 23 07:29:46 GMT 2022,36,1166999
