Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
58,2186530,314728
87,2683824,812022
189,2846005,974203
290,2365783,493981
389,2243891,372089
491,2337102,465300
584,2559375,687573
685,1808158,0
785,3058344,1186542
888,3200277,1328475
987,3867749,1995947
1089,3712031,1840229
1189,3639481,1767679
1291,3783971,1912169
1400,5740265,3868463
1494,6036502,4164700
1597,5248880,3377078
1698,4005418,2133616
1798,2865601,993799
1897,3172598,1300796
2002,4903300,3031498
2098,5516817,3645015
2196,5012354,3140552
2297,5156310,3284508
2395,3524760,1652958
2502,3634368,1762566
2600,3348151,1476349
2703,2785533,913731
2804,3842154,1970352
2901,3022026,1150224
3007,2428558,556756
3103,4130072,2258270
3213,4337098,2465296
3302,5437427,3565625
3403,5108122,3236320
3504,5325288,3453486
3603,3931268,2059466
3703,2857265,985463
3804,3738904,1867102
3905,4007270,2135468
4004,3594015,1722213
4105,2774942,903140
4206,3186267,1314465
4307,3034151,1162349
4407,2162353,290551
4509,3390513,1518711
4614,2817904,946102
4714,2513673,641871
4815,2664227,792425
4916,2039680,167878
5015,3369408,1497606
5116,2831313,959511
5216,1901990,30188
5316,1670284,0
5417,1129643,0
5520,1296844,0
5612,1541222,0
5729,1286788,0
5821,1903630,31828
5919,1627263,0
6022,1612923,0
6121,1698964,0
6228,1648773,0
6321,1971428,99626
6436,1267127,0
6529,1630188,0
6623,1806515,0
6728,1217773,0
6828,1336830,0
6932,1888843,17041
7020,2100489,228687
7121,1283099,0
7221,1729907,0
7341,1212033,0
7432,1553306,0
7530,2294082,422280
7623,1361970,0
7726,1272366,0
7825,1889390,17588
7925,2012979,141177
8026,1378573,0
8126,1280335,0
8232,1175895,0
8329,1299690,0
8434,1706134,0
8545,1238564,0
8639,1995185,123383
8734,2788818,917016
8833,3337778,1465976
8932,3618243,1746441
9033,2519179,647377
9136,2117643,245841
9235,2651316,779514
9336,2649862,778060
9442,2435394,563592
9542,2556792,684990
9644,1462899,0
9737,2830370,958568
9843,2877917,1006115
9944,2917386,1045584
10042,3399271,1527469
10141,4331713,2459911
10241,2193091,321289
10342,2659246,787444
10442,1983313,111511
10542,2824775,952973
10642,1268819,0
10744,1157907,0
10844,1451526,0
10945,1898636,26834
11046,1202458,0
11145,2523525,651723
11251,1827543,0
11348,1485301,0
11448,1569902,0
11548,1310310,0
11657,1869577,0
11754,1512542,0
11856,1892557,20755
11959,2337163,465361
12051,1692543,0
12151,1592742,0
12251,1455083,0
12354,1217144,0
12453,1196881,0
12554,1103407,0
12653,1394683,0
12755,1357737,0
12857,1396398,0
12955,1372731,0
13056,1327848,0
13156,1612923,0
13257,1383480,0
13357,1522711,0
13458,2020149,148347
13568,1790195,0
13665,1741985,0
13768,1265083,0
13865,1605753,0
13970,987910,0
14070,1324243,0
14167,1842366,0
14271,1919768,47966
14362,1770665,0
14472,1446542,0
14513,1813685,0
14614,1511073,0
14717,16547,0
14817,1521249,0
14916,1346464,0
15016,2026144,154342
15118,1096533,0
15218,1286343,0
15329,1970555,98753
15423,2028875,157073
15532,1284579,0
15625,1799345,0
15731,1353838,0
15828,1935577,63775
15929,1835196,0
16029,2222381,350579
16128,2308422,436620
16232,1741985,0
16323,1462351,0
16427,1211325,0
16524,1388848,0
16624,1396248,0
16725,1053462,0
16830,1353119,0
16927,1221447,0
17027,1677454,0
17138,1308511,0
17236,1699163,0
17334,1591413,0
17443,1216346,0
17540,2002913,131111
17630,1584242,0
17744,1151546,0
17841,1563155,0
17943,1644306,0
18038,1706134,0
18139,1268932,0
18239,1257959,0
18340,1670344,0
18454,1372349,0
18543,1706134,0
18648,1355059,0
18747,1706134,0
18837,1906897,35095
18946,1641308,0
19047,1499682,0
19147,1935577,63775
19248,1734814,0
19348,1785005,0
19451,1519712,0
19545,1589443,0
19649,1407062,0
19748,1210463,0
19851,2000108,128306
19952,1749155,0
20052,1971428,99626
20153,1591565,0
20252,1564513,0
20366,1161747,0
20457,1494208,0
20559,1729085,0
20658,1822825,0
20748,1702494,0
20856,1560882,0
20957,1964257,92455
21055,1654822,0
21156,1805260,0
21261,1462351,0
21351,1634433,0
21452,1546555,0
21552,1504669,0
21653,1570856,0
21753,1494695,0
21854,1700518,0
21954,1665609,0
22054,1494695,0
22155,1595791,0
22256,1664975,0
22357,1884442,12640
22457,864229,0
22564,1096537,0
22668,1616955,0
22773,1684923,0
22868,1942427,70625
22967,1589448,0
23071,1320150,0
23170,1674228,0
23272,1805375,0
23362,1680185,0
23463,1759912,0
23563,1397820,0
23664,1444825,0
23764,1789650,0
23865,1239637,0
23967,928730,0
24067,1402999,0
24178,1952662,80860
24267,1740810,0
24376,1534591,0
24475,1726308,0
24577,1719380,0
24677,1561777,0
24780,1386215,0
24894,1136759,0
24982,1704150,0
25078,1820856,0
25179,1569500,0
25280,1478209,0
25383,1032493,0
25479,1225124,0
25581,1835196,0
25682,1777835,0
25783,1708471,0
25884,1544565,0
25987,1359248,0
26087,1415411,0
26186,1619371,0
26287,1685504,0
26389,1892557,20755
26480,1756325,0
26588,1606399,0
26689,1599422,0
26789,1062137,0
26888,1152161,0
26996,1226296,0
27093,1711422,0
27191,1494695,0
27292,1594435,0
27393,1559526,0
27493,1539578,0
27593,1614384,0
27694,1464773,0
27794,1599422,0
27895,1499682,0
27994,1686774,0
28095,1871264,0
28198,1334932,0
28295,958568,0
28396,1793644,0
28495,1741985,0
28601,1326119,0
28691,1813685,0
28791,1556529,0
28891,1595157,0
28991,1489708,0
29092,1670683,0
29192,1741985,0
29293,1575843,0
29393,1594435,0
29494,1574487,0
29595,1414269,0
29699,933522,0
29797,1400331,0
29905,1347629,0
30003,1792340,0
30120,2081045,209243
30209,2028305,156503
30305,1914067,42265
30406,1878216,6414
30506,1762679,0
30610,1734814,0
30699,1498201,0
30810,1247968,0
30909,1589448,0
31009,1554539,0
31109,1053219,0
31209,1216691,0
31311,1770665,0
31403,1677454,0
31504,1476103,0
31605,1356314,0
31706,1530674,0
31806,1291536,0
31908,1221206,0
32008,1261498,0
32108,1675804,0
32220,1320198,0
32324,1418694,0
32421,1673596,0
32510,960705,0
32616,1285416,0
32718,1800814,0
32821,1770665,0
32912,1763495,0
33012,1596425,0
33113,1645027,0
33213,1474747,0
33314,1549552,0
33417,2134871,263069
33466,1491031,0
33567,1806601,0
33677,1349747,0
33776,1599422,0
33881,1486225,0
33978,1085876,0
34074,1264099,0
34177,1777835,0
34278,1820856,0
34382,1739486,0
34471,1677454,0
34572,1701874,0
34672,1474747,0
34773,1590804,0
34873,1469760,0
34973,1630066,0
35074,1700518,0
35174,1634332,0
35275,1685557,0
35375,1105274,0
35481,1271369,0
35577,1522904,0
35678,1540934,0
35784,1479734,0
35898,1133357,0
35991,1384925,0
36088,1674228,0
36189,1609396,0
36290,1533634,0
36391,1820696,0
36490,1620093,0
36583,1856706,0
36684,1738872,0
36784,1100287,0
36885,2523084,651282
36985,3122715,1250913
37086,1939810,68008
37186,1535947,0
37286,1499682,0
37387,1379994,0
37487,1605765,0
37588,1509656,0
37698,1506025,0
37796,1835196,0
37895,1512542,0
38011,1131261,0
38102,1543456,0
38201,1231131,0
38300,1121727,0
38400,1467304,0
38502,1511119,0
38602,1930565,58763
38704,1514643,0
38808,1618064,0
38903,1614392,0
39009,754829,0
39097,1419890,0
39209,1644393,0
39305,1849536,0
39407,1514643,0
39519,1146895,0
39611,1431762,0
39709,1725871,0
39806,1457691,0
39909,1945531,73729
40002,1394955,0
40103,1439838,0
40203,1425261,0
40304,1451788,0
40405,1534627,0
40505,1382841,0
40606,1404736,0
40707,1247357,0
40808,1267232,0
40909,1214726,0
41020,1410208,0
41117,1104839,0
41218,1001903,0
41318,1679216,0
41419,1482976,0
41520,1559526,0
41619,1799345,0
41713,1606807,0
41813,1629321,0
41914,1565869,0
42014,1443966,0
42115,1267232,0
42215,1289624,0
42316,1398791,0
42417,1201766,0
42518,1034986,0
42623,962492,0
42724,1393549,0
42827,1627263,0
42928,1605112,0
43029,1763495,0
43121,1957087,85285
43222,1748025,0
43322,1749754,0
43423,1379296,0
43524,1303468,0
43626,1436027,0
43728,1484721,0
43828,1570222,0
43928,1585817,0
44035,1074199,0
44136,1737250,0
44237,1749155,0
44339,1691794,0
44435,1806515,0
44540,1739486,0
44633,1399942,0
44734,1610752,0
44835,1432318,0
44935,1507864,0
45036,1317307,0
45137,1207986,0
45238,1426827,0
45338,1112318,0
45446,1176295,0
45550,1791548,0
45639,1641603,0
45747,1662084,0
45849,1543462,0
45949,1604409,0
46052,1276497,0
46151,1619371,0
46252,1629345,0
46349,2165020,293218
46444,1779019,0
46544,1398995,0
46645,1297181,0
46746,1462725,0
46846,1049348,0
46947,1517949,0
47047,1423217,0
47147,1555261,0
47261,1569500,0
47356,1741985,0
47457,1474747,0
47558,599796,0
47658,1562640,0
47759,1712345,0
47860,1504669,0
47959,1805375,0
48059,1917387,45585
48164,1484721,0
48260,2258231,386429
48361,1617400,0
48462,1871046,0
48564,1589448,0
48664,1489708,0
48764,1651836,0
48863,1639711,0
48977,1136595,0
49067,1744046,0
49166,1856706,0
49269,1627263,0
49359,1591413,0
49472,1460461,0
49570,1460160,0
49667,1348772,0
49768,1701273,0
49869,1620885,0
49986,1102629,0
50074,1517190,0
50173,1589448,0
50276,1494695,0
50323,1799345,0
50423,1878216,6414
50524,1772604,0
50624,1573035,0
50726,1634332,0
50825,1684202,0
50927,1559526,0
51032,1356030,0
51123,1132874,0
51227,1764964,0
51327,1768929,0
51428,1686774,0
51528,1785608,0
51630,1664254,0
51729,1663114,0
51822,1663114,0
51926,1084340,0
52024,1404160,0
52124,1783942,0
52225,1580830,0
52325,1620726,0
52426,1475468,0
52529,939282,0
52628,1022743,0
52728,1549552,0
52835,1605945,0
52935,2275923,404121
53035,1655943,0
53141,1777835,0
53230,1648773,0
53341,1612923,0
53433,1792175,0
53532,1559526,0
53632,1640674,0
53734,1406582,0
53835,1370020,0
53936,1148009,0
54041,1100217,0
54137,424445,0
54237,1618363,0
54346,1514730,0
54445,1871046,0
54550,1704314,0
54649,1871046,0
54739,1749155,0
54848,1629431,0
54949,1479734,0
55049,1652582,0
55150,1524922,0
55261,1145632,0
55353,1556589,0
55452,1353385,0
55552,1841560,0
55656,1634433,0
55752,1785005,0
55854,1607085,0
55958,1529604,0
56057,1706134,0
56147,2005809,134007
56248,1698155,0
56348,1488605,0
56471,1234247,0
56566,1402278,0
56662,1564513,0
56764,1376636,0
56860,1211745,0
56960,1405133,0
57052,1906897,35095
57152,1661256,0
57253,1434851,0
57354,1211853,0
57456,1640674,0
57555,1441938,0
57656,1413148,0
57756,1439414,0
57857,1414903,0
57958,1555261,0
58067,1498511,0
58166,1629345,0
58267,782697,0
58367,1489155,0
58468,1835196,0
58568,1706134,0
58661,1763495,0
58762,1596425,0
58863,1579474,0
58964,1429864,0
59064,1679389,0
59165,1484721,0
59266,1645661,0
59366,1634332,0
59466,1801701,0
59567,1439414,0
59668,759891,0
59774,1471279,0
59874,1875143,3341
59977,1776303,0
60082,1721531,0
60171,1785005,0
60271,1400774,0
60376,1376274,0
60485,1524617,0
60582,1856706,0
60673,1741985,0
60774,1977129,105327
60874,1079986,0
60976,1438074,0
61076,1170717,0
61181,584034,0
61281,1365196,0
61385,1734814,0
61485,1684624,0
61590,1736266,0
61687,1594435,0
61787,1799345,0
61888,1561777,0
61988,1629345,0
62090,1529604,0
62190,1534591,0
62291,1614296,0
62390,1764410,0
62491,1624358,0
62592,1226198,0
62691,1424204,0
62792,1758087,0
62892,1856706,0
