datetime,cpu,mem
Sun Oct 23 22:22:48 GMT 2022,0,1093649
Sun Oct 23 22:22:50 GMT 2022,6.7,1097230
Sun Oct 23 22:22:51 GMT 2022,6.7,1060999
Sun Oct 23 22:22:53 GMT 2022,6.7,1087441
Sun Oct 23 22:22:55 GMT 2022,0.1,1083280
Sun Oct 23 22:22:57 GMT 2022,0.1,1078973
Sun Oct 23 22:22:58 GMT 2022,0.1,1095667
Sun Oct 23 22:23:00 GMT 2022,36,1080845
Sun Oct 23 22:23:02 GMT 2022,36,1079871
Sun Oct 23 22:23:04 GMT 2022,36,1076720
Sun Oct 23 22:23:06 GMT 2022,32,1075547
Sun Oct 23 22:23:07 GMT 2022,32,1076935
Sun Oct 23 22:23:09 GMT 2022,32,1073980
Sun Oct 23 22:23:11 GMT 2022,32,1076787
Sun Oct 23 22:23:13 GMT 2022,32,1075630
Sun Oct 23 22:23:14 GMT 2022,32,1076870
Sun Oct 23 22:23:16 GMT 2022,32,1076927
Sun Oct 23 22:23:17 GMT 2022,0,1076614
Sun Oct 23 22:23:19 GMT 2022,0,1076310
Sun Oct 23 22:23:21 GMT 2022,0,1072094
Sun Oct 23 22:23:22 GMT 2022,0,1071991
Sun Oct 23 22:23:24 GMT 2022,0,1057788
Sun Oct 23 22:23:26 GMT 2022,0,1056040
Sun Oct 23 22:23:27 GMT 2022,0,1057413
Sun Oct 23 22:23:29 GMT 2022,32,1056352
Sun Oct 23 22:23:31 GMT 2022,32,1052084
Sun Oct 23 22:23:32 GMT 2022,32,1052520
Sun Oct 23 22:23:34 GMT 2022,32,1054097
Sun Oct 23 22:23:36 GMT 2022,24,1053072
Sun Oct 23 22:23:37 GMT 2022,24,1053332
Sun Oct 23 22:23:39 GMT 2022,24,1055101
Sun Oct 23 22:23:41 GMT 2022,0,1054240
Sun Oct 23 22:23:42 GMT 2022,0,1054536
Sun Oct 23 22:23:44 GMT 2022,0,1054657
Sun Oct 23 22:23:45 GMT 2022,0,1056494
Sun Oct 23 22:23:47 GMT 2022,14,1055709
Sun Oct 23 22:23:49 GMT 2022,14,1056109
Sun Oct 23 22:23:50 GMT 2022,14,1057065
Sun Oct 23 22:23:52 GMT 2022,14,1059406
Sun Oct 23 22:23:53 GMT 2022,19,1059229
Sun Oct 23 22:23:55 GMT 2022,19,1058209
Sun Oct 23 22:23:56 GMT 2022,19,1057748
Sun Oct 23 22:23:58 GMT 2022,0,1058313
Sun Oct 23 22:24:00 GMT 2022,0,1059763
Sun Oct 23 22:24:02 GMT 2022,0,1046294
