Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,2271603,938527
108,2328170,995094
159,2499371,1166295
311,2329932,996856
360,3550176,2217100
461,2291144,958068
561,1897844,564768
662,2588056,1254980
764,2797871,1464795
863,2623412,1290336
966,2966546,1633470
1070,4993835,3660759
1168,4946528,3613452
1266,4352060,3018984
1367,2814076,1481000
1467,3768330,2435254
1567,2968289,1635213
1674,3104641,1771565
1771,4256393,2923317
1868,5146094,3813018
1970,2901680,1568604
2069,1966555,633479
2170,2870120,1537044
2272,1595076,262000
2380,2269348,936272
2473,2204613,871537
2572,3444128,2111052
2672,2461005,1127929
2775,2409191,1076115
2875,1783524,450448
2975,2639465,1306389
3075,2608290,1275214
3176,1932341,599265
3276,1785931,452855
3378,860305,0
3478,1795128,462052
3578,1739447,406371
3679,3392436,2059360
3780,2883061,1549985
3884,2210853,877777
3981,3000774,1667698
4082,4051279,2718203
4187,3998387,2665311
4287,4550644,3217568
4385,2535850,1202774
4484,1841829,508753
4588,1585268,252192
4685,1547448,214372
4786,2022996,689920
4886,2676241,1343165
4988,1729551,396475
5086,1847120,514044
5187,1738047,404971
5288,1740940,407864
5388,1825540,492464
5488,1305593,0
5588,921839,0
5689,1199931,0
5789,1215345,0
5890,1786337,453261
5996,2731905,1398829
6091,2552841,1219765
6192,1854747,521671
6292,1426152,93076
6395,834256,0
6493,1049359,0
6596,706269,0
6694,1331002,0
6797,942882,0
6898,1794642,461566
6996,1254353,0
7097,785140,0
7196,1113890,0
7303,694929,0
7399,1149862,0
7501,723469,0
7599,967252,0
7701,328320,0
7800,867813,0
7901,701164,0
8003,436516,0
8112,689330,0
8206,1957668,624592
8308,1395159,62083
8404,993253,0
8506,411803,0
8605,531916,0
8707,1039896,0
8806,712486,0
8910,297432,0
9010,1032805,0
9108,696293,0
9210,416931,0
9309,1020800,0
9410,569084,0
9510,538375,0
9611,963439,0
9715,402955,0
9812,1632839,299763
9915,995403,0
10030,871636,0
10118,1359309,26233
10216,979294,0
10322,986464,0
10414,1536495,203419
10516,1265039,0
10616,875741,0
10717,1316661,0
10816,999168,0
10921,597459,0
11017,1187649,0
11119,1128509,0
11220,734936,0
11322,843920,0
11421,866308,0
11522,1050448,0
11623,1099550,0
11724,598575,0
11825,1771884,438808
11924,1142620,0
12027,893878,0
12126,768910,0
12227,748613,0
12326,915604,0
12430,848353,0
12527,1108729,0
12632,578281,0
12729,1396771,63695
12829,458095,0
12930,826424,0
13029,1049359,0
13133,804900,0
13230,1069328,0
13333,899861,0
13437,741943,0
13535,888376,0
13634,900587,0
13738,572910,0
13836,705427,0
13938,1202780,0
14037,1258366,0
14138,747721,0
14239,1109310,0
14343,1347600,14524
14440,816704,0
14540,1064773,0
14642,920158,0
14741,1178421,0
14842,907031,0
14942,1065708,0
15042,963318,0
15144,957222,0
15269,1035019,0
15369,673968,0
15448,562867,0
15546,1172255,0
15645,1192761,0
15746,905957,0
15846,1057037,0
15946,980015,0
16051,828432,0
16148,1053312,0
16249,777970,0
16349,1136474,0
16451,696543,0
16550,1415645,82569
16650,948978,0
16753,652580,0
16852,868204,0
16953,943309,0
17056,822712,0
17155,787303,0
17257,709539,0
17306,726276,0
17408,626443,0
17508,792049,0
17609,601772,0
17713,744493,0
17809,1171299,0
17914,782295,0
18010,1213542,0
18111,920445,0
18213,1043049,0
18312,833595,0
18413,754389,0
18515,710606,0
18615,623831,0
18715,694923,0
18815,1187147,0
18916,1008782,0
19016,842411,0
19119,705013,0
19218,730165,0
19320,449504,0
19419,830060,0
19520,899822,0
19620,782295,0
19721,727499,0
19821,865105,0
19923,651021,0
20024,719582,0
20124,703960,0
20225,750105,0
20327,745581,0
20427,693181,0
20528,725161,0
20629,661064,0
20730,715119,0
20829,823081,0
20930,716767,0
21032,624840,0
21135,486051,0
21236,1073290,0
21332,924564,0
21433,1053023,0
21533,923249,0
21636,671550,0
21737,725161,0
21837,687955,0
21939,682730,0
22039,771307,0
22140,770711,0
22241,636514,0
22342,734384,0
22444,672222,0
22547,694052,0
22647,702761,0
22748,690697,0
22851,487502,0
22951,1012461,0
23048,832165,0
23149,978218,0
23250,938322,0
23351,720460,0
23450,868677,0
23554,817172,0
23654,771433,0
23755,808363,0
23854,898053,0
23956,692053,0
24057,914280,0
24159,796359,0
24259,724440,0
24361,707116,0
24462,701728,0
24562,641177,0
24666,628363,0
24763,852372,0
24863,900571,0
24964,851788,0
25066,799894,0
25167,733049,0
25267,677802,0
25368,740653,0
25470,684990,0
25570,705076,0
25673,688338,0
25772,682730,0
25873,741694,0
25983,628531,0
26075,783313,0
26175,978860,0
26276,625701,0
26377,525784,0
26476,732658,0
26580,758006,0
26681,841388,0
26779,685987,0
26880,723469,0
26981,645441,0
27084,700367,0
27183,570157,0
27285,170924,0
27384,714683,0
27485,689453,0
27587,710655,0
27687,643862,0
27788,705374,0
27888,788923,0
27990,800226,0
28091,1277142,0
28190,953274,0
28293,849929,0
28392,983351,0
28491,1063639,0
28593,974661,0
28694,780030,0
28794,917981,0
