datetime,cpu,mem
Sun Oct 23 22:17:46 GMT 2022,47,931691
Sun Oct 23 22:17:47 GMT 2022,0.1,929029
Sun Oct 23 22:17:49 GMT 2022,0.1,1078002
Sun Oct 23 22:17:50 GMT 2022,0.1,1090472
Sun Oct 23 22:17:51 GMT 2022,0.1,1091624
Sun Oct 23 22:17:53 GMT 2022,51,1113868
Sun Oct 23 22:17:54 GMT 2022,51,1117914
Sun Oct 23 22:17:56 GMT 2022,51,1162038
Sun Oct 23 22:17:58 GMT 2022,51,1103184
Sun Oct 23 22:18:00 GMT 2022,0.1,1101957
Sun Oct 23 22:18:02 GMT 2022,0.1,1101588
Sun Oct 23 22:18:04 GMT 2022,0.1,1089609
Sun Oct 23 22:18:05 GMT 2022,0.1,1092476
Sun Oct 23 22:18:07 GMT 2022,0.1,1086740
Sun Oct 23 22:18:09 GMT 2022,0.1,1087515
Sun Oct 23 22:18:10 GMT 2022,0.1,1087429
Sun Oct 23 22:18:11 GMT 2022,0,1085628
Sun Oct 23 22:18:13 GMT 2022,0,1085044
Sun Oct 23 22:18:15 GMT 2022,0,1085992
Sun Oct 23 22:18:16 GMT 2022,0,1086129
Sun Oct 23 22:18:18 GMT 2022,32,1082648
Sun Oct 23 22:18:19 GMT 2022,32,1085828
Sun Oct 23 22:18:20 GMT 2022,32,1085476
Sun Oct 23 22:18:22 GMT 2022,32,1087633
Sun Oct 23 22:18:24 GMT 2022,34,1085520
Sun Oct 23 22:18:25 GMT 2022,34,1084916
Sun Oct 23 22:18:27 GMT 2022,34,1086028
Sun Oct 23 22:18:28 GMT 2022,34,1087877
Sun Oct 23 22:18:30 GMT 2022,0,1087152
Sun Oct 23 22:18:31 GMT 2022,0,1085292
Sun Oct 23 22:18:33 GMT 2022,0,1085516
Sun Oct 23 22:18:34 GMT 2022,0,1087005
Sun Oct 23 22:18:36 GMT 2022,0,1083076
Sun Oct 23 22:18:37 GMT 2022,0,1086716
Sun Oct 23 22:18:39 GMT 2022,0,1086520
Sun Oct 23 22:18:40 GMT 2022,0,1088617
Sun Oct 23 22:18:42 GMT 2022,0,1086300
Sun Oct 23 22:18:44 GMT 2022,0,1085496
Sun Oct 23 22:18:45 GMT 2022,0,1086012
Sun Oct 23 22:18:46 GMT 2022,0,1088289
Sun Oct 23 22:18:48 GMT 2022,29,1087860
Sun Oct 23 22:18:50 GMT 2022,29,1084212
Sun Oct 23 22:18:52 GMT 2022,29,1089797
Sun Oct 23 22:18:53 GMT 2022,0,1086948
Sun Oct 23 22:18:55 GMT 2022,0,1088048
Sun Oct 23 22:18:56 GMT 2022,0,1087572
Sun Oct 23 22:18:58 GMT 2022,0,1099547
Sun Oct 23 22:18:59 GMT 2022,0,1069060
