Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2342209,0
111,2495258,115055
211,2342804,0
311,2177891,0
412,2050299,0
512,2289175,0
562,2263933,0
662,2136514,0
764,2471550,91347
865,2048028,0
967,2072044,0
1072,1759313,0
1173,4655091,2274888
1268,3127575,747372
1368,2819581,439378
1469,2200584,0
1568,2148149,0
1668,3060689,680486
1767,1926738,0
1869,2064699,0
1972,2928793,548590
2077,4092405,1712202
2174,4151852,1771649
2276,4588985,2208782
2373,2934978,554775
2477,2133242,0
2574,1389961,0
2674,1897757,0
2777,3343470,963267
2886,2667660,287457
2976,3647111,1266908
3076,3294046,913843
3178,2773851,393648
3279,1974888,0
3378,1975027,0
3479,766384,0
3580,1610635,0
3680,1595360,0
3781,1393524,0
3881,1567615,0
3982,629217,0
4084,2166560,0
4183,2962262,582059
4284,3390479,1010276
4384,2585211,205008
4484,2681435,301232
4585,2534692,154489
4685,2791016,410813
4785,2969920,589717
4891,2820668,440465
4997,3065791,685588
5092,3326933,946730
5195,3388445,1008242
5293,2764647,384444
5397,1947256,0
5494,2255570,0
5596,2628415,248212
5700,2628415,248212
5796,3484186,1103983
5899,2480373,100170
5999,1897066,0
6100,1782344,0
6200,3037111,656908
6301,2406142,25939
6402,2896727,516524
6506,2929559,549356
6606,3101642,721439
6702,3223533,843330
6804,2958240,578037
6904,2506524,126321
7005,3008430,628227
7107,3388445,1008242
7206,3101642,721439
7304,3237873,857670
7405,1646112,0
7509,1108355,0
7608,1523352,0
7705,1513503,0
7812,1719963,0
7909,1652937,0
8010,1682972,0
8112,1148249,0
8212,1356509,0
8312,742984,0
8414,816157,0
8515,1480340,0
8614,1491598,0
8716,1024418,0
8817,1001903,0
8917,996274,0
9021,934359,0
9122,1069447,0
9221,928730,0
9319,1018789,0
9420,1035675,0
9520,962502,0
9621,1463454,0
9727,1497226,0
9821,1514112,0
9924,1514112,0
10027,1621057,0
10124,1609800,0
10230,1300223,0
10330,1632314,0
10426,1587285,0
10533,1339623,0
10628,1744888,0
10727,1592914,0
10828,1001903,0
10929,844300,0
11026,918749,0
11128,384606,0
11225,803939,0
11328,525323,0
11427,893998,0
11527,670728,0
11629,800188,0
11738,867732,0
11829,735886,0
11929,971389,0
12029,1951720,0
12130,1558172,0
12230,996712,0
12333,529067,0
12432,755159,0
12533,739044,0
12636,521569,0
12733,776733,0
12835,373203,0
12935,798310,0
13034,761727,0
13135,727015,0
13235,695126,0
13336,836792,0
13439,200897,0
13537,761727,0
13638,528134,0
13738,510762,0
13838,755159,0
13951,705093,0
14041,1040338,0
14140,792681,0
14241,569412,0
14341,636016,0
14442,515749,0
14542,778613,0
14644,426816,0
14743,784242,0
14844,775795,0
14947,449481,0
15043,1091962,0
15144,686697,0
15247,750043,0
15346,774830,0
15452,1439833,0
15546,956414,0
15647,1343789,0
15748,762347,0
15849,1013273,0
15949,822191,0
16050,973873,0
16150,859765,0
16252,834393,0
16352,719593,0
16454,712887,0
16554,707307,0
16655,778296,0
16757,673150,0
16857,774753,0
16962,681859,0
17012,702795,0
17113,668993,0
17217,1132010,0
17313,804900,0
17414,943309,0
17514,911957,0
17616,833741,0
17716,840660,0
17817,820033,0
17918,688338,0
18019,768193,0
18121,750373,0
18220,772423,0
18322,680526,0
18423,708423,0
18523,701728,0
18623,764611,0
18724,629819,0
18826,745691,0
18926,661064,0
19031,537688,0
19126,1048596,0
19226,1126399,0
19331,749729,0
19429,784586,0
19528,751993,0
19630,692801,0
19730,701728,0
19832,687222,0
19933,695082,0
20034,741178,0
20133,646557,0
20235,686106,0
20335,695033,0
20437,753551,0
20538,769813,0
20638,673706,0
20739,587940,0
20843,748051,0
20943,731546,0
21039,928556,0
21140,894942,0
21242,691107,0
21341,750043,0
21443,716234,0
21545,716234,0
21646,699496,0
21745,700612,0
21846,669666,0
21950,714083,0
22049,683601,0
22151,785499,0
22249,1485969,0
22350,1362138,0
22450,1339623,0
22552,682611,0
22655,853982,0
22752,1169187,0
22852,835024,0
22955,1003153,0
23053,837152,0
23154,880874,0
23257,666547,0
23356,840763,0
23459,764102,0
23558,703807,0
23662,750373,0
23760,838730,0
23862,643210,0
23962,1254518,0
24062,962502,0
24161,1255802,0
24262,789687,0
24364,541012,0
24467,849929,0
24563,887117,0
24664,923102,0
24765,710683,0
24871,781153,0
24969,716530,0
25071,710704,0
25173,760148,0
25273,705076,0
25376,704977,0
25476,132056,0
25576,725161,0
25677,657716,0
25778,771307,0
25879,697265,0
25980,739964,0
26081,706192,0
26181,792493,0
26285,834337,0
26381,1018789,0
26484,1121501,0
26584,854608,0
26684,666070,0
26785,741468,0
26885,779203,0
26988,875200,0
27087,798852,0
27187,784393,0
27289,642094,0
27391,764611,0
27491,692778,0
27591,690100,0
27694,701890,0
27794,683198,0
27895,711722,0
27993,629445,0
28098,742984,0
28194,873091,0
28295,878624,0
28396,865393,0
28498,677887,0
28598,664513,0
28698,743125,0
28801,689453,0
28903,710655,0
29004,715825,0
29105,800319,0
29205,717350,0
29307,698380,0
29408,642120,0
29509,763496,0
29610,711771,0
29710,663739,0
29811,460732,0
29913,789523,0
30011,869384,0
30112,1030159,0
30214,1047947,0
30316,730165,0
30416,779203,0
30517,708423,0
30565,675763,0
30666,951634,0
30768,733405,0
30867,687607,0
30968,709539,0
31069,654368,0
31172,749532,0
31269,766987,0
31371,745291,0
31472,719593,0
31573,693483,0
32681,548110,0
35493,1167204,0
38211,824805,0
40783,518499,0
43215,976919,0
45281,935825,0
47201,871304,0
48924,506060,0
50382,563802,0
51697,955948,0
52803,906613,0
53716,318677,0
54416,107386,0
54920,1108012,0
55222,1583435,0
55324,1647868,0
55422,1371376,0
55523,1194697,0
55623,1308335,0
55724,1322428,0
55826,1164602,0
55927,1236092,0
56029,1227872,0
56130,1250033,0
56232,1143400,0
56332,1169065,0
56382,1322059,0
56482,711211,0
56586,663272,0
56685,1247944,0
56785,1473894,0
56885,1300499,0
56986,1147068,0
57090,822712,0
57190,800438,0
57289,780765,0
57392,703807,0
57491,728509,0
57592,638636,0
57693,764611,0
57795,686106,0
57895,661064,0
57997,688338,0
58099,647673,0
58199,522501,0
58297,1852003,0
58398,1209975,0
58499,1414980,0
58599,1893869,0
58699,1758386,0
58799,931207,0
58902,827178,0
59002,472326,0
59102,644499,0
59203,706192,0
59305,994419,0
59405,751221,0
59506,663295,0
59608,710655,0
59709,745642,0
59810,716234,0
59913,726277,0
60015,1142620,0
60112,838700,0
60213,948296,0
60315,953283,0
60415,863517,0
60515,1082945,0
60617,928348,0
60717,721839,0
60820,728628,0
60919,739952,0
61019,770191,0
61122,646557,0
61222,697265,0
61324,666643,0
61426,679246,0
61526,816463,0
61626,711907,0
61727,544027,0
61831,914052,0
61927,981329,0
62028,941879,0
62129,803953,0
62229,909485,0
62329,953160,0
62432,759052,0
62533,794027,0
62633,747133,0
62734,735793,0
62836,248736,0
62936,709873,0
63038,736715,0
63138,666643,0
63241,775007,0
63342,715119,0
63441,825032,0
63542,1022987,0
63645,1090752,0
63742,1111951,0
63844,882035,0
63944,832561,0
64044,827414,0
64144,958270,0
64246,873491,0
64346,927706,0
64447,801022,0
64548,713452,0
64649,732553,0
64750,703328,0
64851,701679,0
64951,680526,0
65053,719582,0
65154,748989,0
65255,652137,0
65354,754467,0
65458,937150,0
65554,1110987,0
65657,823257,0
65755,783197,0
65856,1031112,0
65959,707429,0
66059,744745,0
66159,713113,0
66260,754846,0
66362,637765,0
66463,773538,0
66564,657716,0
66666,701728,0
66764,1227568,0
66865,1155741,0
66966,806523,0
67066,692467,0
67166,639297,0
67271,991846,0
67367,848915,0
67468,1802219,0
67568,1572776,0
67669,1701838,0
67769,1737688,0
67870,1293142,0
67972,820114,0
68073,964829,0
,,
,,
