datetime,cpu,mem
Sun Oct 23 21:09:14 GMT 2022,60,1435678
Sun Oct 23 21:09:16 GMT 2022,0,1178411
Sun Oct 23 21:09:17 GMT 2022,0,1098137
Sun Oct 23 21:09:19 GMT 2022,0,1149876
Sun Oct 23 21:09:21 GMT 2022,0,1165404
Sun Oct 23 21:09:22 GMT 2022,54,1183684
Sun Oct 23 21:09:24 GMT 2022,54,1190527
Sun Oct 23 21:09:26 GMT 2022,54,1186577
Sun Oct 23 21:09:28 GMT 2022,0.1,1183228
Sun Oct 23 21:09:30 GMT 2022,0.1,1187116
Sun Oct 23 21:09:32 GMT 2022,0.1,1174859
Sun Oct 23 21:09:35 GMT 2022,61,1173098
Sun Oct 23 21:09:37 GMT 2022,61,1185898
Sun Oct 23 21:09:39 GMT 2022,61,1179318
Sun Oct 23 21:09:41 GMT 2022,57,1181777
Sun Oct 23 21:09:44 GMT 2022,57,1191137
Sun Oct 23 21:09:46 GMT 2022,57,1188132
Sun Oct 23 21:09:48 GMT 2022,58,1190145
Sun Oct 23 21:09:50 GMT 2022,58,1185673
Sun Oct 23 21:09:52 GMT 2022,58,1193392
Sun Oct 23 21:09:55 GMT 2022,0.1,1198965
Sun Oct 23 21:09:57 GMT 2022,0.1,1194059
Sun Oct 23 21:10:00 GMT 2022,0.1,1207882
Sun Oct 23 21:10:02 GMT 2022,0.1,1201819
Sun Oct 23 21:10:04 GMT 2022,0.1,1202383
Sun Oct 23 21:10:07 GMT 2022,0.1,1209007
Sun Oct 23 21:10:09 GMT 2022,74,1212093
Sun Oct 23 21:10:11 GMT 2022,74,1220155
Sun Oct 23 21:10:14 GMT 2022,74,1215042
Sun Oct 23 21:10:16 GMT 2022,74,1227711
Sun Oct 23 21:10:18 GMT 2022,74,1223093
Sun Oct 23 21:10:21 GMT 2022,74,1227994
Sun Oct 23 21:10:23 GMT 2022,74,1230401
Sun Oct 23 21:10:26 GMT 2022,74,1205190
Sun Oct 23 21:10:29 GMT 2022,0.1,1173733
