Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
68,3908918,1377736
170,4688919,2157737
268,2801447,270265
371,3927668,1396486
473,3262237,731055
573,2973056,441874
676,2786147,254965
774,2593254,62072
878,2459979,0
975,2124090,0
1075,2588219,57037
1177,3819672,1288490
1277,3295555,764373
1379,2751768,220586
1479,3041960,510778
1585,4054141,1522959
1682,3869869,1338687
1780,2945054,413872
1881,3118907,587725
1982,2391148,0
2082,1477795,0
2182,2490667,0
2283,2112591,0
2383,2532007,825
2483,2416818,0
2587,1648077,0
2685,1266262,0
2791,1301705,0
2894,2285129,0
2989,2541813,10631
3094,3583724,1052542
3190,3191984,660802
3299,2249291,0
3393,3639473,1108291
3497,2672218,141036
3594,2263956,0
3696,2470225,0
3795,3358313,827131
3906,3368424,837242
4000,3693999,1162817
4101,3533058,1001876
4202,2707022,175840
4302,2513430,0
4404,2857594,326412
4502,2126509,0
4610,1948951,0
4709,1494217,0
4818,819089,0
4908,1624602,0
5004,1474030,0
5103,1036654,0
5207,1330628,0
5307,1739324,0
5408,1170301,0
5509,2040468,0
5613,1137036,0
5706,1438180,0
5808,1739324,0
5910,1073161,0
6032,749025,0
6116,2384971,0
6212,2140849,0
6313,1768004,0
6413,1897066,0
6512,1359309,0
6615,1086845,0
6715,1165716,0
6816,1996992,0
6923,1561576,0
7014,1842533,0
7119,921933,0
7218,1570260,0
7319,1825365,0
7417,2470673,0
7519,1732154,0
7618,1768004,0
7719,2126509,0
7829,1768004,0
7925,2104130,0
8020,2427653,0
8120,1459690,0
8226,2229909,0
8322,2588413,57231
8424,2054808,0
8527,2258589,0
8623,2291421,0
8727,2363122,0
8824,3037111,505929
8945,2470673,0
9025,2822008,290826
9124,1904459,0
9230,1493539,0
9329,1861215,0
9427,1832535,0
9528,2061978,0
9628,2133679,0
9729,2148019,0
9833,2961245,430063
9934,3355600,824418
10036,3634365,1103183
10149,2779608,248426
10239,2490689,0
10350,2451288,0
10454,2620148,88966
10545,2563862,32680
10645,2563862,32680
10742,2501946,0
10856,2507575,0
10955,2459046,0
11047,2560362,29180
11151,2560362,29180
11245,2560362,29180
11354,2385873,0
11457,2397131,0
11563,2453418,0
11658,2447789,0
11754,2380245,0
11857,2391502,0
11960,2380245,0
12055,2560362,29180
12163,2442160,0
12257,2161410,0
12362,2122009,0
12461,2251468,0
12561,2088237,0
12661,1981292,0
12760,1953149,0
12864,2031950,0
12964,1728002,0
13063,1733630,0
13164,1958777,0
13265,1789917,0
13374,1902491,0
13466,2195791,0
13574,2437824,0
13664,2184534,0
