datetime,cpu,mem
Sun Oct 23 21:50:13 GMT 2022,0.1,1192911
Sun Oct 23 21:50:14 GMT 2022,0.1,1240311
Sun Oct 23 21:50:16 GMT 2022,0.1,1127348
Sun Oct 23 21:50:19 GMT 2022,0.1,1253252
Sun Oct 23 21:50:23 GMT 2022,0.1,1274447
Sun Oct 23 21:50:27 GMT 2022,0.1,1295595
Sun Oct 23 21:50:30 GMT 2022,97,1339654
Sun Oct 23 21:50:33 GMT 2022,97,1271593
Sun Oct 23 21:50:36 GMT 2022,94,1289664
Sun Oct 23 21:50:39 GMT 2022,94,1310803
Sun Oct 23 21:50:41 GMT 2022,94,1323022
Sun Oct 23 21:50:44 GMT 2022,74,1335019
Sun Oct 23 21:50:46 GMT 2022,74,1336753
Sun Oct 23 21:50:49 GMT 2022,74,1342552
Sun Oct 23 21:50:51 GMT 2022,0.1,1323313
Sun Oct 23 21:50:53 GMT 2022,0.1,1310783
Sun Oct 23 21:50:56 GMT 2022,0.1,1315118
Sun Oct 23 21:50:58 GMT 2022,51,1314749
Sun Oct 23 21:51:00 GMT 2022,51,1319469
Sun Oct 23 21:51:03 GMT 2022,51,1318154
Sun Oct 23 21:51:05 GMT 2022,51,1321271
Sun Oct 23 21:51:08 GMT 2022,51,1319431
Sun Oct 23 21:51:10 GMT 2022,51,1324048
Sun Oct 23 21:51:12 GMT 2022,51,1330467
Sun Oct 23 21:51:15 GMT 2022,51,1325771
Sun Oct 23 21:51:17 GMT 2022,51,1332074
Sun Oct 23 21:51:19 GMT 2022,50,1330936
Sun Oct 23 21:51:22 GMT 2022,50,1331372
Sun Oct 23 21:51:24 GMT 2022,50,1336277
Sun Oct 23 21:51:26 GMT 2022,49,1322849
