Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
52,2038222,680367
133,2429052,1071197
233,2213448,855593
334,2157850,799995
434,2152943,795088
534,2606628,1248773
635,3192226,1834371
735,2358613,1000758
836,3219177,1861322
938,3591902,2234047
1039,4359048,3001193
1139,4676708,3318853
1190,5469063,4111208
1342,5984549,4626694
1391,5825131,4467276
1492,6157719,4799864
1591,5259048,3901193
1691,3580055,2222200
1792,2919873,1562018
1892,2982134,1624279
1991,3114737,1756882
2093,2557733,1199878
2193,1697462,339607
2292,3218263,1860408
2394,1638372,280517
2494,1650735,292880
2595,1312484,0
2696,1154559,0
2796,1381531,23676
2898,1257844,0
2998,1332148,0
3100,1087475,0
3202,718129,0
3300,1305847,0
3400,1355071,0
3502,1639319,281464
3606,3460958,2103103
3706,4934037,3576182
3804,5624391,4266536
3909,3935102,2577247
4009,3056320,1698465
4110,2929497,1571642
4205,3293694,1935839
4310,2586409,1228554
4407,1590954,233099
4507,3079387,1721532
4615,4210793,2852938
4719,5245211,3887356
4818,3722210,2364355
4913,3806829,2448974
5013,3339829,1981974
5112,3217099,1859244
5213,3481740,2123885
5314,3197016,1839161
5414,3094153,1736298
5515,2624599,1266744
5615,3122225,1764370
5715,3194318,1836463
5816,3170871,1813016
5917,2635496,1277641
6016,2944947,1587092
6116,3096705,1738850
6218,3192857,1835002
6318,2662190,1304335
6419,2879633,1521778
6519,3682635,2324780
6618,3897781,2539926
6719,3549644,2191789
6820,2781526,1423671
6920,2395521,1037666
7023,2747542,1389687
7123,2755433,1397578
7222,3102764,1744909
7323,2996886,1639031
7427,2422882,1065027
7528,3054313,1696458
7628,3728461,2370606
7734,3963830,2605975
7827,4577120,3219265
7932,3846734,2488879
8032,2676025,1318170
8129,2977970,1620115
8233,3282551,1924696
8330,2595690,1237835
8434,3187288,1829433
8533,2351083,993228
8633,3819656,2461801
8735,1800706,442851
8834,3160825,1802970
8939,3614414,2256559
9043,2544268,1186413
9143,4408819,3050964
9244,3635645,2277790
9343,4437499,3079644
9447,3324450,1966595
9542,3488969,2131114
9646,3201783,1843928
9743,3438868,2081013
9847,2854834,1496979
