datetime,cpu,mem
Sun Oct 23 14:13:23 GMT 2022,0,1242823
Sun Oct 23 14:13:25 GMT 2022,18,1253390
Sun Oct 23 14:13:27 GMT 2022,18,1205843
Sun Oct 23 14:13:28 GMT 2022,18,1231192
Sun Oct 23 14:13:31 GMT 2022,0.1,1238908
Sun Oct 23 14:13:33 GMT 2022,0.1,1256134
Sun Oct 23 14:13:36 GMT 2022,-9.5,1241752
Sun Oct 23 14:13:38 GMT 2022,-9.5,1240913
Sun Oct 23 14:13:40 GMT 2022,-9.5,1237882
Sun Oct 23 14:13:43 GMT 2022,0.1,1238151
Sun Oct 23 14:13:44 GMT 2022,0.1,1239495
Sun Oct 23 14:13:46 GMT 2022,0.1,1239146
Sun Oct 23 14:13:48 GMT 2022,34,1236958
Sun Oct 23 14:13:50 GMT 2022,34,1237866
Sun Oct 23 14:13:52 GMT 2022,34,1225275
Sun Oct 23 14:13:54 GMT 2022,33,1222830
Sun Oct 23 14:13:55 GMT 2022,33,1220678
Sun Oct 23 14:13:57 GMT 2022,33,1209255
Sun Oct 23 14:13:59 GMT 2022,37,1209414
Sun Oct 23 14:14:01 GMT 2022,37,1206418
Sun Oct 23 14:14:02 GMT 2022,37,1200875
Sun Oct 23 14:14:04 GMT 2022,33,1202462
Sun Oct 23 14:14:06 GMT 2022,33,1206018
Sun Oct 23 14:14:08 GMT 2022,33,1206423
Sun Oct 23 14:14:10 GMT 2022,33,1206638
Sun Oct 23 14:14:11 GMT 2022,33,1199422
Sun Oct 23 14:14:13 GMT 2022,33,1201331
Sun Oct 23 14:14:15 GMT 2022,33,1200818
Sun Oct 23 14:14:17 GMT 2022,33,1201726
Sun Oct 23 14:14:19 GMT 2022,33,1202491
Sun Oct 23 14:14:21 GMT 2022,26,1202146
Sun Oct 23 14:14:23 GMT 2022,26,1205656
Sun Oct 23 14:14:24 GMT 2022,26,1207773
Sun Oct 23 14:14:26 GMT 2022,28,1208136
Sun Oct 23 14:14:28 GMT 2022,28,1206976
Sun Oct 23 14:14:30 GMT 2022,28,1207469
Sun Oct 23 14:14:32 GMT 2022,33,1204159
Sun Oct 23 14:14:33 GMT 2022,33,1202876
Sun Oct 23 14:14:35 GMT 2022,33,1217533
Sun Oct 23 14:14:38 GMT 2022,0.2,1184096
