Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,3541121,712405
115,3133804,305088
214,2945551,116835
312,2250908,0
413,3095901,267185
515,2933644,104928
614,3216055,387339
716,3958759,1130043
814,2063774,0
914,3341039,512323
1015,2444940,0
1063,997121,0
1164,2152295,0
1264,2440329,0
1367,1316111,0
1467,1574985,0
1567,1343589,0
1669,4041007,1212291
1769,3743496,914780
1870,3503939,675223
1970,3558217,729501
2075,1494859,0
2171,2305434,0
2272,3393021,564305
2372,3380034,551318
2477,3750934,922218
2581,3852860,1024144
2681,2609658,0
2783,3564881,736165
2880,3467670,638954
2980,3565366,736650
3083,2740325,0
3181,3228959,400243
3284,2612061,0
3382,2518185,0
3482,2170559,0
3583,2451939,0
3683,2016360,0
3785,2316350,0
3891,3465870,637154
3998,3623443,794727
4094,3437396,608680
4195,2688739,0
4290,2562698,0
4391,1996329,0
4493,2188107,0
4594,2093751,0
4694,1927250,0
4794,1664414,0
4901,2545393,0
4999,2494334,0
5100,2330894,0
5201,2086507,0
5297,2488032,0
5398,2162359,0
5500,1637809,0
5599,1900158,0
5702,2005899,0
5803,1556259,0
5908,2394895,0
6004,2477843,0
6105,1706492,0
6205,2057636,0
6305,1943179,0
6407,1612296,0
6506,2107149,0
6607,2620112,0
6712,2632038,0
6812,1763852,0
6909,2686528,0
7010,1724984,0
7111,1778945,0
7213,1567241,0
7311,1584600,0
7415,957783,0
7516,1932491,0
7616,1576028,0
7729,1761774,0
7822,1733630,0
7922,1688601,0
8020,2054465,0
8122,1863090,0
8221,1728002,0
8323,1840575,0
8423,1649200,0
8526,1609800,0
8628,1919377,0
8727,1739259,0
8826,2116380,0
8928,1722373,0
9040,2150152,0
9129,2003807,0
9229,2110752,0
9335,2122009,0
9447,2138895,0
9532,2009435,0
9639,1970035,0
9731,2076979,0
9834,1851833,0
9944,1874347,0
10036,2122009,0
10136,1958777,0
10241,1891233,0
10346,1446568,0
10443,2195182,0
10541,1797403,0
10644,2210153,0
10743,2030035,0
10847,2587274,0
10941,2035664,0
11040,2530987,0
11141,1754231,0
11246,1270651,0
11349,1828355,0
11442,2136980,0
11544,842388,0
11644,843340,0
11745,704500,0
11846,540688,0
11946,760112,0
11997,732644,0
12096,749534,0
12197,739224,0
12298,698872,0
12448,1250482,0
12549,768287,0
12649,833960,0
12750,1088649,0
12855,1817568,0
12954,1130388,0
13052,651962,0
13151,867732,0
13202,817074,0
13303,812385,0
13404,505619,0
13504,676357,0
13605,530012,0
13705,715758,0
13806,688555,0
13906,961542,0
14006,749530,0
14110,559095,0
14207,708251,0
14310,770174,0
14409,1196550,0
14509,660409,0
14612,412674,0
14712,406431,0
14811,558792,0
14912,1075993,0
15021,462931,0
15115,541734,0
15215,541640,0
15316,472932,0
15417,494337,0
15518,422280,0
15619,444842,0
15720,482266,0
15820,768268,0
15920,1419342,0
16021,538444,0
16123,433434,0
16222,539697,0
16324,472932,0
16425,432566,0
16525,432567,0
16626,374932,0
16728,1023542,0
16826,818196,0
16928,574280,0
17029,538357,0
17129,929145,0
17230,620476,0
17329,1036592,0
17432,763022,0
17532,745151,0
17632,512709,0
17735,407700,0
17833,758353,0
17933,1079276,0
18034,547683,0
18135,482652,0
18235,521877,0
18337,472500,0
18436,516449,0
18535,921988,0
18637,711771,0
18736,734872,0
18838,701583,0
18942,453553,0
19039,1169046,0
19139,1034887,0
19240,1294594,0
19341,923361,0
19444,755873,0
19541,819826,0
19643,762491,0
19746,740653,0
19845,974677,0
19946,693949,0
20048,821653,0
20148,773905,0
20251,742273,0
20351,832663,0
20451,1480476,0
20551,1294594,0
20653,727492,0
20757,557238,0
20853,1482650,0
20953,748613,0
21055,897290,0
21156,795974,0
21257,842729,0
21360,744658,0
21459,761384,0
21560,810349,0
21662,777780,0
21761,967777,0
21861,1176392,0
21962,1044569,0
22062,1027683,0
22163,845222,0
22265,861175,0
22366,777058,0
22466,446987,0
22569,1024418,0
22667,1006425,0
22768,883701,0
22867,877048,0
22970,805360,0
23070,769708,0
23170,845062,0
23272,661687,0
23371,800180,0
23472,682265,0
23572,1953149,0
23673,973760,0
23774,911957,0
23874,943309,0
23975,985017,0
24076,763142,0
24175,878530,0
24276,706173,0
24382,827414,0
24477,996184,0
24578,854606,0
24683,645487,0
24779,869923,0
24879,1705487,0
24981,685582,0
25083,711576,0
25182,767425,0
25284,692801,0
25385,699496,0
25486,687093,0
25586,795841,0
25687,997349,0
25788,735793,0
25888,777913,0
25989,515093,0
26093,603645,0
26192,1017860,0
26290,849625,0
26391,668167,0
26495,734173,0
26592,1446355,0
