datetime,cpu,mem
Sun Oct 23 14:05:47 GMT 2022,35,1326070
Sun Oct 23 14:05:49 GMT 2022,0,1367797
Sun Oct 23 14:05:50 GMT 2022,0,1362242
Sun Oct 23 14:05:53 GMT 2022,0,1488099
Sun Oct 23 14:05:56 GMT 2022,0.1,1495401
Sun Oct 23 14:05:59 GMT 2022,0.1,1518158
Sun Oct 23 14:06:01 GMT 2022,0.1,1452851
Sun Oct 23 14:06:04 GMT 2022,0.1,1454966
Sun Oct 23 14:06:06 GMT 2022,53,1436749
Sun Oct 23 14:06:09 GMT 2022,53,1434321
Sun Oct 23 14:06:11 GMT 2022,53,1431478
Sun Oct 23 14:06:13 GMT 2022,0.1,1435221
Sun Oct 23 14:06:15 GMT 2022,0.1,1435229
Sun Oct 23 14:06:17 GMT 2022,0.1,1437222
Sun Oct 23 14:06:18 GMT 2022,33,1432145
Sun Oct 23 14:06:20 GMT 2022,33,1434353
Sun Oct 23 14:06:22 GMT 2022,33,1437082
Sun Oct 23 14:06:24 GMT 2022,32,1436029
Sun Oct 23 14:06:26 GMT 2022,32,1434441
Sun Oct 23 14:06:28 GMT 2022,32,1437010
Sun Oct 23 14:06:30 GMT 2022,32,1436513
Sun Oct 23 14:06:32 GMT 2022,32,1436817
Sun Oct 23 14:06:34 GMT 2022,32,1438690
Sun Oct 23 14:06:36 GMT 2022,21,1438521
Sun Oct 23 14:06:38 GMT 2022,21,1439791
Sun Oct 23 14:06:40 GMT 2022,21,1439564
Sun Oct 23 14:06:42 GMT 2022,0,1439615
Sun Oct 23 14:06:44 GMT 2022,0,1439169
Sun Oct 23 14:06:45 GMT 2022,0,1439144
Sun Oct 23 14:06:47 GMT 2022,0.1,1439019
Sun Oct 23 14:06:49 GMT 2022,0.1,1440063
Sun Oct 23 14:06:51 GMT 2022,0.1,1440620
Sun Oct 23 14:06:53 GMT 2022,33,1439591
Sun Oct 23 14:06:55 GMT 2022,33,1439059
Sun Oct 23 14:06:57 GMT 2022,33,1441808
Sun Oct 23 14:06:59 GMT 2022,33,1441098
Sun Oct 23 14:07:00 GMT 2022,33,1424964
