Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
9,2610834,150139
87,3351289,890594
187,3110896,650201
300,2690123,229428
388,4014811,1554116
490,3034611,573916
587,2686833,226138
689,3058703,598008
789,2885455,424760
892,4058144,1597449
993,3501373,1040678
1091,2811608,350913
1193,3612193,1151498
1291,2876175,415480
1397,3826855,1366160
1497,2448046,0
1593,2663666,202971
1697,2852876,392181
1799,2932463,471768
1905,3807911,1347216
1996,3999292,1538597
2099,2942080,481385
2200,2894110,433415
2300,2824284,363589
2402,3327904,867209
2499,3413415,952720
2598,2289953,0
2699,1976305,0
2799,2989939,529244
2900,3151832,691137
3001,3381275,920580
3104,3216363,755668
3209,2767666,306971
3306,2635585,174890
3406,2422368,0
3504,2523957,63262
3606,2871140,410445
3707,2609998,149303
3811,2681625,220930
3912,3037440,576745
4013,2919700,459005
4113,2303072,0
4217,2353263,0
4313,2574073,113378
4413,1846875,0
4514,1739324,0
4617,1686998,0
4716,2015064,0
4818,2003807,0
4928,2127638,0
5038,2251468,0
5125,2251468,0
5227,2251468,0
5323,2082608,0
5428,2183924,0
5532,2015064,0
5641,2031950,0
5744,2251468,0
5832,2195182,0
5930,2251468,0
6047,2195182,0
6140,2183924,0
6229,2183924,0
6333,2251468,0
6439,2138895,0
6532,2195182,0
6633,2015064,0
6734,2076979,0
6843,2138895,0
6936,2138895,0
7040,2054465,0
7135,2082608,0
7240,2183924,0
7336,2183924,0
7444,2251468,0
7552,2122009,0
7647,2060093,0
7741,2122009,0
7865,2195182,0
7949,2138895,0
8046,2251468,0
8145,2026321,0
8247,2251468,0
8345,2195182,0
8445,2195182,0
8553,2127638,0
8663,2195182,0
8746,2122009,0
8847,2071351,0
8958,2195182,0
9054,2195182,0
9156,2138895,0
9252,2251468,0
9354,2183924,0
9451,2122009,0
9559,2251468,0
9653,1576028,0
9751,1307708,0
9856,893044,0
9953,2559131,98436
10053,1990635,0
10159,1799260,0
10256,2000494,0
10357,2291774,0
10457,2024407,0
10557,2413725,0
10658,2452186,0
10756,1731716,0
10860,1963431,0
10962,2384642,0
11063,1900576,0
11162,1765488,0
11262,1999460,0
11361,2280893,0
11461,2118689,0
11564,1410882,0
11664,1292679,0
11766,1399624,0
11863,1838661,0
11962,1455911,0
12064,1422139,0
12166,1703572,0
12264,1230764,0
12368,1681058,0
12467,1495312,0
12568,1123819,0
12667,2174524,0
12769,1789917,0
12882,1919377,0
12974,2076979,0
13073,1834947,0
13170,1778660,0
13279,1896862,0
13372,1818061,0
13475,1767403,0
13581,1592914,0
13684,2065722,0
13775,1728002,0
13878,1716744,0
13978,1424054,0
14079,1362138,0
14180,1592914,0
14281,1857461,0
14380,1711116,0
14481,1806803,0
14583,1666086,0
14688,1818061,0
14785,1716744,0
14883,1930634,0
14989,1806803,0
15085,1874347,0
15190,1986921,0
15286,1744888,0
15391,1666086,0
15490,1587285,0
15588,1519741,0
15690,1694230,0
15789,1677344,0
15890,1756145,0
15992,1446568,0
16093,1587285,0
16203,1930634,0
16292,1823689,0
16402,2127638,0
16502,2037579,0
16593,1874347,0
16694,1401539,0
16792,984047,0
16893,581126,0
16992,1226557,0
17093,773369,0
17143,917993,0
17244,890483,0
17345,688590,0
17445,785047,0
17545,936216,0
17646,1385570,0
17751,1563810,0
17847,1992994,0
17947,915570,0
18047,778613,0
18151,578454,0
18253,912198,0
18349,911489,0
18450,803471,0
18551,846222,0
18651,710242,0
18751,717306,0
18852,690294,0
18952,765099,0
19053,1008449,0
19153,668269,0
19253,761069,0
19354,650398,0
19455,761727,0
19555,955936,0
19661,1031172,0
19756,1276733,0
19857,559408,0
19957,669772,0
20058,720216,0
20159,1020646,0
20259,730190,0
20359,804995,0
20459,1116327,0
20560,684806,0
20663,1027219,0
20761,672155,0
20863,607392,0
20962,1417932,0
21063,749530,0
21164,818252,0
21264,1146820,0
21364,923079,0
21465,974204,0
21569,409052,0
