datetime,cpu,mem
Sun Oct 23 08:06:40 GMT 2022,0.1,1259202
Sun Oct 23 08:06:41 GMT 2022,0.1,1266205
Sun Oct 23 08:06:43 GMT 2022,0.1,1203255
Sun Oct 23 08:06:45 GMT 2022,0.1,1264299
Sun Oct 23 08:06:48 GMT 2022,0.1,1256320
Sun Oct 23 08:06:50 GMT 2022,0.1,1252685
Sun Oct 23 08:06:53 GMT 2022,0.1,1245940
Sun Oct 23 08:06:55 GMT 2022,0.1,1236340
Sun Oct 23 08:06:57 GMT 2022,0.1,1239727
Sun Oct 23 08:06:59 GMT 2022,0,1235795
Sun Oct 23 08:07:01 GMT 2022,0,1234991
Sun Oct 23 08:07:03 GMT 2022,0,1236415
Sun Oct 23 08:07:05 GMT 2022,35,1235388
Sun Oct 23 08:07:07 GMT 2022,35,1236624
Sun Oct 23 08:07:08 GMT 2022,35,1236633
Sun Oct 23 08:07:10 GMT 2022,31,1236102
Sun Oct 23 08:07:12 GMT 2022,31,1236635
Sun Oct 23 08:07:14 GMT 2022,31,1240764
Sun Oct 23 08:07:15 GMT 2022,0,1238217
Sun Oct 23 08:07:18 GMT 2022,0,1237345
Sun Oct 23 08:07:20 GMT 2022,0,1238574
Sun Oct 23 08:07:22 GMT 2022,0.1,1225721
Sun Oct 23 08:07:24 GMT 2022,0.1,1222001
Sun Oct 23 08:07:26 GMT 2022,0.1,1223130
Sun Oct 23 08:07:28 GMT 2022,35,1223499
Sun Oct 23 08:07:29 GMT 2022,35,1222231
Sun Oct 23 08:07:31 GMT 2022,35,1224384
Sun Oct 23 08:07:33 GMT 2022,33,1223109
Sun Oct 23 08:07:35 GMT 2022,33,1222183
Sun Oct 23 08:07:37 GMT 2022,33,1222460
Sun Oct 23 08:07:39 GMT 2022,34,1222967
Sun Oct 23 08:07:41 GMT 2022,34,1224495
Sun Oct 23 08:07:43 GMT 2022,34,1224740
Sun Oct 23 08:07:44 GMT 2022,32,1223167
Sun Oct 23 08:07:46 GMT 2022,32,1224167
Sun Oct 23 08:07:48 GMT 2022,32,1227062
Sun Oct 23 08:07:50 GMT 2022,34,1220141
Sun Oct 23 08:07:52 GMT 2022,34,1224527
Sun Oct 23 08:07:54 GMT 2022,34,1208878
