Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
77,4068949,1628343
163,3328394,887788
262,3639890,1199284
366,2217010,0
462,1668060,0
563,3601422,1160816
662,3943033,1502427
762,2179512,0
862,1597051,0
963,944809,0
1066,2068925,0
1167,3218675,778069
1266,3053409,612803
1368,1970895,0
1470,3980118,1539512
1574,4151643,1711037
1675,3162688,722082
1770,3516606,1076000
1874,4186975,1746369
1970,3459962,1019356
2073,4824738,2384132
2173,2472633,32027
2278,3520511,1079905
2375,4104257,1663651
2474,3605540,1164934
2575,3243916,803310
2678,2920994,480388
2775,2611832,171226
2876,2812098,371492
2977,2506167,65561
3078,3558874,1118268
3179,2457657,17051
3278,2421865,0
3380,1703394,0
3482,2099637,0
3579,1714063,0
3683,2508476,67870
3783,2243789,0
3882,3091100,650494
3987,3425470,984864
4084,3640503,1199897
4185,2827677,387071
4284,2046807,0
4386,2953921,513315
4485,2779313,338707
4587,3199126,758520
4686,3375628,935022
4791,3578802,1138196
4888,2710768,270162
4988,3209859,769253
5089,3346853,906247
5191,3889167,1448561
5290,2972571,531965
5390,3406584,965978
5492,3584518,1143912
5594,2927098,486492
5701,2957587,516981
5799,3043559,602953
5898,2539934,99328
5999,2509898,69292
6099,2151393,0
6200,2885761,445155
6299,2001190,0
6407,1413242,0
6499,2101571,0
6601,2429787,0
6704,2659230,218624
6809,1813149,0
6905,1547884,0
7009,1728002,0
7106,1908119,0
7207,1970035,0
7307,2009435,0
7410,1941891,0
7513,1851833,0
7609,1812432,0
7714,1896862,0
7811,1930634,0
7913,1801175,0
8010,2020693,0
8118,1851833,0
8221,2099494,0
8318,2183924,0
8422,2026321,0
8523,2144524,0
8624,1728002,0
8718,1744888,0
8832,1970035,0
8927,2054465,0
9033,2183924,0
9128,2138895,0
9226,2009435,0
9321,2195182,0
9426,2003807,0
9540,1885605,0
9652,2138895,0
9730,2110752,0
9833,1801175,0
9929,2028178,0
10033,985934,0
10129,1007509,0
10229,596616,0
10330,648133,0
10436,1431525,0
10536,1568484,0
10637,1652914,0
10735,1855547,0
10838,1236393,0
10941,1590999,0
11037,991551,0
11142,1057708,0
11235,677297,0
11337,674012,0
11435,811445,0
11535,1104136,0
11636,862101,0
11737,719509,0
11839,502808,0
11938,893998,0
12039,492480,0
12139,1211081,0
12246,800188,0
12341,1254233,0
12441,1104134,0
12542,939492,0
12642,616446,0
12742,720442,0
12844,533620,0
12944,818007,0
13051,443021,0
13145,871483,0
13245,817074,0
13295,1046909,0
13396,1183878,0
13497,871483,0
13667,2174524,0
13702,2381829,0
13803,1894947,0
13902,1129448,0
14007,1039389,0
14100,741081,0
14201,436948,0
14301,910884,0
14402,670728,0
14504,438096,0
14606,934657,0
14703,755159,0
14807,572696,0
14904,856475,0
15005,518754,0
15105,815196,0
15206,637896,0
15308,617241,0
15409,536575,0
15509,640223,0
15608,1175431,0
15709,1077625,0
15809,770086,0
15908,750009,0
16008,933403,0
16109,699798,0
16215,742439,0
16311,1103129,0
16411,1038062,0
16512,1017472,0
16612,968244,0
16713,1067984,0
16813,1266451,0
16913,979388,0
17014,966814,0
