datetime,cpu,mem
Sun Oct 23 08:41:57 GMT 2022,50,1263628
Sun Oct 23 08:41:58 GMT 2022,0,1281856
Sun Oct 23 08:42:00 GMT 2022,0,1186796
Sun Oct 23 08:42:02 GMT 2022,0,1248371
Sun Oct 23 08:42:05 GMT 2022,0.1,1288732
Sun Oct 23 08:42:08 GMT 2022,0.1,1291976
Sun Oct 23 08:42:11 GMT 2022,0,1291347
Sun Oct 23 08:42:13 GMT 2022,0,1280767
Sun Oct 23 08:42:15 GMT 2022,0,1278079
Sun Oct 23 08:42:18 GMT 2022,44,1276464
Sun Oct 23 08:42:20 GMT 2022,44,1275520
Sun Oct 23 08:42:21 GMT 2022,44,1274983
Sun Oct 23 08:42:23 GMT 2022,0,1273276
Sun Oct 23 08:42:25 GMT 2022,0,1274680
Sun Oct 23 08:42:27 GMT 2022,0,1274235
Sun Oct 23 08:42:29 GMT 2022,32,1270902
Sun Oct 23 08:42:31 GMT 2022,32,1272078
Sun Oct 23 08:42:32 GMT 2022,32,1274753
Sun Oct 23 08:42:34 GMT 2022,32,1274150
Sun Oct 23 08:42:36 GMT 2022,32,1274198
Sun Oct 23 08:42:38 GMT 2022,32,1273473
Sun Oct 23 08:42:40 GMT 2022,31,1272462
Sun Oct 23 08:42:42 GMT 2022,31,1272550
Sun Oct 23 08:42:44 GMT 2022,31,1269405
Sun Oct 23 08:42:45 GMT 2022,24,1271458
Sun Oct 23 08:42:47 GMT 2022,24,1273054
Sun Oct 23 08:42:49 GMT 2022,24,1275837
Sun Oct 23 08:42:51 GMT 2022,32,1272538
Sun Oct 23 08:42:53 GMT 2022,32,1272034
Sun Oct 23 08:42:55 GMT 2022,32,1274371
Sun Oct 23 08:42:56 GMT 2022,34,1274096
Sun Oct 23 08:42:58 GMT 2022,34,1273190
Sun Oct 23 08:43:00 GMT 2022,34,1273279
Sun Oct 23 08:43:02 GMT 2022,33,1273508
Sun Oct 23 08:43:04 GMT 2022,33,1273912
Sun Oct 23 08:43:06 GMT 2022,33,1272899
Sun Oct 23 08:43:07 GMT 2022,32,1268596
Sun Oct 23 08:43:09 GMT 2022,32,1269233
Sun Oct 23 08:43:11 GMT 2022,32,1255567
