Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,2428507,58365
88,3417867,1047725
190,2791194,421052
288,3077016,706874
389,2989232,619090
494,2182546,0
590,2429267,59125
690,3262758,892616
791,2981377,611235
891,2843920,473778
992,3117311,747169
1093,2584327,214185
1195,2322010,0
1294,3213553,843411
1396,2892976,522834
1496,2456566,86424
1598,3359139,988997
1701,3788913,1418771
1802,3223137,852995
1906,4834779,2464637
2002,2989419,619277
2098,2170408,0
2200,2545122,174980
2299,3042831,672689
2398,3359807,989665
2497,2693294,323152
2599,2072693,0
2700,1625568,0
2800,1738693,0
2901,1830899,0
3001,905957,0
3103,795496,0
3204,2507769,137627
3304,1361649,0
3404,1214271,0
3505,2957539,587397
3613,3147770,777628
3710,3596920,1226778
3810,2577693,207551
3913,1486715,0
4014,1341571,0
4115,2076158,0
4218,1524695,0
4314,2196155,0
4415,2890651,520509
4514,2569797,199655
4615,2151992,0
4722,1728011,0
4817,2879369,509227
4921,2983372,613230
5036,3130322,760180
5120,3388445,1018303
5229,3180513,810371
5318,2875027,504885
5421,3104743,734601
5522,2416414,46272
5626,2347731,0
5731,2319655,0
5823,2301692,0
5924,2201311,0
6027,2452264,82122
6126,2660197,290055
6227,2875300,505158
6333,3537967,1167825
6429,3402057,1031915
6528,2251824,0
6627,1865445,0
6728,1934128,0
6827,1740535,0
6930,1588279,0
7032,2479055,108913
7132,2816049,445907
7231,2152249,0
7333,2794539,424397
7432,2984599,614457
7531,1661754,0
7638,912669,0
7734,1716744,0
7851,2015064,0
7950,2251468,0
8042,2138895,0
8137,2127638,0
8241,2082608,0
8339,2127638,0
8439,2088237,0
8548,2155781,0
8657,2195182,0
8744,2251468,0
8851,2155781,0
8948,2195182,0
9049,2122009,0
9150,2093865,0
9249,2122009,0
9350,2088237,0
9447,1902491,0
9548,2195182,0
9653,2138895,0
9762,2144524,0
9855,2122009,0
9952,2003807,0
10056,2082608,0
10156,2183924,0
10268,2251468,0
10355,2138895,0
10456,2178296,0
10554,2138895,0
10655,2183924,0
10752,2251468,0
10861,2183924,0
10966,2195182,0
11060,2195182,0
11174,2251468,0
11292,2195182,0
11374,2251468,0
11481,2144524,0
11580,2251468,0
11675,2138895,0
11770,2197039,0
11870,2125723,0
11970,1675429,0
12070,1968120,0
12171,1934348,0
12269,2051410,0
12372,1848778,0
12473,2103208,0
12571,1985006,0
12680,1782374,0
12773,2283326,0
12876,1360224,0
12981,1838661,0
13078,2851822,481680
13175,2908108,537966
13276,2373384,3242
13376,2395899,25757
13483,2243925,0
13585,2277697,0
13684,2208748,0
13783,1872435,0
13884,1595229,0
13979,1656686,0
14085,1287995,0
14193,1540341,0
14288,1517826,0
14382,1320834,0
14482,1255650,0
14584,773918,0
14683,1152903,0
14784,991429,0
14884,814969,0
14986,874813,0
15085,695281,0
15185,944631,0
15286,865854,0
15387,857415,0
15487,927770,0
15593,1430599,0
15690,1124771,0
15788,1777697,0
15889,1991575,0
15989,1587718,0
16090,1438096,0
16191,1473748,0
16293,1212950,0
16391,1507514,0
16491,1311918,0
16594,693699,0
16693,1005308,0
16743,1703116,0
16844,1193255,0
16945,1227967,0
17048,1459808,0
17146,1304507,0
17247,722331,0
17347,864839,0
17448,765099,0
17548,912761,0
17648,1122891,0
17749,749530,0
17849,814969,0
17950,728486,0
18054,441351,0
18152,451066,0
18253,549417,0
18354,479370,0
18454,520206,0
18563,461516,0
18655,1494868,0
18755,680320,0
18856,571276,0
18956,630374,0
19058,589464,0
19158,540688,0
19258,696038,0
19360,642840,0
19460,650073,0
19561,633657,0
19661,1076371,0
19765,935895,0
19863,364137,0
19963,707332,0
20064,775073,0
20164,901079,0
20265,832007,0
20365,716933,0
20465,756456,0
