datetime,cpu,mem
Sun Oct 23 23:05:51 GMT 2022,0.1,1169494
Sun Oct 23 23:05:53 GMT 2022,0.1,1174448
Sun Oct 23 23:05:55 GMT 2022,0.1,1212983
Sun Oct 23 23:05:57 GMT 2022,0.1,1265829
Sun Oct 23 23:06:00 GMT 2022,0.1,1309523
Sun Oct 23 23:06:03 GMT 2022,0.1,1345850
Sun Oct 23 23:06:05 GMT 2022,0.1,1391103
Sun Oct 23 23:06:08 GMT 2022,0.1,1402874
Sun Oct 23 23:06:11 GMT 2022,0.1,1391557
Sun Oct 23 23:06:14 GMT 2022,0.1,1413796
Sun Oct 23 23:06:17 GMT 2022,88,1414902
Sun Oct 23 23:06:19 GMT 2022,88,1419452
Sun Oct 23 23:06:22 GMT 2022,91,1429772
Sun Oct 23 23:06:26 GMT 2022,91,1453124
Sun Oct 23 23:06:29 GMT 2022,0.1,1463821
Sun Oct 23 23:06:32 GMT 2022,0.1,1446492
Sun Oct 23 23:06:36 GMT 2022,0.1,1461347
Sun Oct 23 23:06:39 GMT 2022,0.1,1466442
Sun Oct 23 23:06:42 GMT 2022,89,1478844
Sun Oct 23 23:06:45 GMT 2022,89,1480696
Sun Oct 23 23:06:48 GMT 2022,0.1,1478706
Sun Oct 23 23:06:51 GMT 2022,0.1,1508403
Sun Oct 23 23:06:55 GMT 2022,0.1,1515580
Sun Oct 23 23:06:57 GMT 2022,0.1,1516552
Sun Oct 23 23:07:00 GMT 2022,0.1,1522096
Sun Oct 23 23:07:02 GMT 2022,0.1,1527493
Sun Oct 23 23:07:05 GMT 2022,0.1,1518757
