Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
60,3092052,506962
161,3437055,851965
261,3111811,526721
363,3217200,632110
463,3395197,810107
564,3212037,626947
664,3402389,817299
764,3252589,667499
865,3507034,921944
966,3531947,946857
1070,3877282,1292192
1171,3884917,1299827
1281,7560419,4975329
1376,5791577,3206487
1486,5659554,3074464
1573,7138972,4553882
1672,4243044,1657954
1775,4467481,1882391
1874,3171273,586183
1979,2203202,0
2079,4805980,2220890
2178,2828088,242998
2285,3806895,1221805
2378,4437783,1852693
2479,2547799,0
2581,2617652,32562
2682,3273309,688219
2789,2750853,165763
2891,3717040,1131950
2986,3705536,1120446
3083,3425716,840626
3186,2773674,188584
3287,3254393,669303
3387,3026328,441238
3490,3112183,527093
3589,2780675,195585
3688,3260105,675015
3789,2459890,0
3893,2320823,0
3996,2990477,405387
4091,3831254,1246164
4193,3404707,819617
4291,3368242,783152
4391,1813895,0
4491,2531147,0
4593,1557159,0
4697,2561812,0
4794,2208209,0
4896,1993071,0
4997,2251194,0
5096,1985901,0
5205,1914200,0
5308,3369729,784639
5399,3226327,641237
5500,3341049,755959
5605,2903673,318583
5705,2944170,359080
5807,3166443,581353
5905,2815108,230018
6007,2248671,0
6114,2006543,0
6206,1964391,0
6313,2262741,0
6409,2255570,0
6509,2026127,0
6612,1760834,0
6713,2893709,308619
6820,2365899,0
6916,2127638,0
7018,2195182,0
7122,2031950,0
7219,2434325,0
7321,2265464,0
7419,2490611,0
7519,2490611,0
7619,2378038,0
7718,2299236,0
7819,2383667,0
7943,2434325,0
8023,2434325,0
8128,2304865,0
8227,1934969,0
8341,2205146,0
8426,2205146,0
8531,2110752,0
8625,2082608,0
8737,2195182,0
8830,2251468,0
8928,2251468,0
9029,2138895,0
9130,2026321,0
9235,2144524,0
9343,1975663,0
9434,2251468,0
9542,2138895,0
9638,2071351,0
9737,2037579,0
9845,2093865,0
9941,2110752,0
10035,2138895,0
10144,2183924,0
10244,2158823,0
10341,2130680,0
10448,2220738,0
10554,2164452,0
10652,2271396,0
10742,2215110,0
10842,1809845,0
10951,2056322,0
11044,2632303,47213
11147,2221410,0
11252,2553502,0
11345,1928719,0
11446,1793631,0
11549,1652914,0
11655,1714830,0
11747,2063808,0
11849,1686686,0
11949,1900576,0
12048,1934348,0
12151,1714830,0
12251,2196309,0
12360,2201938,0
12452,2320140,0
12554,2010563,0
12655,1875475,0
12757,1712243,0
12855,2106250,0
12953,2027449,0
13059,1706614,0
13156,1892361,0
13255,1661585,0
13364,1388367,0
13458,1917462,0
13558,1596628,0
13658,1422139,0
13758,1928719,0
13860,1585370,0
13962,2536616,0
14064,2350870,0
14163,2058179,0
14264,2311469,0
14366,2240045,0
14465,1992383,0
14574,2881714,296624
14676,2825427,240337
14766,2740997,155907
14866,2628423,43333
14966,2549622,0
15067,2970438,385348
15168,2317512,0
15297,2379428,0
15378,2986000,400910
15475,2575107,0
15571,1936554,0
15671,1968120,0
15781,2007521,0
15871,2598531,13441
15972,2243925,0
16091,2080694,0
16126,2908108,323018
16233,2851822,266732
16326,2649189,64099
16431,2013149,0
16532,2058179,0
16630,2142609,0
16727,1855547,0
16828,2174524,0
16929,2003807,0
17034,2138895,0
17143,2054465,0
17235,2060093,0
17334,2099950,0
17448,2105579,0
17538,2218153,0
17640,2195638,0
17754,2150609,0
17854,2218153,0
17940,2223781,0
18037,2082608,0
18140,2031950,0
18245,2060093,0
18347,2155781,0
18441,2178296,0
18581,1874347,0
18645,2178296,0
18745,2138895,0
18850,2026321,0
18949,2037579,0
19044,2054465,0
19148,2071351,0
19249,2155781,0
19355,2046249,0
19451,2164452,0
19554,2085650,0
19653,2085650,0
19755,2158823,0
19849,1890504,0
19953,2010563,0
20048,1937390,0
20150,1582784,0
20249,1644699,0
20349,1886732,0
20451,1512198,0
20550,1934348,0
20651,1765488,0
20751,2283326,0
20880,2632303,47213
20964,2908108,323018
21054,2908108,323018
