datetime,cpu,mem
Sun Oct 23 23:39:08 GMT 2022,90,1106593
Sun Oct 23 23:39:10 GMT 2022,0.1,1114933
Sun Oct 23 23:39:12 GMT 2022,0.1,1029195
Sun Oct 23 23:39:14 GMT 2022,0.1,1102959
Sun Oct 23 23:39:17 GMT 2022,0.1,1134773
Sun Oct 23 23:39:21 GMT 2022,0.1,1155598
Sun Oct 23 23:39:25 GMT 2022,98,1165058
Sun Oct 23 23:39:28 GMT 2022,98,1182389
Sun Oct 23 23:39:31 GMT 2022,95,1128175
Sun Oct 23 23:39:35 GMT 2022,95,1137067
Sun Oct 23 23:39:37 GMT 2022,0.1,1140907
Sun Oct 23 23:39:40 GMT 2022,0.1,1161932
Sun Oct 23 23:39:44 GMT 2022,0.1,1181700
Sun Oct 23 23:39:47 GMT 2022,0.1,1164468
Sun Oct 23 23:39:50 GMT 2022,96,1179721
Sun Oct 23 23:39:53 GMT 2022,96,1209971
Sun Oct 23 23:39:56 GMT 2022,96,1202407
Sun Oct 23 23:39:59 GMT 2022,96,1231652
Sun Oct 23 23:40:02 GMT 2022,93,1231414
Sun Oct 23 23:40:06 GMT 2022,93,1256766
Sun Oct 23 23:40:09 GMT 2022,96,1254589
Sun Oct 23 23:40:12 GMT 2022,96,1258193
Sun Oct 23 23:40:15 GMT 2022,92,1256187
Sun Oct 23 23:40:18 GMT 2022,92,1271087
Sun Oct 23 23:40:21 GMT 2022,93,1270439
