Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
62,1635696,140173
164,1762212,266689
264,1759198,263675
364,1615796,120273
465,1493905,0
565,1767443,271920
666,2704298,1208775
766,2344252,848729
867,2140337,644814
967,3820267,2324744
1072,3086044,1590521
1173,3093940,1598417
1273,3288606,1793083
1372,2879911,1384388
1481,3941085,2445562
1575,4217705,2722182
1675,3409788,1914265
1771,3333065,1837542
1877,3589040,2093517
1977,2821787,1326264
2072,2642615,1147092
2173,1800071,304548
2273,1891741,396218
2374,1492363,0
2474,1555820,60297
2574,1630137,134614
2680,2467415,971892
2780,1716299,220776
2877,1917517,421994
2978,1638561,143038
3079,1547235,51712
3179,1508367,12844
3280,1257413,0
3380,1441421,0
3481,1045329,0
3581,1556142,60619
3680,1522707,27184
3781,2927441,1431918
3882,2803061,1307538
3982,1849174,353651
4082,1620070,124547
4183,1439949,0
4283,1907477,411954
4387,2428405,932882
4490,3212550,1717027
4592,3405804,1910281
4692,3524677,2029154
4788,3157869,1662346
4893,3112434,1616911
4989,3115527,1620004
5094,3283912,1788389
5196,3381275,1885752
5302,2762381,1266858
5394,3388784,1893261
5503,3187683,1692160
5601,3358897,1863374
5704,2523502,1027979
5805,2138895,643372
5900,2195182,699659
6021,2251468,755945
6113,2195182,699659
6213,2251468,755945
6306,2251468,755945
6405,2105123,609600
6505,2116380,620857
6613,2026321,530798
6711,2195182,699659
6814,2195182,699659
6922,2155781,660258
7015,2183924,688401
7117,2144524,649001
7226,2161410,665887
7317,2138895,643372
7422,1998178,502655
7521,2071351,575828
7624,2138895,643372
7720,2127638,632115
7820,1716744,221221
7928,1930634,435111
8020,1913748,418225
8140,2251468,755945
8225,2183924,688401
8337,1941891,446368
8427,1941891,446368
8528,1975663,480140
8639,2122009,626486
8734,2200810,705287
8839,2183924,688401
8932,2195182,699659
9034,2138895,643372
9132,2110752,615229
9230,2195182,699659
9338,2251468,755945
9442,2251468,755945
9544,2206439,710916
9632,2251468,755945
9739,2251468,755945
9839,2195182,699659
9941,2200810,705287
10056,2251468,755945
