datetime,cpu,mem
Sun Oct 23 10:57:13 GMT 2022,1.7,1185833
Sun Oct 23 10:57:14 GMT 2022,4.8,1184713
Sun Oct 23 10:57:15 GMT 2022,4.8,1208894
Sun Oct 23 10:57:17 GMT 2022,4.8,1243202
Sun Oct 23 10:57:18 GMT 2022,4.8,1234530
Sun Oct 23 10:57:20 GMT 2022,58,1233106
Sun Oct 23 10:57:21 GMT 2022,58,1233320
Sun Oct 23 10:57:23 GMT 2022,58,1230081
Sun Oct 23 10:57:24 GMT 2022,58,1225685
Sun Oct 23 10:57:26 GMT 2022,35,1224416
Sun Oct 23 10:57:27 GMT 2022,35,1224856
Sun Oct 23 10:57:28 GMT 2022,35,1224236
Sun Oct 23 10:57:30 GMT 2022,35,1225785
Sun Oct 23 10:57:31 GMT 2022,29,1225084
Sun Oct 23 10:57:33 GMT 2022,29,1225714
Sun Oct 23 10:57:34 GMT 2022,29,1224371
Sun Oct 23 10:57:35 GMT 2022,29,1227079
Sun Oct 23 10:57:37 GMT 2022,29,1225459
Sun Oct 23 10:57:38 GMT 2022,29,1225539
Sun Oct 23 10:57:40 GMT 2022,29,1225679
Sun Oct 23 10:57:41 GMT 2022,29,1226676
Sun Oct 23 10:57:42 GMT 2022,29,1225603
Sun Oct 23 10:57:44 GMT 2022,29,1226187
Sun Oct 23 10:57:45 GMT 2022,29,1218991
Sun Oct 23 10:57:47 GMT 2022,29,1220552
Sun Oct 23 10:57:48 GMT 2022,29,1219635
Sun Oct 23 10:57:50 GMT 2022,29,1219349
Sun Oct 23 10:57:51 GMT 2022,29,1219703
Sun Oct 23 10:57:52 GMT 2022,29,1221156
Sun Oct 23 10:57:54 GMT 2022,28,1219887
Sun Oct 23 10:57:55 GMT 2022,28,1219991
Sun Oct 23 10:57:57 GMT 2022,28,1220243
Sun Oct 23 10:57:58 GMT 2022,28,1221652
Sun Oct 23 10:57:59 GMT 2022,26,1220471
Sun Oct 23 10:58:01 GMT 2022,26,1220491
Sun Oct 23 10:58:02 GMT 2022,26,1219807
Sun Oct 23 10:58:04 GMT 2022,26,1221780
Sun Oct 23 10:58:05 GMT 2022,21,1220770
Sun Oct 23 10:58:07 GMT 2022,21,1221571
Sun Oct 23 10:58:08 GMT 2022,21,1224927
Sun Oct 23 10:58:10 GMT 2022,21,1222280
Sun Oct 23 10:58:11 GMT 2022,28,1224899
Sun Oct 23 10:58:12 GMT 2022,28,1225733
Sun Oct 23 10:58:14 GMT 2022,28,1227395
Sun Oct 23 10:58:15 GMT 2022,28,1230116
Sun Oct 23 10:58:17 GMT 2022,29,1225235
Sun Oct 23 10:58:18 GMT 2022,29,1225731
Sun Oct 23 10:58:19 GMT 2022,29,1225235
Sun Oct 23 10:58:21 GMT 2022,29,1227608
Sun Oct 23 10:58:22 GMT 2022,28,1220447
Sun Oct 23 10:58:23 GMT 2022,28,1220383
Sun Oct 23 10:58:25 GMT 2022,28,1220466
Sun Oct 23 10:58:26 GMT 2022,28,1206713
