Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
66,2472072,1044750
158,2837660,1410338
260,2185062,757740
360,2767308,1339986
460,2663108,1235786
561,1512542,85220
662,1808577,381255
763,2405866,978544
863,1617449,190127
964,2432421,1005099
1066,2524385,1097063
1168,4723047,3295725
1269,5519755,4092433
1368,6113110,4685788
1468,5665981,4238659
1569,3818225,2390903
1675,2578142,1150820
1775,4619619,3192297
1877,3836178,2408856
1971,3079363,1652041
2071,3099232,1671910
2170,2835589,1408267
2270,3084045,1656723
2372,4030406,2603084
2471,3522590,2095268
2573,4554120,3126798
2673,3275411,1848089
2773,2855032,1427710
2874,2307265,879943
2976,2822585,1395263
3073,736036,0
3174,1447602,20280
3274,1259248,0
3375,2433371,1006049
3475,1995576,568254
3576,1440901,13579
3678,1436213,8891
3778,1154241,0
3877,2577936,1150614
3980,2848856,1421534
4078,2920176,1492854
4179,2012979,585657
4279,2301252,873930
4380,2468427,1041105
4480,1971428,544106
4581,1955619,528297
4681,2317855,890533
4784,1475222,47900
4886,1197587,0
4983,1706373,279051
5089,857811,0
5186,1257306,0
5286,1420298,0
5385,1589921,162599
5485,2803953,1376631
5586,3733673,2306351
5687,1391324,0
5787,1470742,43420
5888,1484882,57560
5990,1217046,0
6090,1211808,0
6189,1429864,2542
6290,1840897,413575
6396,931820,0
6494,953138,0
6592,1519630,92308
6693,1870095,442773
6794,1132242,0
6897,1144516,0
6995,1282959,0
7098,1251715,0
7199,1239440,0
7299,1155675,0
7404,1373404,0
7500,1774592,347270
7601,1251251,0
7709,623656,0
7807,1194083,0
7905,1397527,0
8003,1896789,469467
8105,1432202,4880
8204,1647305,219983
8304,1622356,195034
8405,1456650,29328
8505,889885,0
8605,1512542,85220
8706,1526882,99560
8810,1209311,0
8910,1333218,0
9010,1326478,0
9113,1580521,153199
9215,808910,0
9311,1253344,0
9411,1753681,326359
9518,1126715,0
9612,1740516,313194
9712,1448011,20689
9815,2167829,740507
9916,2701489,1274167
10017,1350645,0
10117,2076632,649310
10220,1667554,240232
10321,1655146,227824
10420,2039952,612630
10523,1476749,49427
10621,1259992,0
10726,1520400,93078
10821,1496733,69411
10923,1240556,0
11024,1372730,0
11124,1747686,320364
11227,1068664,0
11328,1426284,0
11427,1672547,245225
11527,1503903,76581
11630,1109597,0
11730,1419776,0
11833,1042513,0
11931,1832099,404777
12031,1384368,0
12131,1167858,0
12234,1348603,0
12333,1348019,0
12435,1083618,0
12535,900479,0
12636,545542,0
