datetime,cpu,mem
Sun Oct 23 10:28:04 GMT 2022,32,1265940
Sun Oct 23 10:28:05 GMT 2022,0,1269261
Sun Oct 23 10:28:07 GMT 2022,0,1237981
Sun Oct 23 10:28:10 GMT 2022,0,1224529
Sun Oct 23 10:28:12 GMT 2022,0.1,1210488
Sun Oct 23 10:28:14 GMT 2022,0.1,1204434
Sun Oct 23 10:28:17 GMT 2022,0.1,1206015
Sun Oct 23 10:28:19 GMT 2022,0.1,1204515
Sun Oct 23 10:28:20 GMT 2022,0.1,1204077
Sun Oct 23 10:28:22 GMT 2022,0.1,1206803
Sun Oct 23 10:28:24 GMT 2022,33,1201705
Sun Oct 23 10:28:26 GMT 2022,33,1204205
Sun Oct 23 10:28:28 GMT 2022,33,1204759
Sun Oct 23 10:28:30 GMT 2022,0,1204521
Sun Oct 23 10:28:31 GMT 2022,0,1203737
Sun Oct 23 10:28:33 GMT 2022,0,1204229
Sun Oct 23 10:28:34 GMT 2022,0,1204827
Sun Oct 23 10:28:36 GMT 2022,0.1,1204381
Sun Oct 23 10:28:38 GMT 2022,0.1,1203245
Sun Oct 23 10:28:40 GMT 2022,0.1,1203797
Sun Oct 23 10:28:41 GMT 2022,0.1,1205867
Sun Oct 23 10:28:42 GMT 2022,0,1205321
Sun Oct 23 10:28:44 GMT 2022,0,1205533
Sun Oct 23 10:28:46 GMT 2022,0,1205435
Sun Oct 23 10:28:48 GMT 2022,25,1204705
Sun Oct 23 10:28:50 GMT 2022,25,1206009
Sun Oct 23 10:28:51 GMT 2022,25,1203785
Sun Oct 23 10:28:53 GMT 2022,25,1206521
Sun Oct 23 10:28:54 GMT 2022,0.1,1204279
Sun Oct 23 10:28:56 GMT 2022,0.1,1203573
Sun Oct 23 10:28:58 GMT 2022,0.1,1205459
Sun Oct 23 10:29:00 GMT 2022,0,1205617
Sun Oct 23 10:29:01 GMT 2022,0,1205309
Sun Oct 23 10:29:03 GMT 2022,0,1204963
Sun Oct 23 10:29:05 GMT 2022,0,1205213
Sun Oct 23 10:29:07 GMT 2022,0,1203405
Sun Oct 23 10:29:09 GMT 2022,0,1204867
Sun Oct 23 10:29:11 GMT 2022,31,1203681
Sun Oct 23 10:29:12 GMT 2022,31,1198297
Sun Oct 23 10:29:14 GMT 2022,31,1199907
Sun Oct 23 10:29:16 GMT 2022,22,1198830
Sun Oct 23 10:29:18 GMT 2022,22,1183828
