datetime,cpu,mem
Sun Oct 23 19:57:17 GMT 2022,0,1411379
Sun Oct 23 19:57:18 GMT 2022,0,1387818
Sun Oct 23 19:57:20 GMT 2022,0,1124746
Sun Oct 23 19:57:21 GMT 2022,0,1159330
Sun Oct 23 19:57:23 GMT 2022,0,1177640
Sun Oct 23 19:57:25 GMT 2022,0.1,1169054
Sun Oct 23 19:57:27 GMT 2022,0.1,1170784
Sun Oct 23 19:57:29 GMT 2022,0.1,1172775
Sun Oct 23 19:57:31 GMT 2022,-18.4,1170672
Sun Oct 23 19:57:32 GMT 2022,-18.4,1169128
Sun Oct 23 19:57:34 GMT 2022,-18.4,1171841
Sun Oct 23 19:57:36 GMT 2022,32,1172064
Sun Oct 23 19:57:37 GMT 2022,32,1170752
Sun Oct 23 19:57:39 GMT 2022,32,1171872
Sun Oct 23 19:57:40 GMT 2022,32,1173357
Sun Oct 23 19:57:41 GMT 2022,0,1171210
Sun Oct 23 19:57:43 GMT 2022,0,1172306
Sun Oct 23 19:57:44 GMT 2022,0,1170896
Sun Oct 23 19:57:45 GMT 2022,0,1173159
Sun Oct 23 19:57:47 GMT 2022,27,1172854
Sun Oct 23 19:57:48 GMT 2022,27,1171694
Sun Oct 23 19:57:49 GMT 2022,27,1168506
Sun Oct 23 19:57:51 GMT 2022,27,1167161
Sun Oct 23 19:57:52 GMT 2022,0,1166024
Sun Oct 23 19:57:54 GMT 2022,0,1146330
Sun Oct 23 19:57:56 GMT 2022,0,1147317
Sun Oct 23 19:57:57 GMT 2022,32,1144782
Sun Oct 23 19:57:59 GMT 2022,32,1144250
Sun Oct 23 19:58:01 GMT 2022,32,1144762
Sun Oct 23 19:58:02 GMT 2022,32,1145911
Sun Oct 23 19:58:03 GMT 2022,0,1145902
Sun Oct 23 19:58:05 GMT 2022,0,1144518
Sun Oct 23 19:58:06 GMT 2022,0,1145086
Sun Oct 23 19:58:08 GMT 2022,0,1145933
Sun Oct 23 19:58:09 GMT 2022,35,1145100
Sun Oct 23 19:58:11 GMT 2022,35,1145196
Sun Oct 23 19:58:12 GMT 2022,35,1143197
Sun Oct 23 19:58:14 GMT 2022,35,1144930
Sun Oct 23 19:58:15 GMT 2022,0,1143905
Sun Oct 23 19:58:17 GMT 2022,0,1144289
Sun Oct 23 19:58:18 GMT 2022,0,1144741
Sun Oct 23 19:58:20 GMT 2022,0,1146454
Sun Oct 23 19:58:21 GMT 2022,0,1145341
Sun Oct 23 19:58:23 GMT 2022,0,1145749
Sun Oct 23 19:58:24 GMT 2022,0,1146377
Sun Oct 23 19:58:26 GMT 2022,0,1148578
Sun Oct 23 19:58:27 GMT 2022,16,1145929
Sun Oct 23 19:58:29 GMT 2022,16,1147021
Sun Oct 23 19:58:30 GMT 2022,16,1147580
