Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,3300158,1060596
109,2681300,441738
210,2051093,0
311,2779272,539710
411,3622945,1383383
511,3053158,813596
611,3001049,761487
713,1779151,0
814,2537865,298303
914,2624679,385117
1018,3133155,893593
1116,1334077,0
1165,4018200,1778638
1266,3762910,1523348
1370,2907437,667875
1467,1446263,0
1571,2743850,504288
1668,1452532,0
1770,3048624,809062
1870,2503315,263753
1972,2927451,687889
2071,2297492,57930
2175,2694741,455179
2278,1965670,0
2375,1815970,0
2474,2149057,0
2577,2988173,748611
2676,2728470,488908
2779,3144580,905018
2877,2661102,421540
2979,1968749,0
3080,1317677,0
3182,1943776,0
3282,3424978,1185416
3383,1894934,0
3483,1823800,0
3585,2802245,562683
3685,2236014,0
3786,3461911,1222349
3887,3760839,1521277
3993,3599990,1360428
4096,2580398,340836
4188,2156590,0
4289,2226578,0
4389,2634819,395257
4491,2334239,94677
4591,2649258,409696
4694,2767929,528367
4792,1251958,0
4893,1755628,0
5004,1252532,0
5100,3209268,969706
5198,2094701,0
5300,2011812,0
5399,2785576,546014
5498,2232613,0
5600,1991257,0
5702,2758507,518945
5801,2952964,713402
5897,2970855,731293
5997,2981645,742083
6098,2764463,524901
6199,2478734,239172
6304,1962019,0
6401,2143887,0
6501,2045445,0
6605,1788477,0
6704,3469805,1230243
6810,3237873,998311
6911,2538223,298661
7009,2868047,628485
7113,2050656,0
7215,1692755,0
7317,1654564,0
7413,1709129,0
7513,1633277,0
7621,2109977,0
7717,2613281,373719
7819,2168396,0
7919,1842723,0
8022,1261946,0
8122,1287608,0
8225,1160400,0
8324,1495541,0
8422,2975598,736036
8523,2566903,327341
8629,1724984,0
8721,1535162,0
8823,617241,0
8924,568523,0
9027,2006122,0
9132,1449120,0
9228,2965410,725848
9330,2148019,0
9429,1416669,0
9537,1042716,0
9636,725156,0
9730,1018153,0
9832,688858,0
9935,682397,0
10030,1454405,0
10151,693028,0
10237,1063760,0
10334,1096543,0
10434,1237417,0
10542,761940,0
10638,1559436,0
10733,1024083,0
10848,917061,0
10938,1066839,0
11034,3015600,776038
11134,846833,0
11235,1020800,0
11336,597765,0
11436,633615,0
11536,681391,0
11641,393114,0
11741,790034,0
11791,766112,0
11892,1023819,0
11995,945569,0
12093,1312484,0
12193,661618,0
12294,496213,0
12395,734512,0
12497,406035,0
12596,713878,0
12695,809568,0
12798,460892,0
12896,1020800,0
12999,727885,0
13098,651238,0
13199,669466,0
13300,541269,0
13399,762677,0
13501,450918,0
13600,945212,0
13700,748337,0
13802,419641,0
13902,659574,0
14003,866077,0
14105,395255,0
14203,784684,0
14303,1371224,0
14405,675502,0
14509,698146,0
14605,895890,0
14704,678747,0
14804,1401447,0
14908,898787,0
15008,1071943,0
15107,973231,0
15208,740632,0
15309,658464,0
15412,766843,0
15511,696149,0
15612,728509,0
15712,665527,0
15816,711771,0
15913,786067,0
16013,473284,0
16117,943974,0
16216,901696,0
16314,752830,0
16415,674947,0
16518,685343,0
16617,701679,0
16719,776985,0
16820,642094,0
16921,676634,0
17021,734088,0
17124,683601,0
17224,745178,0
17324,859007,0
17424,735736,0
17525,639862,0
17626,690568,0
17726,630862,0
17829,856369,0
17927,1189894,0
18028,948938,0
18129,756576,0
18229,997661,0
18331,946631,0
18431,723991,0
18532,646557,0
18632,770289,0
18734,853285,0
18833,1133288,0
18934,1045974,0
19036,705374,0
19137,679246,0
19237,728509,0
19340,689453,0
19439,688826,0
19540,485553,0
19643,675876,0
19741,1002851,0
19842,852113,0
19943,1018260,0
20042,926918,0
20144,819429,0
20244,890724,0
20345,712092,0
20446,726925,0
20547,686106,0
20647,702844,0
20748,751993,0
20849,693917,0
20950,710655,0
21050,684941,0
21152,701728,0
21253,705026,0
21353,340874,0
21456,1083618,0
21553,1153679,0
21654,867074,0
21755,827471,0
21855,874771,0
21957,899066,0
22057,791695,0
22159,787032,0
22259,751993,0
22359,196165,0
22460,664927,0
22561,664441,0
22664,716185,0
22761,797353,0
22862,1335091,0
22963,1260076,0
23063,1356052,0
23169,890259,0
23264,1437423,0
23364,1275448,0
23465,1254388,0
23568,1258410,0
23666,1306257,0
23767,1388415,0
23868,1331174,0
23968,1556529,0
24070,1304475,0
24171,1284541,0
24273,1179086,0
24376,492863,0
24477,967607,0
24574,1074919,0
24675,1270950,0
24774,1438306,0
24876,1114822,0
24979,1315351,0
25078,1245570,0
25182,1130499,0
25279,1779598,0
25380,2105483,0
25480,1562732,0
25581,1409916,0
25682,1524280,0
25783,964895,0
25884,1138622,0
25985,756576,0
26087,727873,0
26188,724887,0
26289,717973,0
26390,786013,0
26490,702795,0
26591,708423,0
26692,701728,0
26793,638636,0
26893,808363,0
26994,758473,0
27095,714003,0
27196,710655,0
27296,743893,0
27398,523607,0
27496,769428,0
27597,1051968,0
27698,882035,0
27799,916944,0
27900,839128,0
28001,818072,0
28050,667791,0
28152,803420,0
28252,742273,0
28353,728545,0
28455,747133,0
28556,713965,0
28656,745513,0
28755,872338,0
28856,932714,0
28960,739662,0
29058,715119,0
29159,518016,0
29258,777973,0
29359,1045660,0
29461,968244,0
29562,893439,0
29662,868504,0
29763,737646,0
29864,677972,0
29964,718466,0
30066,734088,0
30168,622008,0
30268,770191,0
30368,678295,0
30470,787633,0
30570,710725,0
30672,710599,0
30774,737743,0
30873,790543,0
30975,464328,0
31075,904078,0
31174,999373,0
31276,688972,0
31376,832089,0
31477,887440,0
31578,681781,0
31679,724453,0
31778,1261292,0
31880,1281040,0
31981,1301974,0
32084,1125273,0
32184,1325802,0
32284,1161254,0
32483,1073840,0
34094,553975,0
36004,1431690,0
37815,369764,0
39477,1020991,0
41095,307888,0
42502,1011882,0
43714,882783,0
44720,1058027,0
45477,1267451,0
46081,695875,0
46489,1104529,0
46685,90018,0
46789,1131285,0
46888,1317568,0
46989,1230513,0
47090,1245570,0
