datetime,cpu,mem
Sun Oct 23 19:49:42 GMT 2022,0.1,973974
Sun Oct 23 19:49:43 GMT 2022,0,976219
Sun Oct 23 19:49:44 GMT 2022,0,1117813
Sun Oct 23 19:49:45 GMT 2022,0,1118821
Sun Oct 23 19:49:47 GMT 2022,0,1117653
Sun Oct 23 19:49:48 GMT 2022,0,1117474
Sun Oct 23 19:49:49 GMT 2022,41,1114528
Sun Oct 23 19:49:50 GMT 2022,41,1156299
Sun Oct 23 19:49:52 GMT 2022,41,1199117
Sun Oct 23 19:49:54 GMT 2022,41,1334129
Sun Oct 23 19:49:56 GMT 2022,61,1345228
Sun Oct 23 19:49:58 GMT 2022,61,1340735
Sun Oct 23 19:50:00 GMT 2022,61,1297868
Sun Oct 23 19:50:01 GMT 2022,0.1,1295846
Sun Oct 23 19:50:03 GMT 2022,0.1,1282113
Sun Oct 23 19:50:05 GMT 2022,0.1,1283449
Sun Oct 23 19:50:06 GMT 2022,0.1,1279802
Sun Oct 23 19:50:08 GMT 2022,0,1279501
Sun Oct 23 19:50:09 GMT 2022,0,1279429
Sun Oct 23 19:50:10 GMT 2022,0,1278969
Sun Oct 23 19:50:11 GMT 2022,0,1281318
Sun Oct 23 19:50:13 GMT 2022,27,1278929
Sun Oct 23 19:50:14 GMT 2022,27,1279317
Sun Oct 23 19:50:15 GMT 2022,27,1279297
Sun Oct 23 19:50:17 GMT 2022,27,1280126
Sun Oct 23 19:50:18 GMT 2022,27,1280061
Sun Oct 23 19:50:19 GMT 2022,27,1278873
Sun Oct 23 19:50:21 GMT 2022,27,1279377
Sun Oct 23 19:50:22 GMT 2022,27,1277434
Sun Oct 23 19:50:23 GMT 2022,28,1277005
Sun Oct 23 19:50:25 GMT 2022,28,1277801
Sun Oct 23 19:50:26 GMT 2022,28,1280221
Sun Oct 23 19:50:27 GMT 2022,28,1281370
Sun Oct 23 19:50:29 GMT 2022,24,1281297
Sun Oct 23 19:50:30 GMT 2022,24,1279953
Sun Oct 23 19:50:31 GMT 2022,24,1280885
Sun Oct 23 19:50:32 GMT 2022,24,1281622
Sun Oct 23 19:50:34 GMT 2022,28,1279861
Sun Oct 23 19:50:35 GMT 2022,28,1280921
Sun Oct 23 19:50:36 GMT 2022,28,1279297
Sun Oct 23 19:50:38 GMT 2022,28,1281754
Sun Oct 23 19:50:39 GMT 2022,28,1280405
Sun Oct 23 19:50:40 GMT 2022,28,1282377
Sun Oct 23 19:50:42 GMT 2022,28,1318045
Sun Oct 23 19:50:43 GMT 2022,28,1339926
Sun Oct 23 19:50:45 GMT 2022,0,1342117
Sun Oct 23 19:50:46 GMT 2022,0,1342284
Sun Oct 23 19:50:48 GMT 2022,0,1309840
Sun Oct 23 19:50:50 GMT 2022,47,1313779
Sun Oct 23 19:50:51 GMT 2022,47,1318023
Sun Oct 23 19:50:53 GMT 2022,47,1329023
Sun Oct 23 19:50:55 GMT 2022,48,1317151
