Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
37,3726012,1067523
112,4255407,1596918
212,2572229,0
311,4171902,1513413
414,3125190,466701
512,3641216,982727
616,3728281,1069792
717,2486587,0
813,3014356,355867
916,3461326,802837
1017,3163535,505046
1118,3114495,456006
1221,2671812,13323
1322,2945447,286958
1424,3336317,677828
1528,3504490,846001
1629,4806700,2148211
1724,1326686,0
1834,1423216,0
1933,4299432,1640943
1991,3366648,708159
2082,3597572,939083
2191,3949436,1290947
2291,3458612,800123
2382,2832003,173514
2489,3197650,539161
2583,2573505,0
2679,1992796,0
2781,2374385,0
2883,1208416,0
2988,3458241,799752
3089,3390706,732217
3196,3473690,815201
3288,3706024,1047535
3391,3223216,564727
3489,3521745,863256
3587,3022321,363832
3689,2289216,0
3788,1551969,0
3893,1973871,0
3995,2050656,0
4100,2743137,84648
4196,3252214,593725
4325,3402786,744297
4418,3292213,633724
4520,3292213,633724
4626,3160434,501945
4727,3180201,521712
4826,3226323,567834
4923,3292213,633724
5040,3292213,633724
5128,3481996,823507
5230,3094545,436056
5323,3288064,629575
5427,2628415,0
5525,3223533,565044
5632,3281886,623397
5730,3349392,690903
5832,2915219,256730
5929,2181603,0
6025,3020769,362280
6129,2090658,0
6228,2485013,0
6338,3008430,349941
6442,3065791,407302
6533,3359765,701276
6641,3232912,574423
6743,3101642,443153
6840,3381275,722786
6944,3226323,567834
7032,3292213,633724
7143,3232912,574423
7250,3292213,633724
7337,3292213,633724
7450,3292213,633724
7542,3292213,633724
7647,3292213,633724
7751,3292213,633724
7855,3004134,345645
7921,2579788,0
8010,2294825,0
8101,2351111,0
8208,2351111,0
8304,2351111,0
8399,2088237,0
8512,2251468,0
8596,2122009,0
8704,2122009,0
8801,2122009,0
8905,2138895,0
9007,2138895,0
9102,1902491,0
9208,2195182,0
9305,2200810,0
9406,1947520,0
9512,1902491,0
9619,2082608,0
9729,2088237,0
9810,2048836,0
9910,2144524,0
10010,2088237,0
10116,1891233,0
10212,2195182,0
10313,2088237,0
10422,2195182,0
10516,2054465,0
10618,2144524,0
10719,2138895,0
10819,2251468,0
10914,2251468,0
11014,2251468,0
11126,2155781,0
11218,2251468,0
11325,2195182,0
11416,2251468,0
11519,2251468,0
11634,2138895,0
11723,2093865,0
11825,2195182,0
11920,1998178,0
12024,1273936,0
12121,2018778,0
12220,1281422,0
12325,1073161,0
12419,1301137,0
12523,1366792,0
12628,938073,0
12723,1208249,0
12830,1061904,0
12921,2401528,0
13025,1417450,0
13126,1382738,0
13233,1804889,0
13327,1523455,0
13428,1585370,0
13531,2108837,0
13636,2158089,0
13735,2170752,0
13830,1748604,0
13928,1703572,0
14034,1096081,0
14136,2211093,0
14235,2153866,0
14330,1309565,0
14433,1118191,0
14534,1742973,0
14636,1472797,0
14734,2199836,0
14836,2094771,0
14934,2059119,0
15036,1709201,0
15135,1783314,0
15240,1275793,0
15337,1545970,0
15437,1225135,0
15552,785192,0
15645,1639080,0
15739,1411822,0
15842,1607885,0
15942,2007521,0
16038,1697944,0
16142,1007504,0
16249,963408,0
16343,1247650,0
16449,958487,0
16546,1309229,0
16647,983867,0
16744,768761,0
16844,666040,0
16945,600825,0
17044,688293,0
17145,891198,0
17246,541728,0
17347,450251,0
17448,412535,0
17550,444759,0
17650,449985,0
17751,474978,0
17853,456952,0
17958,432567,0
18056,575899,0
18156,520736,0
18258,728486,0
18357,571276,0
18457,423145,0
18558,500176,0
18659,430824,0
18759,1109203,0
18860,725587,0
18962,508968,0
19062,440379,0
19163,491193,0
19264,444842,0
19365,409778,0
19468,322570,0
19567,1067276,0
19666,288921,0
19767,451910,0
19869,533157,0
19970,441494,0
20070,465528,0
20169,1621974,0
20278,1624771,0
20373,1607885,0
20471,828329,0
20571,605515,0
20675,760112,0
20773,630450,0
20875,508045,0
20973,501246,0
21074,864705,0
21175,655207,0
21277,690568,0
21378,732972,0
21479,692801,0
21578,714003,0
21679,1547884,0
21782,1339623,0
21880,963149,0
21981,900587,0
22082,822712,0
22181,791564,0
22284,745183,0
22385,660316,0
22438,664904,0
22536,1367497,0
22637,825057,0
22738,832575,0
22838,658447,0
22939,702795,0
23040,727393,0
23140,743893,0
23239,1048315,0
23341,802388,0
23441,1008268,0
23545,1111325,0
23642,928730,0
23742,872444,0
23843,1303488,0
23943,988980,0
24045,956142,0
24146,794027,0
24247,727393,0
24347,681859,0
24449,690568,0
24549,875741,0
24650,911358,0
24751,754389,0
24851,810349,0
24952,808017,0
25053,763716,0
25153,715585,0
25255,638746,0
25355,435424,0
25459,810528,0
25556,985664,0
25657,798792,0
25756,825995,0
25857,792691,0
25958,813408,0
26061,666547,0
26160,1096608,0
26261,1210164,0
26362,895264,0
26463,730745,0
26564,785683,0
26665,672222,0
26767,718466,0
26867,719533,0
26967,745642,0
27069,651021,0
27168,685613,0
27273,450270,0
27373,1001464,0
27471,787282,0
27572,918374,0
27671,943309,0
27773,843569,0
27872,973231,0
27972,835845,0
28075,759052,0
28175,814046,0
28276,734173,0
28377,792163,0
28479,685987,0
28580,706192,0
28681,702844,0
28782,639862,0
28883,708374,0
28987,721814,0
29085,388261,0
29189,893852,0
29286,466363,0
29386,698413,0
29486,875243,0
29588,665459,0
29688,827471,0
29788,1364289,0
29888,853543,0
29990,948296,0
30090,988192,0
30192,787534,0
30292,721419,0
30392,730001,0
30493,754846,0
30594,699496,0
30695,689697,0
30795,624240,0
30899,754618,0
30997,1187819,0
31101,962502,0
31198,579753,0
31298,822712,0
31398,786493,0
31500,726179,0
31599,760093,0
31701,727693,0
31801,691685,0
31903,681127,0
32005,693818,0
32105,699496,0
32206,719582,0
32307,700612,0
32409,744526,0
32509,625572,0
32611,695794,0
32711,717350,0
32811,794839,0
32914,1007324,0
33010,1441868,0
33110,2077504,0
33212,2249592,0
33311,1919768,0
33411,1858969,0
33512,1461776,0
33615,1419890,0
33715,1526060,0
33815,1520986,0
33916,1446181,0
34016,1363142,0
34120,1132242,0
34220,983246,0
34324,989472,0
34420,1218047,0
34521,1533154,0
34622,1505391,0
34723,1431220,0
34824,1257818,0
34925,1261101,0
35025,278087,0
35126,1225484,0
35228,1342725,0
35328,1345108,0
35429,1291955,0
35532,1279992,0
35629,1451526,0
35735,949032,0
35832,1245031,0
35931,1424877,0
36032,641242,0
36135,782841,0
36234,852261,0
36334,775869,0
36436,770251,0
36537,770240,0
36640,783514,0
36737,871022,0
36841,886701,0
36891,654368,0
