datetime,cpu,mem
Sun Oct 23 17:26:15 GMT 2022,0.1,1150464
Sun Oct 23 17:26:17 GMT 2022,37,1173353
Sun Oct 23 17:26:19 GMT 2022,37,1137813
Sun Oct 23 17:26:21 GMT 2022,37,1148467
Sun Oct 23 17:26:24 GMT 2022,0.1,1130325
Sun Oct 23 17:26:27 GMT 2022,0.1,1134973
Sun Oct 23 17:26:30 GMT 2022,0.1,1132119
Sun Oct 23 17:26:32 GMT 2022,0.1,1133687
Sun Oct 23 17:26:35 GMT 2022,0.1,1135488
Sun Oct 23 17:26:37 GMT 2022,0.2,1130375
Sun Oct 23 17:26:39 GMT 2022,0.2,1132817
Sun Oct 23 17:26:42 GMT 2022,0.2,1135171
Sun Oct 23 17:26:44 GMT 2022,51,1128602
Sun Oct 23 17:26:47 GMT 2022,51,1134166
Sun Oct 23 17:26:49 GMT 2022,51,1131691
Sun Oct 23 17:26:52 GMT 2022,56,1129407
Sun Oct 23 17:26:54 GMT 2022,56,1129230
Sun Oct 23 17:26:57 GMT 2022,0.1,1130559
Sun Oct 23 17:27:00 GMT 2022,0.1,1130085
Sun Oct 23 17:27:02 GMT 2022,0.1,1126104
Sun Oct 23 17:27:05 GMT 2022,0.2,1127507
Sun Oct 23 17:27:07 GMT 2022,0.2,1129680
Sun Oct 23 17:27:10 GMT 2022,57,1127550
Sun Oct 23 17:27:12 GMT 2022,57,1126545
Sun Oct 23 17:27:15 GMT 2022,60,1127876
Sun Oct 23 17:27:17 GMT 2022,60,1130581
Sun Oct 23 17:27:20 GMT 2022,56,1124488
Sun Oct 23 17:27:23 GMT 2022,56,1129143
Sun Oct 23 17:27:25 GMT 2022,66,1128852
Sun Oct 23 17:27:28 GMT 2022,66,1129241
