Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
60,5719564,3666075
161,5525765,3472276
265,6025028,3971539
360,5984070,3930581
467,5868633,3815144
564,6459541,4406052
664,5474394,3420905
764,3707952,1654463
865,3695575,1642086
964,4466349,2412860
1064,3641454,1587965
1166,3827831,1774342
1271,5046630,2993141
1373,5516905,3463416
1476,2576533,523044
1567,2730322,676833
1670,3504854,1451365
1773,3455439,1401950
1878,3073042,1019553
1969,3305345,1251856
2071,3190282,1136793
2171,2634331,580842
2273,2428544,375055
2377,1751012,0
2473,2588076,534587
2574,3025575,972086
2675,2243391,189902
2776,2795686,742197
2876,2922594,869105
2996,3492538,1439049
3083,3782807,1729318
3183,3557688,1504199
3281,2197338,143849
3380,2744233,690744
3480,2216484,162995
3583,3012850,959361
3682,2484278,430789
3782,2235756,182267
3883,2126956,73467
3985,2443165,389676
4089,2775072,721583
4189,2538377,484888
4286,2276042,222553
4390,3481857,1428368
4488,3028992,975503
4590,4225985,2172496
4690,2671778,618289
4790,3422944,1369455
4891,2600420,546931
4991,1820707,0
5091,1455206,0
5192,2246579,193090
5294,971525,0
5392,1477011,0
5492,1963877,0
5593,1978658,0
5693,1719085,0
5794,2072040,18551
5899,992587,0
5994,371262,0
6098,1231513,0
6198,1381626,0
6298,2312044,258555
6400,1244500,0
6504,977931,0
6602,819301,0
6703,1994061,0
6804,1046137,0
6905,1681583,0
7005,2878807,825318
7111,3033446,979957
7206,1954919,0
7322,1932056,0
7407,2632856,579367
7508,2263372,209883
7608,2017302,0
7709,2166939,113450
7809,1385667,0
7909,1924414,0
8010,1784657,0
8111,1859580,0
8211,1952512,0
8311,2750402,696913
8411,2947149,893660
8514,2203538,150049
8613,2223437,169948
8714,2232547,179058
8815,2077022,23533
8915,2060604,7115
9017,3712997,1659508
9115,2279446,225957
9216,2266060,212571
9317,2422728,369239
9418,2897251,843762
9519,2195799,142310
9621,1937676,0
9719,1679552,0
9820,1564831,0
9920,1392748,0
10020,669466,0
10122,423640,0
10222,660220,0
10324,1059333,0
10423,1029475,0
10524,777240,0
10624,858906,0
10729,903664,0
10828,1126053,0
10936,992408,0
11040,2922389,868900
11131,3022771,969282
11233,2183870,130381
11333,1932916,0
11435,1710643,0
11535,1603092,0
11638,1323458,0
11739,1839705,0
11835,1545731,0
11949,1399704,0
12040,2219720,166231
12138,2018957,0
12241,2033614,0
12343,2793643,740154
12437,2349098,295609
12543,1526041,0
12635,1934737,0
12736,2982703,929214
12838,2467060,413571
12937,1940815,0
13037,1728979,0
13137,1447890,0
13238,1216096,0
13338,939815,0
13439,1096653,0
13540,667526,0
13640,815886,0
13743,602244,0
13841,1019857,0
13941,695281,0
14042,698146,0
14142,460892,0
14243,1020800,0
14343,719656,0
14444,571207,0
14544,888369,0
14646,403555,0
14746,562032,0
14847,650276,0
14948,810950,0
15048,1342767,0
15150,1493762,0
15252,1616522,0
15350,1679490,0
15451,1762603,0
15551,1728225,0
15652,1666109,0
15752,1608748,0
15853,1407985,0
15954,2086623,33134
16054,2952541,899052
16155,2705474,651985
16254,2963598,910109
16355,2735288,681799
16456,2726985,673496
16557,2762835,709346
16656,2781931,728442
16756,950113,0
16857,935137,0
16959,785956,0
17059,1012746,0
17160,750138,0
17260,889774,0
17361,725203,0
17461,580915,0
17562,663206,0
17663,683220,0
17766,1259084,0
17864,754787,0
17965,1265022,0
18014,809565,0
18115,1079233,0
18216,750138,0
18316,747228,0
18418,959592,0
18520,1341040,0
18618,1425344,0
18719,2033457,0
18819,2227653,174164
18920,2101006,47517
19020,1960623,0
19120,1964775,0
19223,1105952,0
19321,2449926,396437
19420,2116299,62810
19521,2339507,286018
19621,2308818,255329
19721,2275254,221765
19823,1526185,0
19922,2207202,153713
20022,2424493,371004
20123,1999916,0
20223,1543904,0
20324,1574979,0
20426,815977,0
20526,545011,0
20627,584271,0
20727,686188,0
20828,715737,0
20929,559170,0
21029,687464,0
21130,564748,0
21230,638426,0
21331,596648,0
21430,593274,0
21531,973761,0
21631,659948,0
21732,805453,0
21833,727344,0
21934,904966,0
22035,1501854,0
22140,1916580,0
22237,1840185,0
22337,1801145,0
22438,1695742,0
22538,2249499,196010
22639,2105630,52141
22740,2263372,209883
22840,2035470,0
22941,2235766,182277
23041,2624353,570864
23141,2121044,67555
23242,2250106,196617
23342,2157829,104340
23443,1534878,0
23543,2443192,389703
23643,2219942,166453
23744,1566161,0
23845,1882009,0
23949,1082077,0
24045,1414739,0
24146,1079113,0
24246,933335,0
24348,638313,0
24448,737436,0
24549,790873,0
24649,750161,0
24751,804537,0
24850,772285,0
24952,748753,0
25052,838938,0
25152,854227,0
25253,723247,0
25354,1026752,0
25456,1126750,0
25556,1495437,0
25656,2015711,0
25757,1397492,0
25861,1705408,0
25957,1470252,0
26058,1587116,0
26159,1737688,0
26260,2003159,0
26360,2326748,273259
26461,2475311,421822
26562,2360590,307101
26661,3086311,1032822
26763,2571536,518047
26862,2265230,211741
26963,1988610,0
27063,1979033,0
27163,2269855,216366
27264,1756452,0
27364,1635999,0
27466,837782,0
27566,746482,0
27667,863884,0
27769,1105931,0
27868,908742,0
27969,402955,0
28071,503983,0
28171,609945,0
28271,552347,0
28372,513000,0
28473,591912,0
28573,536637,0
28674,580445,0
28775,665152,0
28875,529334,0
28975,1475629,0
29077,1547500,0
29177,1597426,0
29277,1498782,0
29379,1583351,0
29478,1753971,0
29579,1815018,0
29679,1753570,0
29779,1773539,0
29881,1953865,0
29986,2061661,8172
30081,1883747,0
30181,1987706,0
30282,2243074,189585
30386,2185713,132224
30484,2099794,46305
30585,2118211,64722
30684,1982657,0
30785,1339764,0
30885,1218432,0
30986,794559,0
31086,765099,0
31188,383469,0
31288,480550,0
31389,529334,0
31490,555552,0
31591,552312,0
31691,598980,0
31794,594314,0
31893,524772,0
31993,586130,0
32094,565646,0
32195,546177,0
32295,469821,0
32400,1138863,0
32497,1844554,0
32596,1459128,0
32697,1890269,0
32799,2929822,876333
32898,3266070,1212581
32998,2493848,440359
33099,1970103,0
33200,2248663,195174
33301,2320364,266875
33401,2099165,45676
33500,2186141,132652
33602,1977273,0
33702,2164631,111142
33802,2175749,122260
33903,2355002,301513
34003,2510596,457107
34103,2403253,349764
34202,1722373,0
34304,1763880,0
34405,794376,0
34506,369518,0
34606,674683,0
34707,604108,0
34808,557511,0
34909,490593,0
35009,584219,0
35109,912729,0
35210,550015,0
35311,483898,0
35412,505332,0
35512,1175385,0
35612,2344704,291215
35713,1284547,0
35813,891738,0
35914,1109765,0
36016,1398897,0
36116,1307604,0
36217,1486856,0
36318,1393645,0
36418,1644598,0
36517,2078647,25158
36623,2621937,568448
36718,2321757,268268
36819,2114440,60951
36920,2141112,87623
37020,2270173,216684
37121,2370555,317066
37221,2492446,438957
37322,2248663,195174
37424,2280483,226994
37524,1943119,0
37626,1216384,0
37725,1476966,0
37825,1487662,0
37926,941310,0
38026,790034,0
38127,1147288,0
38228,800188,0
38328,1085331,0
38428,1047066,0
38529,672423,0
38629,824943,0
38730,795021,0
38830,634159,0
38934,1317718,0
39036,496424,0
39133,777983,0
39232,836248,0
39333,730190,0
39435,1116334,0
39535,1663694,0
39636,1701959,0
39736,1533160,0
39836,1606333,0
39938,1709129,0
40037,1551387,0
40139,745286,0
40237,2494993,441504
40338,1796475,0
40438,1885535,0
40540,1888553,0
40640,2019352,0
40741,1338544,0
40840,1865936,0
40941,1953084,0
41041,2026522,0
41141,1828174,0
41242,879369,0
41344,1625389,0
41443,1109339,0
41545,973628,0
41645,977490,0
41747,970917,0
41847,682397,0
41948,766430,0
42048,824943,0
42149,750138,0
42200,738720,0
42300,565704,0
42403,505332,0
42502,559137,0
42603,580137,0
42704,613587,0
42804,596648,0
42906,972736,0
43006,2725444,671955
43106,2891897,838408
43207,2660039,606550
43307,2823214,769725
43407,2827366,773877
43506,2303246,249757
43608,2294339,240850
43711,2026392,0
43809,2102734,49245
43910,2105818,52329
44010,2445049,391560
44111,2574111,520622
44211,2222777,169288
44312,2409199,355710
44413,3757903,1704414
44514,2923549,870060
44615,2122517,69028
44715,1595213,0
44815,1263286,0
44915,785047,0
45017,580580,0
45116,707332,0
45217,896092,0
45318,839589,0
45418,1013133,0
45518,864839,0
45618,555528,0
45720,492371,0
45820,554277,0
45921,624628,0
46020,771552,0
46123,869376,0
46222,783658,0
46322,896092,0
46423,1011540,0
46524,1694789,0
46626,1608748,0
46726,1591993,0
46827,2126748,73259
46927,2087879,34390
47028,1970139,0
47129,2087879,34390
47229,2169768,116279
47330,2266189,212700
47430,2162598,109109
47531,2149995,96506
47631,2023348,0
47731,2090897,37408
47833,2215848,162359
47933,1923346,0
48033,2140863,87374
48133,1961611,0
48233,1388004,0
48334,1457740,0
48434,996579,0
48534,988137,0
48635,1284241,0
48736,812867,0
48836,636286,0
48938,738405,0
49037,552192,0
49139,589531,0
49251,796234,0
49345,1109414,0
49445,851786,0
49545,987968,0
49641,894757,0
49741,562709,0
49841,849878,0
49943,1635013,0
50043,1618936,0
50143,1458176,0
50246,665152,0
50344,1936157,0
50444,1393645,0
50545,1691942,0
50645,2129318,75829
50746,1924404,0
50847,1904027,0
50948,1455875,0
51048,2303898,250409
51148,2033692,0
51248,1988935,0
51349,1596316,0
51451,1232563,0
51550,2078283,24794
51650,1877521,0
51751,1519016,0
51851,1419337,0
51952,700268,0
52052,765099,0
52154,413406,0
52256,483898,0
52357,511380,0
52457,555897,0
52556,613921,0
52657,559170,0
52758,516672,0
52858,550692,0
52960,499520,0
53059,462802,0
53160,770273,0
53260,843782,0
53361,567993,0
53464,1832525,0
53562,1596542,0
53664,1658939,0
53764,1584823,0
53866,1497045,0
53965,1590521,0
54066,1599163,0
54166,1697807,0
54267,2128853,75364
54367,2367881,314392
54469,2107343,53854
54569,1962204,0
54669,1844464,0
54769,2121683,68194
54869,2027000,0
54970,2181459,127970
55070,2145608,92119
55170,2052397,0
55271,1264636,0
55372,1245434,0
55472,894761,0
55572,1000278,0
55673,834917,0
55773,765099,0
55874,859998,0
55976,1201557,0
56074,948140,0
56176,842814,0
56276,856475,0
56376,625463,0
56477,643507,0
56577,692755,0
56678,590976,0
56779,745286,0
56879,666489,0
56980,1721203,0
57080,2810099,756610
57181,2848968,795479
57282,2936746,883257
57383,2630846,577357
57483,2245155,191666
57583,2285721,232232
57683,2600841,547352
57784,2428758,375269
57884,2164539,111050
57985,1416493,0
58085,2466009,412520
58190,2464486,410997
58287,2195175,141686
58387,2278596,225107
58489,2246353,192864
58590,1962360,0
58690,1799862,0
58791,1148633,0
58892,1045481,0
58994,582658,0
59093,684675,0
59194,666489,0
59295,712454,0
59395,557010,0
59495,583276,0
59596,519515,0
59697,540801,0
59797,600048,0
59898,567558,0
59998,545427,0
60099,573291,0
60200,534492,0
60301,485892,0
60403,751154,0
60503,1329875,0
60607,1551933,0
60705,1598039,0
60814,2633311,579822
60907,2823811,770322
61007,2211576,158087
61108,2263504,210015
61209,2287429,233940
61309,1957605,0
61410,2072326,18837
61511,2065156,11667
61611,2093836,40347
61711,2220483,166994
61812,2133918,80429
61912,2281471,227982
62014,2274301,220812
62114,2199582,146093
62214,1607483,0
62315,1528611,0
62416,1248296,0
62516,809982,0
62616,750138,0
62717,864839,0
62817,854865,0
62918,670346,0
63018,645417,0
63121,1326641,0
63219,784273,0
63320,829930,0
63419,745151,0
63520,574560,0
63622,580137,0
63723,560757,0
63826,529632,0
63924,760928,0
64024,1567039,0
64124,1412741,0
64224,1465346,0
64326,1504215,0
64427,1771245,0
64526,2309059,255570
64625,2262755,209266
64726,2283513,230024
64827,2183884,130395
64927,2069162,15673
65027,2061992,8503
65128,2284265,230776
65229,2205394,151905
65330,2592579,539090
65430,2251433,197944
65533,2009725,0
65631,2252500,199011
65731,1605901,0
65832,1248277,0
65933,597542,0
66033,728870,0
66133,595427,0
66234,690747,0
66334,578693,0
66435,617739,0
66535,573331,0
66637,483840,0
66738,500472,0
66837,549072,0
66938,493940,0
67038,511279,0
67140,591192,0
67240,624439,0
67340,550357,0
67443,789384,0
67543,1852531,0
67644,1577653,0
67744,1809511,0
67845,1594408,0
67946,1655200,0
68049,1845122,0
68148,1392372,0
68247,1605729,0
68348,2133918,80429
68449,2279057,225568
68549,2012026,0
68648,2101467,47978
68749,2245621,192132
68850,2310152,256663
68951,2252791,199302
69051,2071124,17635
69150,1997686,0
69252,1299168,0
69351,1183465,0
69452,866170,0
69552,827020,0
69654,751469,0
69754,640424,0
69854,765099,0
69954,730190,0
70054,690294,0
70155,715229,0
70255,780060,0
70356,646655,0
70459,1274697,0
70557,1001424,0
70657,747184,0
70758,824943,0
70858,680320,0
70961,1359884,0
71060,2157998,104509
71160,2196867,143378
71262,2064787,11298
71362,2423292,369803
71462,2305552,252063
71565,1395447,0
71663,2255965,202476
71763,1867043,0
71864,2071957,18468
71964,2229699,176210
72064,1943884,0
72165,2208189,154700
72269,1315183,0
72366,2523673,470184
72467,2212796,159307
72568,1754058,0
72668,1788172,0
72771,998443,0
72822,1126549,0
72924,1435458,0
73029,1592002,0
73126,1317040,0
73227,1301948,0
73330,1266097,0
73428,1395159,0
73533,1481200,0
,,
,,
