datetime,cpu,mem
Sun Oct 23 17:44:13 GMT 2022,0.1,1182190
Sun Oct 23 17:44:15 GMT 2022,0.1,1191729
Sun Oct 23 17:44:17 GMT 2022,0.1,1094393
Sun Oct 23 17:44:19 GMT 2022,0.1,1151467
Sun Oct 23 17:44:22 GMT 2022,0.2,1189663
Sun Oct 23 17:44:25 GMT 2022,0.2,1227512
Sun Oct 23 17:44:28 GMT 2022,0.1,1235205
Sun Oct 23 17:44:31 GMT 2022,0.1,1243464
Sun Oct 23 17:44:36 GMT 2022,0.2,1167645
Sun Oct 23 17:44:39 GMT 2022,0.2,1171473
Sun Oct 23 17:44:42 GMT 2022,83,1169694
Sun Oct 23 17:44:45 GMT 2022,83,1166515
Sun Oct 23 17:44:48 GMT 2022,82,1163460
Sun Oct 23 17:44:51 GMT 2022,82,1164743
Sun Oct 23 17:44:54 GMT 2022,79,1158686
Sun Oct 23 17:44:57 GMT 2022,79,1164709
Sun Oct 23 17:45:01 GMT 2022,81,1163666
Sun Oct 23 17:45:04 GMT 2022,81,1164267
Sun Oct 23 17:45:07 GMT 2022,81,1163922
Sun Oct 23 17:45:10 GMT 2022,81,1159861
Sun Oct 23 17:45:13 GMT 2022,84,1163242
Sun Oct 23 17:45:16 GMT 2022,84,1163953
Sun Oct 23 17:45:19 GMT 2022,80,1157164
Sun Oct 23 17:45:22 GMT 2022,80,1161557
Sun Oct 23 17:45:25 GMT 2022,83,1161193
