Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
67,4046355,1878418
167,3923031,1755094
262,4433068,2265131
362,3155870,987933
464,3369581,1201644
566,2799636,631699
665,3185636,1017699
766,3856092,1688155
866,3790186,1622249
969,4797057,2629120
1069,3620288,1452351
1169,4376554,2208617
1270,4711288,2543351
1372,4957140,2789203
1475,3952592,1784655
1577,4204344,2036407
1681,4656321,2488384
1783,5130126,2962189
1878,4257147,2089210
1981,5476608,3308671
2081,4686884,2518947
2176,3710614,1542677
2279,3220142,1052205
2387,2719867,551930
2479,3860707,1692770
2581,3186925,1018988
2680,3230703,1062766
2783,3094471,926534
2890,3413578,1245641
2994,3133340,965403
3086,3309574,1141637
3186,3004882,836945
3285,3172540,1004603
3388,3209193,1041256
3491,3022771,854834
3590,3381275,1213338
3690,2893709,725772
3795,3080131,912194
3896,3266554,1098617
3996,3231456,1063519
4093,3216363,1048426
4196,2786157,618220
4298,3202023,1034086
4400,3111830,943893
4499,2337755,169818
4602,2088237,0
4704,2144524,0
4799,2251468,83531
4909,2251468,83531
5005,2155781,0
5111,2144524,0
5208,2251468,83531
5316,2251468,83531
5409,2251468,83531
5509,2195182,27245
5607,2251468,83531
5706,2195182,27245
5813,2251468,83531
5913,2195182,27245
6020,2200810,32873
6117,2195182,27245
6210,2251468,83531
6317,2195182,27245
6425,2251468,83531
6515,2195182,27245
6617,2138895,0
6726,2251468,83531
6818,2195182,27245
6920,2195182,27245
7018,2251468,83531
7116,2251468,83531
7238,2251468,83531
7316,2251468,83531
7438,2127638,0
7524,2183924,15987
7632,2195182,27245
7740,2251468,83531
7830,2183924,15987
7933,2200810,32873
8027,2195182,27245
8135,2195182,27245
8226,2251468,83531
8327,2195182,27245
8428,2127638,0
8541,2144524,0
8629,2183924,15987
8735,2251468,83531
8836,2099494,0
8933,2251468,83531
9034,2643576,475639
9157,2699862,531925
9250,2649204,481267
9345,2699862,531925
9452,2200810,32873
9553,2251468,83531
9641,2138895,0
9762,2200810,32873
9852,2251468,83531
9945,2251468,83531
10049,2183924,15987
10153,2195182,27245
10272,2251468,83531
10365,3474652,1306715
10467,3474652,1306715
10550,3418366,1250429
10611,3474652,1306715
10712,3407108,1239171
10823,3407108,1239171
10916,3474652,1306715
11014,3474652,1306715
11115,3350822,1182885
11223,3474652,1306715
11312,3305792,1137855
11420,2806774,638837
11519,2795516,627579
11624,2863060,695123
11725,2767373,599436
11818,2733601,565664
11923,2812402,644465
12023,2863060,695123
12120,2863060,695123
12228,2587255,419318
12326,2750487,582550
12430,2217833,49896
12527,2161546,0
12632,2217833,49896
12733,2054601,0
12845,2167175,0
12943,2274119,106182
13031,2178432,10495
13144,2105259,0
13248,2274119,106182
13345,2122216,0
13439,3957093,1789156
13537,3591229,1423292
13639,3827633,1659696
13737,3636259,1468322
