datetime,cpu,mem
Sun Oct 23 15:09:21 GMT 2022,0.1,1231367
Sun Oct 23 15:09:22 GMT 2022,0,1228951
Sun Oct 23 15:09:24 GMT 2022,0,1201376
Sun Oct 23 15:09:26 GMT 2022,0,1216521
Sun Oct 23 15:09:28 GMT 2022,0.1,1235587
Sun Oct 23 15:09:31 GMT 2022,0.1,1236057
Sun Oct 23 15:09:33 GMT 2022,-8.5,1219713
Sun Oct 23 15:09:36 GMT 2022,-8.5,1212593
Sun Oct 23 15:09:38 GMT 2022,-8.5,1218516
Sun Oct 23 15:09:40 GMT 2022,41,1204811
Sun Oct 23 15:09:42 GMT 2022,41,1206159
Sun Oct 23 15:09:44 GMT 2022,41,1203050
Sun Oct 23 15:09:46 GMT 2022,0.1,1205157
Sun Oct 23 15:09:48 GMT 2022,0.1,1200021
Sun Oct 23 15:09:49 GMT 2022,0.1,1203020
Sun Oct 23 15:09:51 GMT 2022,34,1197577
Sun Oct 23 15:09:53 GMT 2022,34,1201685
Sun Oct 23 15:09:55 GMT 2022,34,1202748
Sun Oct 23 15:09:57 GMT 2022,33,1202601
Sun Oct 23 15:09:58 GMT 2022,33,1196739
Sun Oct 23 15:10:00 GMT 2022,33,1201826
Sun Oct 23 15:10:02 GMT 2022,32,1201555
Sun Oct 23 15:10:04 GMT 2022,32,1202227
Sun Oct 23 15:10:06 GMT 2022,32,1204414
Sun Oct 23 15:10:08 GMT 2022,31,1204471
Sun Oct 23 15:10:09 GMT 2022,31,1204171
Sun Oct 23 15:10:11 GMT 2022,31,1205778
Sun Oct 23 15:10:13 GMT 2022,24,1201993
Sun Oct 23 15:10:15 GMT 2022,24,1201150
Sun Oct 23 15:10:17 GMT 2022,24,1202017
Sun Oct 23 15:10:19 GMT 2022,18,1195350
Sun Oct 23 15:10:21 GMT 2022,18,1196070
Sun Oct 23 15:10:23 GMT 2022,18,1201105
Sun Oct 23 15:10:25 GMT 2022,23,1202102
Sun Oct 23 15:10:27 GMT 2022,23,1202694
Sun Oct 23 15:10:29 GMT 2022,23,1203073
Sun Oct 23 15:10:30 GMT 2022,33,1201126
Sun Oct 23 15:10:32 GMT 2022,33,1202437
Sun Oct 23 15:10:34 GMT 2022,33,1188270
