Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,2026144,617594
135,2305484,896934
235,2737366,1328816
286,2181330,772780
386,2129170,720620
486,2071809,663259
587,2694933,1286383
687,4004949,2596399
787,2702777,1294227
889,3528818,2120268
990,2768046,1359496
1092,3706713,2298163
1191,4185220,2776670
1291,4383512,2974962
1394,4842688,3434138
1494,4510312,3101762
1599,4308647,2900097
1701,5578716,4170166
1793,4405483,2996933
1903,3256459,1847909
2001,3258100,1849550
2096,4423313,3014763
2197,3275054,1866504
2298,3861866,2453316
2399,2511744,1103194
2496,2838514,1429964
2598,934781,0
2698,2044177,635627
2799,1773031,364481
2900,1715777,307227
3000,2100867,692317
3100,2156338,747788
3200,2410981,1002431
3301,2108037,699487
3401,1362935,0
3504,1991366,582816
3605,1774334,365784
3721,1489090,80540
3809,2112169,703619
3913,2059108,650558
4015,1746494,337944
4133,2750307,1341757
4218,3230703,1822153
4315,3151832,1743282
4425,3830295,2421745
4517,2196470,787920
4617,1968767,560217
4722,2255570,847020
4822,2003749,595199
4925,2140849,732299
5018,2334442,925892
5126,1832535,423985
5221,1811025,402475
5320,2158208,749658
5424,2262741,854191
5526,1990277,581727
5622,2183870,775320
5723,2222738,814188
5822,1660453,251903
5938,788503,0
6026,1069155,0
6125,1717813,309263
6226,1438180,29630
6327,2004617,596067
6426,2520864,1112314
6530,1940086,531536
6632,2586031,1177481
6729,1930634,522084
6834,2060093,651543
6933,2082608,674058
7030,2060093,651543
7132,1857461,448911
7233,1688601,280051
7333,1598542,189992
7434,1744888,336338
7534,1998178,589628
7649,2031950,623400
7740,2251468,842918
7850,2144524,735974
7939,2251468,842918
8053,2144524,735974
8140,2037579,629029
8244,2026321,617771
8336,1964406,555856
8439,1711116,302566
8539,1834947,426397
8642,1744888,336338
8740,1761774,353224
8853,2054465,645915
8942,1654829,246279
9041,1379024,0
9142,1131363,0
9243,1001903,0
9342,1170763,0
9441,1035675,0
9546,500951,0
9661,1592914,184364
9749,1671715,263165
9845,1221421,0
9950,1300223,0
10056,1773031,364481
10147,1941891,533341
10252,1238307,0
10349,1547884,139334
10449,1632314,223764
10554,1294594,0
10650,1739259,330709
10750,767356,0
10852,345831,0
