datetime,cpu,mem
Sun Oct 23 15:11:52 GMT 2022,32,1279488
Sun Oct 23 15:11:54 GMT 2022,8.9,1303004
Sun Oct 23 15:11:57 GMT 2022,8.9,1271923
Sun Oct 23 15:12:01 GMT 2022,0.2,1244241
Sun Oct 23 15:12:06 GMT 2022,0.2,1263621
Sun Oct 23 15:12:10 GMT 2022,99,1285312
Sun Oct 23 15:12:13 GMT 2022,99,1290374
Sun Oct 23 15:12:16 GMT 2022,97,1282588
Sun Oct 23 15:12:20 GMT 2022,97,1298753
Sun Oct 23 15:12:23 GMT 2022,96,1309980
Sun Oct 23 15:12:26 GMT 2022,96,1315614
Sun Oct 23 15:12:29 GMT 2022,93,1319123
Sun Oct 23 15:12:32 GMT 2022,93,1319408
Sun Oct 23 15:12:34 GMT 2022,0.1,1318255
Sun Oct 23 15:12:37 GMT 2022,0.1,1316467
Sun Oct 23 15:12:39 GMT 2022,0.1,1307810
Sun Oct 23 15:12:42 GMT 2022,48,1299276
Sun Oct 23 15:12:45 GMT 2022,48,1297177
Sun Oct 23 15:12:47 GMT 2022,86,1299342
Sun Oct 23 15:12:49 GMT 2022,86,1298086
Sun Oct 23 15:12:52 GMT 2022,86,1295697
Sun Oct 23 15:12:54 GMT 2022,44,1296790
Sun Oct 23 15:12:57 GMT 2022,44,1298534
Sun Oct 23 15:12:59 GMT 2022,44,1298703
Sun Oct 23 15:13:01 GMT 2022,45,1296888
Sun Oct 23 15:13:04 GMT 2022,45,1296157
Sun Oct 23 15:13:06 GMT 2022,45,1283362
