Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,3615858,402866
97,4102914,889922
190,3499691,286699
291,3523887,310895
392,3298133,85141
492,3291828,78836
592,3037066,0
693,3539371,326379
793,4744061,1531069
894,3246111,33119
1000,3530729,317737
1096,2594927,0
1198,3134902,0
1301,2941694,0
1402,3722234,509242
1504,3664262,451270
1602,3337015,124023
1708,3863206,650214
1808,3147256,0
1902,3160434,0
2004,3037111,0
2102,3044281,0
2206,2893709,0
2311,3129454,0
2414,3348443,135451
2512,3366935,153943
2614,3608240,395248
2715,2793632,0
2816,2610717,0
2919,2195182,0
3016,2144524,0
3116,2195182,0
3222,2195182,0
3322,2138895,0
3420,2195182,0
3521,2065722,0
3626,2195182,0
3721,2251468,0
3823,2144524,0
3930,2195182,0
4018,2082608,0
4121,2183924,0
4223,2251468,0
4337,2144524,0
4424,2251468,0
4526,2155781,0
4628,2133266,0
4734,2054465,0
4843,2251468,0
4927,2195182,0
5030,2251468,0
5140,2251468,0
5231,2195182,0
5337,2071351,0
5447,2251468,0
5544,2251468,0
5638,2183924,0
5744,2251468,0
5855,2138895,0
5961,2195182,0
6054,2195182,0
6147,2138895,0
6264,2195182,0
6377,2195182,0
6455,3542606,329614
6560,3542606,329614
6649,3542606,329614
6749,2763148,0
6851,2251468,0
6950,2251468,0
7054,2251468,0
7152,2251468,0
7253,2082608,0
7358,2251468,0
7456,2138895,0
7573,2144524,0
7673,2251468,0
7758,2183924,0
7883,2251468,0
7996,2251468,0
8062,2251468,0
8162,2251468,0
8266,2251468,0
8372,2251468,0
8463,2251468,0
8563,2195182,0
8664,2138895,0
8793,2144524,0
8863,2195182,0
8977,2195182,0
9082,3531623,318631
9169,2771819,0
9269,2127638,0
9376,2183924,0
9482,2251468,0
9571,2251468,0
9691,2200810,0
9779,2251468,0
9878,2195182,0
9972,2251468,0
10081,2071351,0
10173,2195182,0
10280,2195182,0
10375,2200810,0
10481,2088237,0
10578,2251468,0
10688,2251468,0
10785,2251468,0
10886,2195182,0
10996,2251468,0
11086,2195182,0
11192,2138895,0
11285,2251468,0
11392,2155781,0
11484,2076979,0
11593,2093865,0
11692,2251468,0
11795,2251468,0
11889,2082608,0
11994,2560895,0
12095,2442693,0
12190,2532752,0
12299,2622811,0
12398,2673469,0
12511,2195182,0
12610,2161410,0
12680,2251468,0
12749,2251468,0
12852,2251468,0
12953,2251468,0
13049,2099494,0
13147,2167038,0
13251,2099494,0
13346,2071351,0
13446,2122009,0
13552,2105123,0
13649,2127638,0
13748,2756227,0
13849,2643653,0
13958,2688683,0
14051,2592995,0
14152,2604252,0
14254,2009435,0
14362,2054465,0
14456,2195182,0
14554,2195182,0
14658,2138895,0
14764,2183924,0
14870,2138895,0
14969,2251468,0
15075,1981292,0
15181,2251468,0
15270,2195182,0
15376,2195182,0
15473,2195182,0
15569,2251468,0
15681,2195182,0
15776,2138895,0
15879,1986921,0
15975,2088237,0
16071,2060093,0
16172,1874347,0
16276,1981292,0
16379,1986921,0
16482,2178296,0
16576,2071351,0
16683,2138895,0
16778,2195182,0
16884,1941891,0
16983,2082608,0
17085,2099494,0
17182,2043207,0
17283,2122009,0
17387,2155781,0
17485,2251468,0
17601,2251468,0
17715,2158443,0
17789,2287903,0
