datetime,cpu,mem
Fri Oct 28 17:17:38 GMT 2022,0.4,1358055
Fri Oct 28 17:17:39 GMT 2022,-1.2,1361807
Fri Oct 28 17:17:41 GMT 2022,-1.2,1278201
Fri Oct 28 17:17:43 GMT 2022,-1.2,1302200
Fri Oct 28 17:17:45 GMT 2022,0.8,1300873
Fri Oct 28 17:17:47 GMT 2022,0.8,1296488
Fri Oct 28 17:17:49 GMT 2022,0.8,1296923
Fri Oct 28 17:17:51 GMT 2022,38,1290569
Fri Oct 28 17:17:53 GMT 2022,38,1290813
Fri Oct 28 17:17:55 GMT 2022,38,1295122
Fri Oct 28 17:17:57 GMT 2022,38,1300708
Fri Oct 28 17:17:59 GMT 2022,38,1300807
Fri Oct 28 17:18:02 GMT 2022,38,1310297
Fri Oct 28 17:18:05 GMT 2022,0.5,1312343
Fri Oct 28 17:18:08 GMT 2022,0.5,1301839
Fri Oct 28 17:18:11 GMT 2022,0,1300912
Fri Oct 28 17:18:13 GMT 2022,0,1301391
Fri Oct 28 17:18:15 GMT 2022,0,1302691
Fri Oct 28 17:18:18 GMT 2022,0.1,1302047
Fri Oct 28 17:18:20 GMT 2022,0.1,1299231
Fri Oct 28 17:18:22 GMT 2022,0.1,1302151
Fri Oct 28 17:18:24 GMT 2022,34,1302265
Fri Oct 28 17:18:25 GMT 2022,34,1301265
Fri Oct 28 17:18:27 GMT 2022,34,1302633
Fri Oct 28 17:18:29 GMT 2022,34,1302267
Fri Oct 28 17:18:31 GMT 2022,34,1303843
Fri Oct 28 17:18:33 GMT 2022,34,1304031
Fri Oct 28 17:18:34 GMT 2022,0.2,1303388
Fri Oct 28 17:18:36 GMT 2022,0.2,1303256
Fri Oct 28 17:18:38 GMT 2022,0.2,1303500
Fri Oct 28 17:18:40 GMT 2022,0.4,1299110
Fri Oct 28 17:18:42 GMT 2022,0.4,1300884
Fri Oct 28 17:18:44 GMT 2022,0.4,1306294
Fri Oct 28 17:18:46 GMT 2022,33,1304526
Fri Oct 28 17:18:48 GMT 2022,33,1305318
Fri Oct 28 17:18:50 GMT 2022,33,1303955
Fri Oct 28 17:18:52 GMT 2022,34,1290480
