Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,2054738,70149
86,1909454,0
188,2655350,670761
288,2177891,193302
388,2401633,417044
489,2224644,240055
591,3730864,1746275
690,3686431,1701842
789,3477526,1492937
891,2558179,573590
992,2785525,800936
1092,2990071,1005482
1193,4738741,2754152
1292,4821209,2836620
1397,4050195,2065606
1501,3629574,1644985
1598,3959022,1974433
1698,3475404,1490815
1808,4080566,2095977
1900,4852817,2868228
2000,4145826,2161237
2100,4138859,2154270
2204,3338843,1354254
2299,3958042,1973453
2399,4531769,2547180
2499,2761262,776673
2599,2191217,206628
2700,2504401,519812
2800,2735783,751194
2900,3011538,1026949
3000,3191517,1206928
3104,2457223,472634
3205,2769694,785105
3305,2547024,562435
3406,2955719,971130
3509,3199759,1215170
3615,2792947,808358
3707,1906799,0
3808,1389493,0
3912,1851853,0
4012,2277494,292905
4114,1882345,0
4210,2113938,129349
4310,2411120,426531
4414,2389759,405170
4511,2474518,489929
4612,2680375,695786
4712,1741887,0
4813,726826,0
4914,884568,0
5017,460892,0
5117,564748,0
5217,531362,0
5320,596490,0
5418,1489875,0
5523,1501251,0
5623,1654829,0
5731,2138895,154306
5824,1452197,0
5924,1401539,0
6025,973760,0
6129,1024418,0
6226,1142620,0
6329,1108848,0
6427,1345252,0
6529,1136991,0
6623,1127591,0
6723,1158077,0
6824,1106956,0
6928,1531352,0
7025,742629,0
7126,602605,0
7227,620524,0
7328,479877,0
7428,603832,0
7529,547592,0
7628,1237347,0
7737,1413713,0
7830,785182,0
7931,564710,0
8032,519704,0
8138,780133,0
8232,431979,0
8332,862103,0
8431,1102249,0
8532,833960,0
8633,778613,0
8739,396126,0
8835,461516,0
8935,425599,0
9040,474508,0
9138,422986,0
9239,584712,0
9340,1005352,0
9441,969425,0
9544,793287,0
9645,801128,0
9741,778613,0
9844,569412,0
9941,805817,0
10045,780956,0
10151,679166,0
10247,1838661,0
10351,898672,0
10446,1151963,0
10557,754536,0
10649,1281422,0
10745,1056275,0
10847,452943,0
10948,559342,0
11048,828331,0
11149,749530,0
11250,620070,0
11349,878989,0
11450,428696,0
11553,607391,0
11653,784242,0
11756,566325,0
11853,548381,0
11954,445584,0
12054,1258191,0
12157,1020635,0
12256,686674,0
12355,760658,0
12456,687612,0
12557,661329,0
12657,800188,0
12759,361152,0
12858,850846,0
12959,469036,0
13060,606935,0
13160,738273,0
13262,468096,0
13360,822703,0
13462,567535,0
13564,586298,0
13662,744841,0
13764,420893,0
13864,602169,0
13964,873361,0
14065,632268,0
14164,958731,0
14265,852726,0
14368,357868,0
14466,727955,0
14567,795140,0
14668,682397,0
14768,1102893,0
14868,906216,0
14970,849929,0
15070,962502,0
15176,595090,0
15272,906825,0
15372,1075076,0
15472,793642,0
15575,629819,0
15676,984917,0
15776,973760,0
15877,956874,0
15977,742984,0
16077,1125734,0
16179,731727,0
16278,1075076,0
16379,788014,0
16481,705263,0
16581,1083091,0
16680,956874,0
16785,674011,0
16832,1131363,0
16932,1086333,0
17035,613525,0
17134,1170763,0
17234,731727,0
17336,670450,0
17435,1003153,0
17536,1058190,0
17638,720470,0
17736,782385,0
17838,714841,0
17938,398105,0
18038,833043,0
18139,821786,0
18238,956874,0
18341,672892,0
18441,858500,0
18543,1075076,0
18641,759870,0
18743,711049,0
18843,833338,0
18944,1001903,0
19044,917473,0
19144,945616,0
19245,878072,0
19346,856623,0
19447,673338,0
19551,722534,0
19647,946059,0
19747,1080705,0
19851,380588,0
19949,887022,0
20050,759951,0
20151,679507,0
20252,703807,0
20352,818778,0
20453,681642,0
20554,1329441,0
20654,734483,0
20755,687845,0
20857,652137,0
20958,724341,0
21058,664411,0
21158,686155,0
21260,736271,0
21360,730933,0
21460,534617,0
21564,714571,0
21666,968778,0
21762,968131,0
21863,844756,0
21963,754389,0
22064,719414,0
22165,743125,0
22266,766573,0
22367,726073,0
22468,763333,0
22569,737413,0
22670,764402,0
22770,697265,0
22871,710655,0
22972,686214,0
23073,698003,0
23179,696665,0
23275,760945,0
23375,556282,0
23480,1072863,0
23590,829750,0
23685,1125734,0
23779,971801,0
23880,973873,0
23980,773958,0
24081,745291,0
24182,804537,0
24283,270564,0
24383,685573,0
24485,701773,0
24584,957323,0
24685,712092,0
24786,797023,0
24887,656600,0
24988,763496,0
25089,701728,0
25190,707307,0
25289,856675,0
25394,827414,0
25501,332502,0
25602,1001723,0
25692,1046932,0
25794,1043049,0
25894,727499,0
25995,797142,0
26096,662027,0
26197,702795,0
26298,710655,0
26399,686214,0
26499,686214,0
26600,739081,0
26703,714003,0
26804,711771,0
26907,722930,0
27004,763594,0
27104,1613750,0
27205,1215793,0
27305,996274,0
27407,794809,0
27507,631669,0
27608,793783,0
27710,655484,0
27811,750373,0
27911,688338,0
28013,727393,0
28112,690520,0
28213,737646,0
28316,674892,0
28416,732972,0
28517,687085,0
28617,756800,0
28719,649905,0
28820,646557,0
28920,608124,0
29024,726476,0
29125,794936,0
29222,811175,0
29322,878478,0
29423,825995,0
29526,770136,0
29627,669373,0
29727,754569,0
29828,666643,0
29928,761362,0
30029,642094,0
30129,703960,0
30230,698380,0
30331,705076,0
30432,652137,0
30533,744526,0
30632,714003,0
30733,1043912,0
30834,486082,0
30938,589485,0
31035,788571,0
31144,1026658,0
31243,864930,0
31343,1148249,0
31445,1711116,0
31537,2634218,649629
31638,2386556,401967
31738,1941891,0
31839,1272079,0
31939,1046932,0
32040,1018789,0
32140,1108848,0
32240,1108848,0
32340,1097591,0
32441,923102,0
32541,1153877,0
32642,1356509,0
32744,833043,0
32843,1195847,0
32943,1086333,0
33043,1153877,0
33144,1013160,0
33244,906216,0
33295,900587,0
33395,1046932,0
33495,1013160,0
33595,1080705,0
33696,1176392,0
33796,1030046,0
33897,1069447,0
33998,1001903,0
34098,1508484,0
34199,1024418,0
34299,1362138,0
34399,804900,0
34504,853345,0
34606,1179808,0
34701,1041304,0
34801,934359,0
34902,996274,0
35002,996274,0
35103,1232679,0
35203,968131,0
35303,1091962,0
35405,956874,0
35505,1103219,0
35605,1075076,0
35705,1103219,0
35806,1075076,0
35906,1058190,0
36009,923102,0
36110,681534,0
36209,604783,0
36308,634779,0
36409,931995,0
36517,1141832,0
36612,716698,0
36714,677410,0
36815,551577,0
36917,548294,0
37016,590270,0
37118,454680,0
37219,450421,0
37320,513060,0
37422,420937,0
37520,504584,0
37622,602178,0
37725,462696,0
37825,438147,0
37924,468275,0
38025,493425,0
38127,422525,0
38226,478548,0
38327,539647,0
38428,601005,0
38528,581482,0
38629,429677,0
38731,810805,0
38833,812576,0
38936,637514,0
39041,818014,0
39131,564710,0
39232,475213,0
39334,505525,0
39434,486237,0
39535,450421,0
39635,712865,0
39736,613380,0
39838,773538,0
39938,758015,0
40039,639862,0
40141,717350,0
40242,638746,0
40343,727393,0
40443,696665,0
40545,748753,0
40645,715585,0
40746,569410,0
40849,887117,0
40946,1030046,0
41047,763142,0
41148,755755,0
41248,786013,0
41350,643867,0
41449,786013,0
