datetime,cpu,mem
Fri Oct 28 19:01:56 GMT 2022,0,1392088
Fri Oct 28 19:01:57 GMT 2022,7.5,1398340
Fri Oct 28 19:01:59 GMT 2022,7.5,1354447
Fri Oct 28 19:02:03 GMT 2022,0.2,1443729
Fri Oct 28 19:02:07 GMT 2022,0.2,1348621
Fri Oct 28 19:02:11 GMT 2022,0,1479439
Fri Oct 28 19:02:14 GMT 2022,0,1405143
Fri Oct 28 19:02:17 GMT 2022,88,1350824
Fri Oct 28 19:02:20 GMT 2022,88,1325994
Fri Oct 28 19:02:23 GMT 2022,0.2,1320290
Fri Oct 28 19:02:26 GMT 2022,0.2,1322756
Fri Oct 28 19:02:28 GMT 2022,0,1323094
Fri Oct 28 19:02:31 GMT 2022,0,1319260
Fri Oct 28 19:02:33 GMT 2022,44,1318462
Fri Oct 28 19:02:36 GMT 2022,44,1321760
Fri Oct 28 19:02:39 GMT 2022,43,1317362
Fri Oct 28 19:02:41 GMT 2022,43,1309828
Fri Oct 28 19:02:44 GMT 2022,44,1310354
Fri Oct 28 19:02:46 GMT 2022,44,1308048
Fri Oct 28 19:02:49 GMT 2022,43,1308962
Fri Oct 28 19:02:52 GMT 2022,43,1313936
Fri Oct 28 19:02:54 GMT 2022,44,1308542
Fri Oct 28 19:02:57 GMT 2022,44,1312608
Fri Oct 28 19:02:59 GMT 2022,44,1313066
Fri Oct 28 19:03:02 GMT 2022,44,1310992
Fri Oct 28 19:03:05 GMT 2022,45,1311242
Fri Oct 28 19:03:07 GMT 2022,45,1321536
Fri Oct 28 19:03:10 GMT 2022,45,1291630
