Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2271618,1025716
89,2028467,782565
192,3692591,2446689
284,2464871,1218969
387,3124344,1878442
485,1861741,615839
585,3199984,1954082
686,3106805,1860903
786,3683733,2437831
887,4499401,3253499
995,3323046,2077144
1091,3407499,2161597
1193,3415275,2169373
1296,1255350,9448
1396,2418115,1172213
1498,4222404,2976502
1596,3258834,2012932
1692,3333431,2087529
1794,3719686,2473784
1898,2753784,1507882
1999,3263702,2017800
2100,3344901,2098999
2202,3914188,2668286
2300,3291931,2046029
2400,3499735,2253833
2501,2549941,1304039
2607,2838710,1592808
2702,3395501,2149599
2801,2327296,1081394
2903,2466890,1220988
3008,2989958,1744056
3105,3092886,1846984
3203,2801752,1555850
3308,3074484,1828582
3406,3466751,2220849
3518,3395650,2149748
3609,3840012,2594110
3709,4090965,2845063
3827,3565852,2319950
3911,2872199,1626297
4008,3065791,1819889
4110,3223533,1977631
4211,3452976,2207074
4315,3388445,2142543
4412,3331085,2085183
4512,3350329,2104427
4616,3395615,2149713
4715,3452976,2207074
4826,3372481,2126579
4916,3452976,2207074
5017,3226323,1980421
5125,3259384,2013482
5225,3226323,1980421
5315,3292213,2046311
5415,3040733,1794831
5531,2434383,1188481
5625,2195182,949280
5724,2195182,949280
5835,2076979,831077
5924,2251468,1005566
6021,1941891,695989
6125,2043207,797305
6223,2195182,949280
6329,1874347,628445
6431,2138895,892993
6530,2183924,938022
6626,1986921,741019
6730,1970035,724133
6829,1834947,589045
6926,1345252,99350
7031,1187649,0
7134,1789917,544015
7240,2037579,791677
7329,2138895,892993
7441,2031950,786048
7538,1857461,611559
7654,2251468,1005566
7734,2183924,938022
7850,1953149,707247
7935,2195182,949280
8034,1829318,583416
8135,1744888,498986
8237,1744888,498986
8337,1756145,510243
8437,1547884,301982
8542,1660458,414556
8637,1801175,555273
8739,1851833,605931
8842,1840575,594673
8948,2116380,870478
9047,2026321,780419
9140,1879976,634074
9248,1823689,577787
9349,2009435,763533
9452,1998178,752276
9542,2088237,842335
9647,1728002,482100
9749,2133266,887364
9845,2195182,949280
9956,2200810,954908
10052,2088237,842335
10158,1795546,549644
10249,2031950,786048
10357,2200810,954908
10455,2178296,932394
10550,2060093,814191
10652,2155781,909879
10755,2082608,836706
10859,2144524,898622
10961,2251468,1005566
11056,2183924,938022
11157,2195182,949280
11259,3032990,1787088
11361,2424361,1178459
11459,2251468,1005566
11562,2082608,836706
11660,2116380,870478
11762,2009435,763533
11863,1818061,572159
11958,1716744,470842
12060,1834947,589045
12161,1925005,679103
12261,1885605,639703
12365,2155781,909879
12461,1795546,549644
12561,1778660,532758
12670,1502855,256953
12764,1953149,707247
12863,1626686,380784
12964,1806803,560901
13072,1970035,724133
13166,1958777,712875
13274,1328366,82464
13366,1857461,611559
13470,1829318,583416
13574,2065722,819820
13671,1913748,667846
13773,1981292,735390
13871,2026321,780419
13975,1885605,639703
14073,1806803,560901
14170,1778660,532758
14274,1311480,65578
14376,1716744,470842
14475,1609800,363898
14578,1015017,0
14677,1776745,530843
14777,2377619,1131717
14878,1698884,452982
14977,1630400,384498
15080,1517826,271924
15181,1490623,244721
15282,1935288,689386
15382,2109777,863875
15482,2165124,919222
15534,2131352,885450
15630,2396839,1150937
15739,1652914,407012
15840,1461540,215638
15945,1939977,694075
16037,1911836,665934
16136,2165126,919224
16239,1776745,530843
16339,1968120,722218
16440,1197932,0
16537,1371481,125579
16654,788541,0
16745,2407156,1161254
16841,1991575,745673
16942,1804889,558987
17048,2007521,761619
17144,2233608,987706
17247,2453126,1207224
17342,2202656,956754
17444,1410882,164980
17545,1320823,74921
17648,1681058,435156
17745,1722339,476437
17845,1737345,491443
17949,1506569,260667
18050,1590999,345097
18147,1793631,547729
18248,1698884,452982
18350,1838661,592759
18454,1414653,168751
18554,1806803,560901
18657,1801175,555273
18756,1896862,650960
18859,1829318,583416
18958,2251468,1005566
19061,1981292,735390
19159,1885605,639703
19255,1784289,538387
19356,1818061,572159
19471,2195182,949280
19559,2144524,898622
19681,2195182,949280
19766,2065722,819820
19870,1885605,639703
19969,2065722,819820
