datetime,cpu,mem
Fri Oct 28 23:36:06 GMT 2022,0.1,1408708
Fri Oct 28 23:36:08 GMT 2022,17,1219045
Fri Oct 28 23:36:09 GMT 2022,17,1130087
Fri Oct 28 23:36:11 GMT 2022,17,1132024
Fri Oct 28 23:36:13 GMT 2022,17,1153996
Fri Oct 28 23:36:15 GMT 2022,0.1,1143036
Fri Oct 28 23:36:17 GMT 2022,0.1,1162427
Fri Oct 28 23:36:19 GMT 2022,0.1,1174119
Fri Oct 28 23:36:21 GMT 2022,54,1172836
Fri Oct 28 23:36:24 GMT 2022,54,1172912
Fri Oct 28 23:36:26 GMT 2022,54,1174639
Fri Oct 28 23:36:28 GMT 2022,0,1172536
Fri Oct 28 23:36:29 GMT 2022,0,1171424
Fri Oct 28 23:36:31 GMT 2022,0,1177284
Fri Oct 28 23:36:33 GMT 2022,38,1179558
Fri Oct 28 23:36:35 GMT 2022,38,1175515
Fri Oct 28 23:36:38 GMT 2022,0.1,1175491
Fri Oct 28 23:36:41 GMT 2022,0.1,1179871
Fri Oct 28 23:36:44 GMT 2022,83,1168654
Fri Oct 28 23:36:47 GMT 2022,83,1164785
Fri Oct 28 23:36:49 GMT 2022,0,1184822
Fri Oct 28 23:36:52 GMT 2022,0,1184599
Fri Oct 28 23:36:54 GMT 2022,0,1187578
Fri Oct 28 23:36:56 GMT 2022,44,1182435
Fri Oct 28 23:36:59 GMT 2022,44,1183505
Fri Oct 28 23:37:01 GMT 2022,44,1186348
Fri Oct 28 23:37:03 GMT 2022,0,1183847
Fri Oct 28 23:37:05 GMT 2022,0,1183149
Fri Oct 28 23:37:07 GMT 2022,0,1185236
Fri Oct 28 23:37:08 GMT 2022,33,1185273
Fri Oct 28 23:37:10 GMT 2022,33,1184217
Fri Oct 28 23:37:12 GMT 2022,33,1184608
Fri Oct 28 23:37:14 GMT 2022,33,1182249
Fri Oct 28 23:37:16 GMT 2022,33,1183845
Fri Oct 28 23:37:18 GMT 2022,33,1163729
Fri Oct 28 23:37:20 GMT 2022,60,1142313
