Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
43,1889102,0
132,3433216,269023
236,2935275,0
336,2473334,0
439,2714954,0
536,1580668,0
637,2566545,0
741,2482828,0
839,4222957,1058764
938,4055872,891679
1039,2831507,0
1138,2522479,0
1241,2360701,0
1340,2904507,0
1441,4774077,1609884
1541,3674793,510600
1643,3379277,215084
1743,2925111,0
1843,2390755,0
1943,2790790,0
2042,2946621,0
2146,2781743,0
2243,2448116,0
2345,2101392,0
2447,2279802,0
2544,2278327,0
2596,1732402,0
2698,1906897,0
2798,992720,0
2902,2286912,0
2999,3506568,342375
3100,3082234,0
3201,2872190,0
3301,2123244,0
3403,2264966,0
3501,3196000,31807
3604,2582319,0
3708,2057988,0
3807,2277430,0
3905,1142923,0
4010,1923111,0
4106,1610168,0
4216,892691,0
4303,2799329,0
4403,3470683,306490
4503,2095845,0
4608,913127,0
4708,985902,0
4815,914169,0
4912,2728235,0
5014,2269399,0
5111,1511258,0
5211,2147457,0
5310,2548739,0
5414,2409892,0
5516,1934190,0
5610,896833,0
5713,1218693,0
5813,346961,0
5913,1099671,0
6016,1232016,0
6121,1089864,0
6220,2814838,0
6318,2836348,0
6419,2341612,0
6520,2556714,0
6620,1968767,0
6720,2155189,0
6823,1129866,0
6921,1352139,0
7022,1232222,0
7127,1803855,0
7225,2312931,0
7325,1466860,0
7424,2140849,0
7525,1753664,0
7626,1803855,0
7724,1877589,0
7827,1039027,0
7926,1374476,0
8033,526858,0
8123,1059669,0
8224,1311152,0
8325,1419307,0
8425,1411798,0
8526,719656,0
8627,468072,0
8728,794559,0
8827,827208,0
8930,393512,0
9030,671894,0
9130,944948,0
9233,1422325,0
9340,787587,0
9431,853473,0
9535,428966,0
9632,996007,0
9732,780035,0
9835,568404,0
9935,807667,0
10037,1203071,0
10142,687428,0
10239,1480745,0
10338,1194397,0
10440,1674793,0
10539,2994090,0
10646,1846875,0
10744,1703473,0
10840,1405348,0
10944,1247606,0
11043,1760834,0
11145,1707095,0
11241,2277494,0
11348,742681,0
11441,1234357,0
11542,543422,0
11642,574443,0
11745,715505,0
11847,1519688,0
11943,1347987,0
12050,1181825,0
12143,1524973,0
12244,957783,0
12344,550658,0
12446,506646,0
12546,357906,0
12646,594709,0
12747,471379,0
12848,784187,0
12950,450918,0
13050,685307,0
13150,776254,0
13252,713152,0
13352,540684,0
13451,615489,0
13552,690294,0
13652,801923,0
13753,739915,0
13854,603811,0
13954,594259,0
14055,506815,0
