datetime,cpu,mem
Fri Oct 28 23:51:22 GMT 2022,0,1200851
Fri Oct 28 23:51:24 GMT 2022,10,1243568
Fri Oct 28 23:51:26 GMT 2022,10,1116627
Fri Oct 28 23:51:28 GMT 2022,10,1138551
Fri Oct 28 23:51:31 GMT 2022,0.1,1135467
Fri Oct 28 23:51:33 GMT 2022,0.1,1141341
Fri Oct 28 23:51:36 GMT 2022,0.1,1184829
Fri Oct 28 23:51:38 GMT 2022,0,1189965
Fri Oct 28 23:51:41 GMT 2022,0,1213191
Fri Oct 28 23:51:44 GMT 2022,89,1212004
Fri Oct 28 23:51:46 GMT 2022,89,1256563
Fri Oct 28 23:51:49 GMT 2022,0.1,1185926
Fri Oct 28 23:51:52 GMT 2022,0.1,1189682
Fri Oct 28 23:51:54 GMT 2022,0,1188995
Fri Oct 28 23:51:57 GMT 2022,0,1183263
Fri Oct 28 23:51:59 GMT 2022,0,1186926
Fri Oct 28 23:52:01 GMT 2022,0,1187089
Fri Oct 28 23:52:03 GMT 2022,0,1186077
Fri Oct 28 23:52:05 GMT 2022,0,1185804
Fri Oct 28 23:52:06 GMT 2022,35,1186769
Fri Oct 28 23:52:09 GMT 2022,35,1188421
Fri Oct 28 23:52:11 GMT 2022,35,1188566
Fri Oct 28 23:52:13 GMT 2022,44,1185875
Fri Oct 28 23:52:15 GMT 2022,44,1187057
Fri Oct 28 23:52:16 GMT 2022,44,1189160
Fri Oct 28 23:52:18 GMT 2022,37,1190401
Fri Oct 28 23:52:21 GMT 2022,37,1190229
Fri Oct 28 23:52:23 GMT 2022,37,1192084
Fri Oct 28 23:52:25 GMT 2022,42,1192261
Fri Oct 28 23:52:27 GMT 2022,42,1190969
Fri Oct 28 23:52:28 GMT 2022,42,1192820
Fri Oct 28 23:52:30 GMT 2022,36,1189761
Fri Oct 28 23:52:32 GMT 2022,36,1191303
Fri Oct 28 23:52:35 GMT 2022,36,1195864
Fri Oct 28 23:52:36 GMT 2022,46,1173567
