Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
9,3443263,406067
86,3896065,858869
186,2196835,0
285,2606502,0
388,3047684,10488
486,3191490,154294
589,3609524,572328
687,3499381,462185
789,4428466,1391270
892,3745216,708020
995,2887662,0
1094,2972887,0
1195,2540615,0
1296,2826999,0
1398,2523921,0
1497,2940034,0
1599,2502954,0
1693,3682027,644831
1795,3997194,959998
1899,3394375,357179
2006,3721648,684452
2101,3702689,665493
2200,3397919,360723
2300,2612962,0
2402,2415377,0
2502,2272949,0
2603,2062799,0
2707,1176127,0
2802,1353643,0
2903,1289493,0
3010,1524973,0
3106,2854459,0
3202,2882991,0
3305,2466522,0
3406,2624264,0
3507,1208737,0
3609,1975937,0
3711,2743137,0
3810,2771817,0
3909,2649926,0
4010,2599735,0
4113,2644037,0
4210,2169139,0
4312,1613419,0
4412,1624550,0
4514,1236497,0
4613,1774719,0
4708,3295234,258038
4809,3147681,110485
4915,2982843,0
5014,1569011,0
5115,952118,0
5220,1102690,0
5318,901927,0
5419,2106884,0
5514,1616903,0
5620,888390,0
5724,1671715,0
5827,2110752,0
5924,1947520,0
6022,2037579,0
6131,1806803,0
6229,2195182,0
6325,1643572,0
6425,1773031,0
6532,1069447,0
6631,1941891,0
6734,2195182,0
6828,2183924,0
6941,2251468,0
7044,2251468,0
7135,2251468,0
7240,2195182,0
7341,2195182,0
7441,2251468,0
7544,2071351,0
7642,2251468,0
7745,2251468,0
7841,2251468,0
7952,2251468,0
8049,2251468,0
8155,2138895,0
8241,2195182,0
8344,2138895,0
8447,2144524,0
8553,2195182,0
8646,2251468,0
8758,2099494,0
8845,2138895,0
8949,2251468,0
9044,2093865,0
9145,2060093,0
9251,2183924,0
9367,2082608,0
9454,2110752,0
9551,2088237,0
9651,1904348,0
9752,1782374,0
9853,2193267,0
9958,1985006,0
10053,1900576,0
10154,1697944,0
10256,1619142,0
10353,1433396,0
10455,1388367,0
10563,2198896,0
10665,2795535,0
10758,2778649,0
10856,2682961,0
10956,2232668,0
11058,1607885,0
11159,1742973,0
11258,1866804,0
11357,1219507,0
11459,2243925,0
11559,2069436,0
11656,2598531,0
11759,2559133,0
11861,843337,0
11965,1394936,0
12062,1647286,0
12169,1422139,0
12265,1647286,0
12364,1517826,0
12472,810829,0
12570,1399624,0
12673,2232668,0
12766,1596628,0
12868,1112562,0
12966,1619142,0
13069,1208249,0
13168,1766428,0
13277,1326451,0
13371,2294583,0
13469,1399624,0
13573,1190374,0
13676,1913748,0
13778,1919377,0
13874,1967068,0
13976,1792579,0
14078,1612462,0
14178,1888267,0
14282,1981292,0
14384,1998178,0
14487,1891233,0
14581,1902491,0
14634,2026321,0
14735,1874347,0
14832,1953149,0
14944,1981292,0
15035,1981292,0
15141,1818061,0
15240,1930634,0
15335,2054465,0
15438,2003807,0
15536,1953149,0
15636,1936263,0
15738,1773031,0
15839,1643572,0
15939,1621057,0
16039,1682972,0
16140,1879976,0
16241,1947520,0
16340,1711116,0
16444,1660458,0
16545,1818061,0
16646,1778660,0
16744,1660458,0
16844,2031950,0
16945,1801175,0
17051,1846204,0
17152,1925005,0
17259,1925005,0
17355,1919377,0
17453,1953149,0
17555,2009435,0
17656,1925005,0
17758,1947520,0
17854,2015064,0
17957,1925005,0
18058,1992549,0
18165,1834947,0
18256,1879976,0
18361,1902491,0
