datetime,cpu,mem
Fri Oct 28 22:17:29 GMT 2022,33,1230008
Fri Oct 28 22:17:30 GMT 2022,0.2,1245755
Fri Oct 28 22:17:32 GMT 2022,0.2,1187558
Fri Oct 28 22:17:33 GMT 2022,0.2,1232141
Fri Oct 28 22:17:35 GMT 2022,0.1,1249907
Fri Oct 28 22:17:38 GMT 2022,0.1,1268124
Fri Oct 28 22:17:40 GMT 2022,0.1,1273416
Fri Oct 28 22:17:44 GMT 2022,0.1,1261505
Fri Oct 28 22:17:47 GMT 2022,0.1,1275146
Fri Oct 28 22:17:50 GMT 2022,88,1271162
Fri Oct 28 22:17:53 GMT 2022,88,1280102
Fri Oct 28 22:17:56 GMT 2022,86,1277919
Fri Oct 28 22:17:59 GMT 2022,86,1284418
Fri Oct 28 22:18:02 GMT 2022,86,1279313
Fri Oct 28 22:18:05 GMT 2022,86,1275408
Fri Oct 28 22:18:08 GMT 2022,88,1274926
Fri Oct 28 22:18:11 GMT 2022,88,1278224
Fri Oct 28 22:18:14 GMT 2022,87,1271558
Fri Oct 28 22:18:17 GMT 2022,87,1269516
Fri Oct 28 22:18:20 GMT 2022,87,1281199
Fri Oct 28 22:18:23 GMT 2022,87,1279735
Fri Oct 28 22:18:26 GMT 2022,87,1286363
Fri Oct 28 22:18:29 GMT 2022,87,1286407
Fri Oct 28 22:18:32 GMT 2022,85,1293769
Fri Oct 28 22:18:35 GMT 2022,85,1294015
Fri Oct 28 22:18:38 GMT 2022,85,1301403
Fri Oct 28 22:18:41 GMT 2022,85,1300254
