Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,2725675,0
79,2161503,0
179,4113883,933508
293,4646926,1466551
389,3571523,391148
482,3712255,531880
583,3277792,97417
682,3263152,82777
783,3163770,0
884,2977490,0
984,3543982,363607
1085,3304606,124231
1187,2939870,0
1287,3676740,496365
1399,3801862,621487
1489,4073546,893171
1590,3835230,654855
1694,2809013,0
1794,2654945,0
1896,3013798,0
1996,2230293,0
2096,2280119,0
2199,2079356,0
2292,1885764,0
2392,2013752,0
2493,1053023,0
2593,1830899,0
2694,1882164,0
2798,2042768,0
2894,1749125,0
2995,1723348,0
3096,1472395,0
3198,2032736,0
3298,2511173,0
3398,3487708,307333
3498,3080206,0
3604,3096436,0
3703,3838436,658061
3807,3280501,100126
3907,2433344,0
4012,1323871,0
4109,1983107,0
4207,3119579,0
4308,3234301,53926
4408,3714697,534322
4519,3886779,706404
4609,3028667,0
4709,2778948,0
4810,2636338,0
4912,2384632,0
5012,2628415,0
5114,1488370,0
5213,1882726,0
5312,1603092,0
5415,994535,0
5513,1595922,0
5623,851133,0
5720,1983107,0
5814,1627621,0
5918,1183878,0
6031,1789917,0
6119,1671715,0
6220,1744888,0
6324,1806803,0
6420,1643572,0
6525,1576028,0
6622,2026321,0
6725,1975663,0
6831,2060093,0
6926,2144524,0
7025,1806803,0
7123,1761774,0
7223,1778660,0
7330,1716744,0
7424,1750516,0
7525,1660458,0
7632,1660458,0
7727,1559142,0
7827,1598542,0
7934,1829318,0
8028,1412796,0
8130,1418425,0
8230,1576028,0
8331,1711116,0
8436,1823689,0
8538,1654829,0
8631,1891233,0
8733,1547884,0
8832,1744888,0
8933,1536627,0
9034,947473,0
9137,1590999,0
9236,1844289,0
9335,1855547,0
9434,2243925,0
9536,1613514,0
9636,1730787,0
9731,2203126,0
9837,2199836,0
9937,2395899,0
10043,2456141,0
10139,2332311,0
10250,2563086,0
10340,2793862,0
10441,2512428,0
10541,2185965,0
10641,2765718,0
10741,1894947,0
10842,2401528,0
10943,2058179,0
11043,1838661,0
11145,1512198,0
11248,2001892,0
11349,2553502,0
11450,2300212,0
11554,2625458,0
11648,2169535,0
11754,2698631,0
11853,2017561,0
11950,2490370,0
12052,2369366,0
12156,2904551,0
12256,2349653,0
12358,2339612,0
12458,2215782,0
12559,1928719,0
12658,1821777,0
12758,1653859,0
12859,1614123,0
12964,2276449,0
13080,2336508,0
13165,2359022,0
13277,2381537,0
13378,2252078,0
13472,2302736,0
13572,2330879,0
13672,2370280,0
13783,2240820,0
13869,2363815,0
13987,2155554,0
14103,2251468,0
14167,2251468,0
14224,2251468,0
14344,2144524,0
14439,2195182,0
14538,2026321,0
14635,1970035,0
14738,2076979,0
14838,2020693,0
14937,2043207,0
15034,1991866,0
15145,2121326,0
15238,2205756,0
15345,2166355,0
15443,2307072,0
15547,2211385,0
15644,2307072,0
15761,2408388,0
15848,2312701,0
15947,2262043,0
16044,2363359,0
16156,2278929,0
16248,2143841,0
16354,2402759,0
16451,2475932,0
16553,2020693,0
16653,1981292,0
16759,2082608,0
16856,1998178,0
16966,2150152,0
17053,2178296,0
17154,1879976,0
17260,1975663,0
17365,1885605,0
17462,2274136,0
17555,2324794,0
17669,2510540,0
17759,2065722,0
17869,2026321,0
17967,2026321,0
18065,1992549,0
18172,1975663,0
18271,1818061,0
18370,2178296,0
18474,2088237,0
18564,2086640,0
18671,1732034,0
18774,2002210,0
18870,2082608,0
18974,2144524,0
19076,2054465,0
19181,2043207,0
19277,1992549,0
19380,2015064,0
19488,1930634,0
19580,1998178,0
19691,2031950,0
19793,2138895,0
19891,2155934,0
19991,2274136,0
20091,2381081,0
20189,2184077,0
20293,2195335,0
20396,2454254,0
20506,2324794,0
20588,2381081,0
20692,2020846,0
20790,2347309,0
20888,2144524,0
20989,2178296,0
21091,1367767,0
21207,1688601,0
21291,1598542,0
21393,1621057,0
21492,1637943,0
21607,2088237,0
21695,2251468,0
21800,2195182,0
21901,2195182,0
22016,2672233,0
22099,2262043,0
22204,1637943,0
22306,2037579,0
22412,2251468,0
22509,2138895,0
22606,1925005,0
22711,2009435,0
22804,1930634,0
22909,1986921,0
23016,1947520,0
23064,2054465,0
23167,2110752,0
23258,1970035,0
23374,1891233,0
23465,2343430,0
23566,2315286,0
23664,2259000,0
23778,2236485,0
23871,2360316,0
23975,2264628,0
24069,2056368,0
24173,2484147,0
24280,2371573,0
24376,2394468,0
24493,2214350,0
24577,2326924,0
24676,1792200,0
24776,2265008,0
24879,2225607,0
24979,2135549,0
25079,2096148,0
25194,2281894,0
25280,2338181,0
25385,2180578,0
25489,2027311,0
25583,2162399,0
25689,2049825,0
25787,2218685,0
25888,2168027,0
25990,2229943,0
26091,2179285,0
26191,2196171,0
26295,2235571,0
26397,2179285,0
26495,2104820,0
26592,2155478,0
26699,2189250,0
26798,2093562,0
26901,2256794,0
27000,2059790,0
27100,2403139,0
27197,2099191,0
27300,2234279,0
27413,2189250,0
27498,2213057,0
27601,2083597,0
27713,2077969,0
27806,1999167,0
27899,2071351,0
28003,2088237,0
28108,2082608,0
28216,1840575,0
28311,1958777,0
28413,2082608,0
28510,2082608,0
28608,1941891,0
28711,2145970,0
28809,2247286,0
28910,2224771,0
29012,2281058,0
29114,2202257,0
29219,2219143,0
29317,2292315,0
29411,2162856,0
29515,2388003,0
29622,2174113,0
29719,2284937,0
29833,2093562,0
29927,2290566,0
30021,2206136,0
30119,2189250,0
30225,2228650,0
30326,2245536,0
30426,2358110,0
30521,2189250,0
30624,2132963,0
30719,2116077,0
30823,2121706,0
30922,2200507,0
31031,2279308,0
31123,2059790,0
31223,2273680,0
31335,2155478,0
31427,2346853,0
31528,2245536,0
31629,2183621,0
31743,2251165,0
31827,2093562,0
31935,2239908,0
32033,2420025,0
32128,2251165,0
32243,2307452,0
32335,2273680,0
32434,2189250,0
32543,2217393,0
32634,2307452,0
32738,2124291,0
32850,2287523,0
32893,2338181,0
32987,2146806,0
33088,2073633,0
33198,2225607,0
33309,2287523,0
33396,2377582,0
33495,2043207,0
33598,2195182,0
33697,1829318,0
33800,2037579,0
33900,2031950,0
33998,2480036,0
34114,2525065,0
34201,2303573,0
34306,2185371,0
34403,2100941,0
34525,2433032,0
34603,2258543,0
34711,2371117,0
34805,2202257,0
34911,2219143,0
35006,2270637,0
35109,2242493,0
35212,2039861,0
35310,2236865,0
35413,2129920,0
35517,2253751,0
35626,2152435,0
35718,2394468,0
35821,2180578,0
35923,2073633,0
36020,2166735,0
36126,2183621,0
36219,2217393,0
36322,2155478,0
36426,2161106,0
36529,2121706,0
36632,2177992,0
36733,2211764,0
36833,2194878,0
36927,2284937,0
37027,2131670,0
37128,2154184,0
37234,2317416,0
37331,2159813,0
37434,2294901,0
37530,2187956,0
37636,2159813,0
37743,2216100,0
37832,2283644,0
37935,2126041,0
38039,2284937,0
38140,2234279,0
38235,2245536,0
38340,2284937,0
38440,2172364,0
38547,2127334,0
38643,2149849,0
38740,2161106,0
38842,1975360,0
38948,2262422,0
39039,2183924,0
39149,2076979,0
39249,2009435,0
39344,2446128,0
39445,2305411,0
39548,2738819,0
39651,2423613,0
39756,2254207,0
39859,2175406,0
39961,2349895,0
40055,2197920,0
40153,2169777,0
40254,2079718,0
40370,2245536,0
40456,2194878,0
40560,2284937,0
40659,2127334,0
40764,2211764,0
40861,2245536,0
40959,2329967,0
41068,2121706,0
41160,2228650,0
41263,2132963,0
41363,2297487,0
41467,2235571,0
41569,2207428,0
41678,2173656,0
41777,2235571,0
41871,2286229,0
41968,2274972,0
42070,2179285,0
42174,2336888,0
42269,1872751,0
42378,2148556,0
42481,2182328,0
42524,2480647,0
42624,2204842,0
42728,2171070,0
42829,2210471,0
42926,2182328,0
43031,2019514,0
43134,2029488,0
43229,1909800,0
43332,1984624,0
43431,1914806,0
43533,1929767,0
43635,2039481,0
43739,1830027,0
43835,1914806,0
43936,1999585,0
44040,1989611,0
44135,1894858,0
44237,2044468,0
44341,1825040,0
44441,1720313,0
44554,1969663,0
44648,1665660,0
44741,1820257,0
44841,1700569,0
44943,1655686,0
45043,1665660,0
45144,1805296,0
45248,1780361,0
45345,1630751,0
45448,1825244,0
45547,1645712,0
45653,1924732,0
45749,1999537,0
45849,2004524,0
45949,1939693,0
46066,2059381,0
46156,2084316,0
46254,1984576,0
46361,2139174,0
46457,2009511,0
46558,1979589,0
46656,1924790,0
46757,1894868,0
46859,2034504,0
46960,2144219,0
47060,1934764,0
47168,1979647,0
47260,1959699,0
47360,1889881,0
47461,2044478,0
47566,1934764,0
47667,1889881,0
47769,1949725,0
47870,2074401,0
47972,1934764,0
48063,2019543,0
48167,1954712,0
48267,1954712,0
48370,1944738,0
48474,1984634,0
48567,1879907,0
48671,1800096,0
48775,1859940,0
48869,1979628,0
48970,1974641,0
49074,2079368,0
49175,1954693,0
49283,1974641,0
49378,1864927,0
49476,2024511,0
49575,1790122,0
49676,1989611,0
49775,1954702,0
49878,1959689,0
49977,1770183,0
50094,1805092,0
50189,1910024,0
50278,1994803,0
50380,1860153,0
50485,1605816,0
50579,1720517,0
50687,1785348,0
50782,1670647,0
50889,1800309,0
50986,2019504,0
51088,2049426,0
51190,2049426,0
51288,2089322,0
51390,1984595,0
51488,1954673,0
51593,2109270,0
51694,1825011,0
51790,1969634,0
51889,1904803,0
51995,1745248,0
52099,2029507,0
52198,1954702,0
52300,2029507,0
52397,1864936,0
52508,1909819,0
52597,1949715,0
52698,1964676,0
52802,2029507,0
52897,1939741,0
53005,1884884,0
53102,1989611,0
53201,2024520,0
53311,1780157,0
53403,1959689,0
53506,1924780,0
53608,1874910,0
53713,2009559,0
53757,2004572,0
53919,2014546,0
53963,2119274,0
54062,1889871,0
54168,1984624,0
54268,2029507,0
54368,1924780,0
54466,1939741,0
54568,1929767,0
54672,2029507,0
54771,1959689,0
54872,2004572,0
54968,1999585,0
55077,1854962,0
55180,1854962,0
55270,1914806,0
55376,1969663,0
55473,1820053,0
55571,1820053,0
55675,1675430,0
55771,1790335,0
55878,1755426,0
55979,1670647,0
56396,1645712,0
57786,2347490,0
59098,1939751,0
60299,1959670,0
61409,1889852,0
62412,2218851,0
63316,1829989,0
63926,1810041,0
64322,1820005,0
64474,1934706,0
64573,2044420,0
64675,1959641,0
64777,2009511,0
64880,2034465,0
64978,1969634,0
65078,2079348,0
65180,1994569,0
65284,2084335,0
65381,1869894,0
65484,1959660,0
65588,2009530,0
65685,1984595,0
65784,2069374,0
65894,2044468,0
65989,1944728,0
66086,1994598,0
66189,1944728,0
66292,1939741,0
66385,1929767,0
66487,1979637,0
66592,1889871,0
66692,1835014,0
66789,1964676,0
66889,1929767,0
66991,1785348,0
67100,2388829,0
67193,2114544,0
67299,2224258,0
67393,2209297,0
67495,2333972,0
67596,2034465,0
67701,1944699,0
67797,1979608,0
67898,2029478,0
67998,1929738,0
68103,1924780,0
68201,2044468,0
68313,1800105,0
68405,2104313,0
68506,1924780,0
68603,2154183,0
68700,1825040,0
68806,1939741,0
68913,2019533,0
69004,1994598,0
69108,1934764,0
69206,1859959,0
69310,1994608,0
69408,2014556,0
69508,1974660,0
69613,1944738,0
69713,1979647,0
69809,2019543,0
69910,1949725,0
70009,1929777,0
70113,1984634,0
70211,1934745,0
70316,1964667,0
70413,1949706,0
70519,1849966,0
70613,1964667,0
70723,2034485,0
70819,1959680,0
70919,1959680,0
71019,1939732,0
71118,2004563,0
71226,1874901,0
71324,1964667,0
71420,2054433,0
71522,2044459,0
71621,2049446,0
71724,2099317,0
71824,1989602,0
71931,2064407,0
72032,2004563,0
72127,1959680,0
72225,1830018,0
72324,1640512,0
72442,1879888,0
72553,1895063,0
72631,1934959,0
72732,1944933,0
,,
