datetime,cpu,mem
Fri Oct 28 22:25:07 GMT 2022,26,1315086
Fri Oct 28 22:25:08 GMT 2022,0.3,1309931
Fri Oct 28 22:25:10 GMT 2022,0.3,1188135
Fri Oct 28 22:25:12 GMT 2022,0.3,1223718
Fri Oct 28 22:25:14 GMT 2022,0.1,1274229
Fri Oct 28 22:25:16 GMT 2022,0.1,1323503
Fri Oct 28 22:25:20 GMT 2022,0.1,1305010
Fri Oct 28 22:25:23 GMT 2022,0.1,1299854
Fri Oct 28 22:25:25 GMT 2022,0.1,1308196
Fri Oct 28 22:25:28 GMT 2022,0,1310876
Fri Oct 28 22:25:30 GMT 2022,0,1305705
Fri Oct 28 22:25:33 GMT 2022,0,1313082
Fri Oct 28 22:25:35 GMT 2022,49,1311844
Fri Oct 28 22:25:37 GMT 2022,49,1311240
Fri Oct 28 22:25:40 GMT 2022,49,1317992
Fri Oct 28 22:25:42 GMT 2022,49,1319036
Fri Oct 28 22:25:45 GMT 2022,49,1321272
Fri Oct 28 22:25:47 GMT 2022,49,1325046
Fri Oct 28 22:25:50 GMT 2022,47,1325090
Fri Oct 28 22:25:52 GMT 2022,47,1331190
Fri Oct 28 22:25:54 GMT 2022,47,1328918
Fri Oct 28 22:25:57 GMT 2022,48,1330754
Fri Oct 28 22:25:59 GMT 2022,48,1332516
Fri Oct 28 22:26:02 GMT 2022,48,1334592
Fri Oct 28 22:26:04 GMT 2022,50,1337154
Fri Oct 28 22:26:07 GMT 2022,50,1340172
Fri Oct 28 22:26:09 GMT 2022,50,1341542
Fri Oct 28 22:26:11 GMT 2022,50,1343482
Fri Oct 28 22:26:14 GMT 2022,50,1353280
Fri Oct 28 22:26:16 GMT 2022,47,1352374
Fri Oct 28 22:26:19 GMT 2022,47,1348103
Fri Oct 28 22:26:21 GMT 2022,47,1337222
