Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
0,2113654,909933
82,1949917,746196
183,2557820,1354099
284,2365783,1162062
384,2351443,1147722
484,2572247,1368526
585,2314121,1110400
686,2229612,1025891
786,2255229,1051508
886,3189220,1985499
995,2337163,1133442
1089,3470471,2266750
1197,2693635,1489914
1296,3287390,2083669
1398,3902814,2699093
1497,2534203,1330482
1598,2377199,1173478
1697,2772871,1569150
1797,2811947,1608226
1899,2053895,850174
1998,1397881,194160
2105,1295101,91380
2201,1971488,767767
2301,1534113,330392
2395,1352036,148315
2501,1057196,0
2602,1167572,0
2702,1670284,466563
2803,1275928,72207
2905,2122060,918339
3005,2489916,1286195
3103,2902053,1698332
3199,3809953,2606232
3305,3159884,1956163
3414,1368320,164599
3510,2198013,994292
3601,2900415,1696694
3703,3516658,2312937
3808,2625597,1421876
3908,2978940,1775219
4007,2770785,1567064
4109,2150928,947207
4209,2618218,1414497
4310,2990809,1787088
4408,2589984,1386263
4507,2028092,824371
4609,2072186,868465
4713,2252165,1048444
4814,3445154,2241433
4910,4177229,2973508
5011,4353260,3149539
5111,3677869,2474148
5211,3636131,2432410
5312,3293508,2089787
5418,3415399,2211678
5518,3331834,2128113
5622,3070767,1867046
5718,2816465,1612744
5815,2952021,1748300
5915,2417953,1214232
6015,2838910,1635189
6116,2261096,1057375
6216,3129543,1925822
6317,2890454,1686733
6431,3643420,2439699
6523,2305827,1102106
6626,1965814,762093
6725,2511110,1307389
6825,2772252,1568531
6925,2324688,1120967
7031,2410729,1207008
7128,3299821,2096100
7227,2442428,1238707
7334,3428882,2225161
7431,3629645,2425924
7532,3242460,2038739
7630,3400202,2196481
7737,3787387,2583666
7834,3424052,2220331
7931,3474697,2270976
8031,3195063,1991342
8132,2901089,1697368
8232,2635796,1432075
8333,2469750,1266029
8434,2572640,1368919
8550,2537011,1333290
8641,2446952,1243231
8746,2553897,1350176
8847,2513204,1309483
8939,2479432,1275711
9042,2395001,1191280
9158,2507575,1303854
9243,2076979,873258
9359,2138895,935174
9467,2026321,822600
9557,2183924,980203
9650,2195182,991461
9754,2144524,940803
9873,2251468,1047747
9955,2183924,980203
10072,2155781,952060
10160,2138895,935174
10257,2195182,991461
10356,2183924,980203
10464,2195182,991461
10562,2251468,1047747
10657,2251468,1047747
10768,2251468,1047747
10854,2082608,878887
10959,2200810,997089
11062,2251468,1047747
11163,2195182,991461
11270,2251468,1047747
11369,2251468,1047747
11473,2251468,1047747
11561,2127638,923917
11681,2195182,991461
11776,2150152,946431
