datetime,cpu,mem
Fri Oct 28 23:03:08 GMT 2022,0,1243224
Fri Oct 28 23:03:09 GMT 2022,0.1,1240630
Fri Oct 28 23:03:11 GMT 2022,0.1,1228638
Fri Oct 28 23:03:12 GMT 2022,0.1,1244322
Fri Oct 28 23:03:14 GMT 2022,0.1,1235981
Fri Oct 28 23:03:16 GMT 2022,0.1,1230441
Fri Oct 28 23:03:19 GMT 2022,0.1,1242503
Fri Oct 28 23:03:21 GMT 2022,0.1,1274983
Fri Oct 28 23:03:24 GMT 2022,0.1,1269970
Fri Oct 28 23:03:27 GMT 2022,0.1,1266273
Fri Oct 28 23:03:30 GMT 2022,78,1251415
Fri Oct 28 23:03:32 GMT 2022,78,1249724
Fri Oct 28 23:03:35 GMT 2022,78,1250514
Fri Oct 28 23:03:37 GMT 2022,0,1248176
Fri Oct 28 23:03:38 GMT 2022,0,1249320
Fri Oct 28 23:03:40 GMT 2022,0,1252346
Fri Oct 28 23:03:42 GMT 2022,34,1250337
Fri Oct 28 23:03:44 GMT 2022,34,1250069
Fri Oct 28 23:03:46 GMT 2022,34,1252023
Fri Oct 28 23:03:48 GMT 2022,33,1251249
Fri Oct 28 23:03:50 GMT 2022,33,1251421
Fri Oct 28 23:03:51 GMT 2022,33,1250127
Fri Oct 28 23:03:53 GMT 2022,31,1249329
Fri Oct 28 23:03:55 GMT 2022,31,1249753
Fri Oct 28 23:03:57 GMT 2022,31,1251579
Fri Oct 28 23:03:59 GMT 2022,24,1250881
Fri Oct 28 23:04:01 GMT 2022,24,1253029
Fri Oct 28 23:04:03 GMT 2022,24,1254307
Fri Oct 28 23:04:05 GMT 2022,26,1254337
Fri Oct 28 23:04:07 GMT 2022,26,1249885
Fri Oct 28 23:04:09 GMT 2022,26,1253027
Fri Oct 28 23:04:11 GMT 2022,33,1252461
Fri Oct 28 23:04:12 GMT 2022,33,1251321
Fri Oct 28 23:04:14 GMT 2022,33,1251615
Fri Oct 28 23:04:16 GMT 2022,34,1234519
Fri Oct 28 23:04:18 GMT 2022,34,1235875
Fri Oct 28 23:04:20 GMT 2022,34,1242751
Fri Oct 28 23:04:22 GMT 2022,35,1215678
