datetime,cpu,mem
Fri Oct 28 21:39:31 GMT 2022,0,1397189
Fri Oct 28 21:39:33 GMT 2022,8.4,1519840
Fri Oct 28 21:39:35 GMT 2022,8.4,1412705
Fri Oct 28 21:39:37 GMT 2022,8.4,1410091
Fri Oct 28 21:39:41 GMT 2022,0.1,1438346
Fri Oct 28 21:39:44 GMT 2022,0.1,1434372
Fri Oct 28 21:39:46 GMT 2022,0,1423962
Fri Oct 28 21:39:49 GMT 2022,0,1428114
Fri Oct 28 21:39:51 GMT 2022,0,1428746
Fri Oct 28 21:39:53 GMT 2022,0,1425718
Fri Oct 28 21:39:55 GMT 2022,0,1426078
Fri Oct 28 21:39:57 GMT 2022,0,1426450
Fri Oct 28 21:39:59 GMT 2022,33,1426950
Fri Oct 28 21:40:01 GMT 2022,33,1423418
Fri Oct 28 21:40:03 GMT 2022,33,1425838
Fri Oct 28 21:40:05 GMT 2022,31,1426162
Fri Oct 28 21:40:07 GMT 2022,31,1425530
Fri Oct 28 21:40:09 GMT 2022,31,1424406
Fri Oct 28 21:40:11 GMT 2022,32,1423562
Fri Oct 28 21:40:13 GMT 2022,32,1424258
Fri Oct 28 21:40:15 GMT 2022,32,1426166
Fri Oct 28 21:40:17 GMT 2022,29,1425666
Fri Oct 28 21:40:19 GMT 2022,29,1426350
Fri Oct 28 21:40:21 GMT 2022,29,1428862
Fri Oct 28 21:40:22 GMT 2022,0,1427004
Fri Oct 28 21:40:24 GMT 2022,0,1428236
Fri Oct 28 21:40:26 GMT 2022,0,1425152
Fri Oct 28 21:40:28 GMT 2022,0.1,1425728
Fri Oct 28 21:40:30 GMT 2022,0.1,1427236
Fri Oct 28 21:40:32 GMT 2022,0.1,1427664
Fri Oct 28 21:40:34 GMT 2022,33,1426940
Fri Oct 28 21:40:36 GMT 2022,33,1426848
Fri Oct 28 21:40:38 GMT 2022,33,1426888
Fri Oct 28 21:40:40 GMT 2022,34,1424848
Fri Oct 28 21:40:42 GMT 2022,34,1426092
Fri Oct 28 21:40:44 GMT 2022,34,1428630
