Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
87,2348211,662026
187,2208041,521856
295,2157850,471665
396,2308422,622237
497,2229551,543366
597,2444654,758469
691,2618320,932135
791,2733760,1047575
891,2582705,896520
994,2307556,621371
1100,2823578,1137393
1194,3791692,2105507
1299,3805528,2119343
1401,3766172,2079987
1501,3981195,2295010
1601,2672208,986023
1701,2945516,1259331
1803,1250122,0
1904,1079581,0
2005,1142693,0
2107,2672814,986629
2205,3506205,1820020
2307,4127507,2441322
2406,3790045,2103860
2507,2978492,1292307
2610,2650090,963905
2708,3570527,1884342
2811,3313262,1627077
2910,3221037,1534852
3006,3221894,1535709
3112,3212899,1526714
3212,2432934,746749
3314,1895023,208838
3414,1542671,0
3515,2155189,469004
3624,2979750,1293565
3716,3151832,1465647
3821,3381275,1695090
3918,3227155,1540970
4013,3187683,1501498
4122,2677473,991288
4214,2774347,1088162
4316,2132057,445872
4420,986464,0
4517,1301948,0
4617,1572219,0
4720,3040881,1354696
4822,2925408,1239223
4918,3173343,1487158
5018,2889557,1203372
5122,2273533,587348
5222,2449163,762978
5327,1774891,88706
5431,1643572,0
5535,1761774,75589
5627,1874347,188162
5733,2122009,435824
5836,2195182,508997
5932,2251468,565283
6029,2144524,458339
6138,2200810,514625
6237,2127638,441453
6348,2138895,452710
6436,2195182,508997
6542,2200810,514625
6642,2178296,492111
6738,2251468,565283
6840,2195182,508997
6942,2251468,565283
7050,2195182,508997
7138,2251468,565283
7244,2195182,508997
7342,2251468,565283
7444,2200810,514625
7552,2060093,373908
7652,2251468,565283
7756,2195182,508997
7859,2251468,565283
7972,2144524,458339
8056,2183924,497739
8168,2127638,441453
8259,2251468,565283
8364,2195182,508997
8459,2195182,508997
8562,2251468,565283
8667,2133266,447081
8766,2251468,565283
8860,2251468,565283
8966,2088237,402052
9072,2138895,452710
9163,2183924,497739
9271,2138895,452710
9372,2183924,497739
9463,2251468,565283
9569,2195182,508997
9676,2076979,390794
9781,2183924,497739
9882,2200810,514625
9971,2178296,492111
10087,2183924,497739
10174,2251468,565283
10276,2138895,452710
10377,2183924,497739
10472,2251468,565283
10572,2195182,508997
10671,2122009,435824
10772,2054465,368280
10880,2026321,340136
10978,2026321,340136
11072,2251468,565283
11177,2088237,402052
11274,1699858,13673
11376,1018789,0
11475,1060047,0
11576,1253765,0
11679,1323643,0
11729,1405253,0
