datetime,cpu,mem
Fri Oct 28 18:44:12 GMT 2022,0,1361398
Fri Oct 28 18:44:13 GMT 2022,7.1,1378499
Fri Oct 28 18:44:15 GMT 2022,7.1,1298995
Fri Oct 28 18:44:19 GMT 2022,0.2,1320470
Fri Oct 28 18:44:22 GMT 2022,0.2,1379817
Fri Oct 28 18:44:26 GMT 2022,97,1382797
Fri Oct 28 18:44:30 GMT 2022,97,1393364
Fri Oct 28 18:44:33 GMT 2022,84,1384312
Fri Oct 28 18:44:35 GMT 2022,84,1382626
Fri Oct 28 18:44:38 GMT 2022,0,1381189
Fri Oct 28 18:44:40 GMT 2022,0,1382911
Fri Oct 28 18:44:43 GMT 2022,40,1382857
Fri Oct 28 18:44:45 GMT 2022,40,1380131
Fri Oct 28 18:44:47 GMT 2022,40,1372576
Fri Oct 28 18:44:49 GMT 2022,0,1371534
Fri Oct 28 18:44:51 GMT 2022,0,1370674
Fri Oct 28 18:44:54 GMT 2022,0,1354880
Fri Oct 28 18:44:56 GMT 2022,38,1352246
Fri Oct 28 18:44:58 GMT 2022,38,1350163
Fri Oct 28 18:45:00 GMT 2022,38,1354368
Fri Oct 28 18:45:02 GMT 2022,21,1353522
Fri Oct 28 18:45:04 GMT 2022,21,1353778
Fri Oct 28 18:45:06 GMT 2022,21,1355760
Fri Oct 28 18:45:08 GMT 2022,18,1355054
Fri Oct 28 18:45:10 GMT 2022,18,1356686
Fri Oct 28 18:45:12 GMT 2022,18,1359416
Fri Oct 28 18:45:14 GMT 2022,29,1361780
Fri Oct 28 18:45:16 GMT 2022,29,1360404
Fri Oct 28 18:45:18 GMT 2022,29,1362890
Fri Oct 28 18:45:20 GMT 2022,33,1363124
Fri Oct 28 18:45:21 GMT 2022,33,1362132
Fri Oct 28 18:45:23 GMT 2022,33,1363890
Fri Oct 28 18:45:25 GMT 2022,34,1347714
