Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,4084297,2012527
91,5087662,3015892
193,3573937,1502167
292,3321964,1250194
393,1968551,0
493,1641603,0
594,1702281,0
695,2506541,434771
803,3026139,954369
906,3602484,1530714
1003,3765689,1693919
1102,2992871,921101
1210,3601377,1529607
1300,3794555,1722785
1399,4365866,2294096
1500,3304574,1232804
1600,2299644,227874
1701,3014160,942390
1807,1512214,0
1907,2910361,838591
2008,2845668,773898
2107,2566397,494627
2209,1914127,0
2309,1792924,0
2410,2038013,0
2508,1806918,0
2614,2375522,303752
2715,3341923,1270153
2810,2974170,902400
2914,2917625,845855
3014,3122007,1050237
3118,3219004,1147234
3209,2497370,425600
3318,2672326,600556
3412,2237496,165726
3512,1683529,0
3612,1957465,0
3713,2067492,0
3814,1441345,0
3915,1775025,0
4016,2117146,45376
4116,2206996,135226
4215,2508488,436718
4322,2737205,665435
4418,3053214,981444
4519,3236814,1165044
4624,2526901,455131
4723,1695170,0
4825,2594690,522920
4925,2705186,633416
5025,2901797,830027
5126,2585499,513729
5226,2753430,681660
5328,2950041,878271
5430,3061744,989974
5527,2959097,887327
5631,2555951,484181
5731,3245148,1173378
5830,2818196,746426
5933,2968164,896394
6030,2929295,857525
6136,2595319,523549
6230,2721363,649593
6331,2197946,126176
6435,2099755,27985
6542,2176699,104929
6641,2182328,110558
6740,2306158,234388
6837,2204842,133072
6934,1934666,0
7056,1974067,0
7136,2009435,0
7239,1750516,0
7342,1705487,0
7438,2082608,10838
7540,1576028,0
7644,1654829,0
7742,1773031,0
7841,1756145,0
7942,1784289,0
8044,1728002,0
8144,1778660,0
8249,1767403,0
8344,2065722,0
8453,2127638,55868
8573,2183924,112154
8648,2031950,0
8749,1823689,0
8849,1682972,0
8950,1778660,0
9049,1947520,0
9150,2093865,22095
9256,1981292,0
9365,2251468,179698
9468,2251468,179698
9563,2183924,112154
9671,2026321,0
9767,1998178,0
9866,1806803,0
9967,1941891,0
10071,2099494,27724
10183,2144524,72754
10281,2251468,179698
10377,2082608,10838
10472,2178296,106526
10574,2195182,123412
10675,2054465,0
10786,2093865,22095
10886,2195182,123412
10979,2195182,123412
11085,2138895,67125
11187,2138895,67125
11282,2026321,0
11382,2183924,112154
11481,1371983,0
11578,1318966,0
11677,1192317,0
11728,1469060,0
11828,806757,0
11929,640707,0
12031,698872,0
12131,1685758,0
12234,1742976,0
12335,1174477,0
12432,801116,0
12533,499084,0
12633,629448,0
12734,967987,0
12834,739215,0
12936,636016,0
13036,620070,0
13136,837711,0
13237,514066,0
13336,935276,0
13438,743901,0
13540,465879,0
13641,730190,0
13742,859852,0
13842,705255,0
13942,864839,0
14042,721547,0
14144,737254,0
14243,2421245,349475
14348,2430611,358841
14450,1810517,0
14549,1613514,0
14646,1517826,0
14746,969977,0
14847,574560,0
14946,1130402,0
15047,760787,0
15147,840536,0
15250,1035382,0
15348,903091,0
15451,663282,0
15552,360543,0
15654,566891,0
15755,542714,0
15855,1258153,0
15955,1006571,0
16057,719023,0
16156,832082,0
16257,662449,0
16357,867732,0
16459,777673,0
16558,636956,0
16659,778356,0
16761,615489,0
16861,740164,0
16961,736508,0
17061,752215,0
17162,711573,0
17261,1070364,0
17362,873361,0
17464,656640,0
17564,581126,0
17665,736000,0
17764,891845,0
17864,726075,0
17965,570962,0
18067,571491,0
18166,790034,0
18267,819956,0
18369,884787,0
18469,601858,0
18568,756099,0
18668,720216,0
18768,747652,0
18871,692371,0
18970,1188566,0
19070,825776,0
19170,765099,0
19270,1076933,0
19371,657462,0
19472,829930,0
19573,721547,0
19672,630450,0
19774,845217,0
19875,660372,0
19975,652475,0
20077,796352,0
20176,606956,0
20277,1065687,0
20379,811445,0
20479,567993,0
20580,570326,0
20681,571000,0
20782,531245,0
20882,568857,0
20982,791292,0
21082,974553,0
21183,935276,0
21284,822703,0
21385,760112,0
21485,756456,0
21586,680320,0
21686,760112,0
21787,792111,0
21887,561427,0
21989,552347,0
22090,536979,0
22190,542712,0
22291,548014,0
22394,610638,0
22490,1039542,0
22591,951245,0
22695,951245,0
22801,935006,0
22893,1131363,0
22993,1057807,0
23093,1032433,0
23194,1114477,0
23296,827414,0
23396,983351,0
23495,1043049,0
23596,867074,0
23696,983396,0
23797,822240,0
23897,806296,0
24001,875741,0
24098,855544,0
24200,1114477,0
24299,928730,0
24401,704982,0
24500,1075076,0
24601,878072,0
24702,1116953,0
24805,835845,0
24904,852261,0
25005,742404,0
25106,808745,0
25206,1006571,0
25307,977081,0
25406,961827,0
25507,1125734,0
25607,782295,0
25708,1043195,0
25811,805824,0
25909,967107,0
26009,1021671,0
26111,988192,0
26211,1013127,0
26312,803003,0
26416,810528,0
26518,1022205,0
26613,587715,0
26713,850133,0
26815,916992,0
26915,951853,0
27015,1008140,0
27117,918374,0
27216,1153877,0
27317,1097591,0
27417,972589,0
27519,1172711,0
27619,973231,0
27719,1097906,0
27820,896996,0
27920,1028234,0
28021,1018114,0
28121,1011697,0
28221,1159506,0
28326,1027834,0
28432,989334,0
28530,726098,0
28623,789408,0
28723,790329,0
28826,747067,0
28926,734173,0
29026,809983,0
29077,871212,0
29178,765451,0
29277,983205,0
29377,1170763,0
29479,1033221,0
29578,1046932,0
29679,1125734,0
29779,872444,0
29882,861186,0
29981,1193278,0
30081,1474712,0
30181,894958,0
30282,1108848,0
30383,962502,0
30483,993179,0
30583,1062997,0
30684,1012485,0
30784,862087,0
30886,978218,0
30986,872208,0
31086,312053,0
31186,1210164,0
31287,1131363,0
31387,862087,0
31490,1067984,0
31589,898426,0
31690,1003153,0
31792,973231,0
31891,985017,0
31991,1238307,0
32096,880382,0
32198,1008826,0
32292,1041304,0
32393,772041,0
32495,728741,0
32594,1266882,0
32694,2437214,365444
32795,2240211,168441
32898,945616,0
32996,848505,0
33097,838192,0
33198,1206191,0
33299,928348,0
33401,1068130,0
33501,956840,0
33603,953283,0
33699,1152763,0
33800,1485969,0
33905,844300,0
34012,1196694,0
34106,1035675,0
34202,1058190,0
34303,979388,0
34406,988192,0
34506,913701,0
34607,770086,0
34707,822703,0
34807,690294,0
34909,747228,0
35012,597542,0
35111,538974,0
35210,1000475,0
35310,850846,0
35411,720216,0
35512,656640,0
35612,607392,0
35712,548650,0
35814,650073,0
35914,758419,0
36015,663527,0
36116,562453,0
36214,377568,0
36318,1044762,0
36416,631975,0
36528,656640,0
36622,777150,0
36723,1060047,0
36824,761727,0
36928,744841,0
37019,834900,0
37121,683603,0
37221,806757,0
37322,567993,0
37423,806326,0
37537,767356,0
37625,787053,0
37724,1106005,0
37827,766416,0
37927,663206,0
38028,659923,0
38129,491535,0
38228,702604,0
38329,663206,0
38430,554860,0
38531,633657,0
38633,650073,0
38731,924973,0
38834,995041,0
38940,572402,0
39043,659923,0
39139,947473,0
39234,964359,0
39334,848968,0
39436,659923,0
39535,818818,0
39635,738694,0
39735,1017979,0
39837,873357,0
39937,760885,0
40039,774343,0
40138,715760,0
40241,855378,0
40341,780037,0
40442,721494,0
40543,779203,0
40643,700153,0
40743,764436,0
40847,912491,0
40943,1157293,0
41045,961827,0
41145,1083733,0
41246,1125734,0
41347,873491,0
41447,1053023,0
41547,1163469,0
41650,882035,0
41748,943255,0
41849,986762,0
41950,1053023,0
42051,987550,0
42151,983205,0
42250,971801,0
42352,948296,0
42453,1028234,0
42553,901983,0
42652,616902,0
42757,1004472,0
42853,1019591,0
42954,983205,0
43054,923361,0
43155,990646,0
43255,1215793,0
43356,1030046,0
43456,906970,0
43557,833595,0
43660,1086333,0
43758,983205,0
43859,983205,0
43958,993179,0
44060,887022,0
44160,1024418,0
44261,943309,0
44362,967602,0
44463,983205,0
44562,619818,0
44664,905777,0
44763,928730,0
44863,1176392,0
44964,986762,0
45064,907758,0
45165,1222176,0
45265,1170763,0
45366,1053169,0
45468,694183,0
45569,645411,0
45669,695281,0
45770,691625,0
45870,974553,0
45970,710242,0
46071,632268,0
46172,761443,0
46272,650073,0
46373,641755,0
46474,828331,0
46573,908073,0
46674,688555,0
46777,556298,0
46883,1022198,0
46975,727955,0
47077,786378,0
47177,660372,0
47277,929670,0
47328,657462,0
47429,724457,0
47530,884787,0
47630,733473,0
47730,1299262,0
47831,936216,0
47932,613958,0
48034,527316,0
48134,646790,0
48235,604108,0
48335,500817,0
48436,496502,0
48536,559374,0
48636,493991,0
48737,482266,0
48838,525960,0
48938,627577,0
49038,689472,0
49139,745642,0
49239,992003,0
49342,798331,0
49445,833676,0
49541,747652,0
49641,732267,0
49742,542436,0
49842,646790,0
49943,740454,0
50045,498530,0
50145,547797,0
50246,519515,0
50346,518637,0
50448,538351,0
50548,696127,0
50648,716234,0
50748,700148,0
50849,756853,0
50949,866867,0
51051,872952,0
51150,836695,0
51250,1221421,0
51351,1056580,0
51451,866343,0
51556,606790,0
51660,1959424,0
51754,1576028,0
51853,928730,0
51953,1077958,0
52055,893439,0
52155,918374,0
52255,1013160,0
52377,1561236,0
52462,1660458,0
52559,1345252,0
52660,974661,0
52761,1129001,0
52863,782369,0
52963,782000,0
53063,833338,0
53164,824159,0
53263,1148249,0
53364,1294594,0
53469,1003197,0
53565,991698,0
53666,857100,0
53767,986762,0
53867,1038062,0
53968,943309,0
54069,1107880,0
54169,1013127,0
54271,1027446,0
54369,1018114,0
54470,973231,0
54572,893439,0
54672,888376,0
54775,825523,0
54873,845062,0
54974,789364,0
55074,856138,0
55173,779952,0
55276,634129,0
55374,914413,0
55477,758632,0
55578,670346,0
55679,760112,0
55778,721547,0
55882,548014,0
55981,516672,0
56080,645613,0
56182,575202,0
56284,663206,0
56416,541800,0
56497,870048,0
56597,879303,0
56697,792111,0
56797,885558,0
56892,609753,0
56992,693577,0
57095,795021,0
57195,916786,0
57296,781424,0
57397,721387,0
57499,722293,0
57599,673056,0
57699,545011,0
57801,788014,0
57900,688229,0
58000,677410,0
58101,1009463,0
58201,670728,0
58302,743901,0
58403,695281,0
58504,741495,0
58606,804995,0
58706,784242,0
58807,594259,0
58906,498756,0
59007,519778,0
59108,675924,0
59208,827366,0
59308,768268,0
59411,522913,0
59511,522035,0
59611,642840,0
59712,574560,0
59812,686188,0
59913,526338,0
60014,557627,0
60115,472932,0
60215,732723,0
60316,627616,0
60415,1040352,0
60515,1003401,0
60615,984229,0
60716,1043049,0
60817,793057,0
60918,1026658,0
61018,1008286,0
61118,901983,0
61218,1463454,0
61319,845694,0
61420,832561,0
61522,900573,0
61621,832089,0
61723,881809,0
61823,901509,0
61923,832089,0
62025,821776,0
62125,799402,0
62229,884130,0
62325,901234,0
62433,966814,0
62535,880402,0
62636,924019,0
62736,891187,0
62835,961827,0
62935,1148249,0
63035,1052561,0
63129,1046606,0
63229,1114477,0
63331,1103219,0
63431,747386,0
63532,978218,0
63631,848556,0
63733,1018114,0
63833,993179,0
63936,1148249,0
64035,788935,0
64138,941536,0
64192,1042876,0
64292,1221421,0
64393,1187649,0
64494,826930,0
64598,568488,0
64689,736134,0
64791,698872,0
64892,849878,0
64992,862103,0
65093,648214,0
65194,946533,0
65293,980305,0
65396,791365,0
65495,617566,0
65596,731894,0
65695,797931,0
65796,707332,0
65897,625463,0
65996,750138,0
66097,646742,0
66198,800008,0
66298,969048,0
66399,636940,0
66498,983126,0
66601,951238,0
66699,661817,0
66801,743074,0
66901,670346,0
67001,652475,0
67102,665359,0
67204,991563,0
67303,939027,0
67403,790034,0
67503,819956,0
67613,805800,0
67703,553996,0
67803,889330,0
67904,1062235,0
68005,829730,0
68107,838656,0
68206,921208,0
68306,1262624,0
68408,931905,0
68509,1026658,0
68607,1300223,0
68712,935653,0
68815,949032,0
68909,1075076,0
69010,901983,0
69111,958270,0
69211,1058010,0
69313,1246087,0
69412,1041304,0
69514,1082945,0
69613,727438,0
69714,1023247,0
69816,1043049,0
69915,923361,0
70017,1023101,0
70116,1042407,0
70217,883465,0
70317,1148249,0
70418,872444,0
70520,658554,0
,,
,,
