datetime,cpu,mem
Fri Oct 28 18:51:49 GMT 2022,82,1297024
Fri Oct 28 18:51:50 GMT 2022,0,1296656
Fri Oct 28 18:51:52 GMT 2022,0,1271425
Fri Oct 28 18:51:55 GMT 2022,0,1304487
Fri Oct 28 18:51:59 GMT 2022,0.3,1347387
Fri Oct 28 18:52:03 GMT 2022,0.3,1341127
Fri Oct 28 18:52:06 GMT 2022,0,1341508
Fri Oct 28 18:52:08 GMT 2022,0,1339535
Fri Oct 28 18:52:11 GMT 2022,49,1340325
Fri Oct 28 18:52:13 GMT 2022,49,1338981
Fri Oct 28 18:52:16 GMT 2022,43,1336621
Fri Oct 28 18:52:19 GMT 2022,43,1339191
Fri Oct 28 18:52:21 GMT 2022,39,1333673
Fri Oct 28 18:52:23 GMT 2022,39,1335221
Fri Oct 28 18:52:25 GMT 2022,39,1337895
Fri Oct 28 18:52:27 GMT 2022,0,1335421
Fri Oct 28 18:52:30 GMT 2022,0,1333205
Fri Oct 28 18:52:31 GMT 2022,0,1335019
Fri Oct 28 18:52:33 GMT 2022,40,1334273
Fri Oct 28 18:52:35 GMT 2022,40,1335561
Fri Oct 28 18:52:37 GMT 2022,40,1338243
Fri Oct 28 18:52:40 GMT 2022,29,1336837
Fri Oct 28 18:52:42 GMT 2022,29,1338165
Fri Oct 28 18:52:43 GMT 2022,29,1335327
Fri Oct 28 18:52:46 GMT 2022,0.3,1337641
Fri Oct 28 18:52:48 GMT 2022,0.3,1339161
Fri Oct 28 18:52:50 GMT 2022,0.3,1335963
Fri Oct 28 18:52:52 GMT 2022,0,1339741
Fri Oct 28 18:52:55 GMT 2022,0,1338881
Fri Oct 28 18:52:57 GMT 2022,0,1337195
Fri Oct 28 18:52:59 GMT 2022,43,1336489
Fri Oct 28 18:53:02 GMT 2022,43,1321061
