Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,2872605,68194
117,2763934,0
212,4137223,1332812
317,2836793,32382
417,1528021,0
463,3764330,959919
567,2713485,0
669,2351718,0
776,1485325,0
865,1534113,0
974,1701177,0
1072,1666072,0
1173,3203602,399191
1272,2259548,0
1374,2258124,0
1477,1806893,0
1577,3109702,305291
1671,4255495,1451084
1770,4005616,1201205
1871,2637550,0
1974,3184486,380075
2073,3142191,337780
2172,3276623,472212
2272,2346122,0
2381,2044928,0
2479,2453275,0
2579,2064221,0
2675,2645794,0
2779,1809111,0
2883,1337237,0
2985,1122413,0
3078,1285609,0
3178,1618678,0
3285,3145642,341231
3386,3668957,864546
3486,3067941,263530
3585,2183870,0
3686,1918576,0
3786,2083488,0
3884,1940086,0
3986,1427545,0
4094,2112169,0
4198,2477843,0
4297,1732154,0
4397,2330290,0
4512,3331085,526674
4594,3933223,1128812
4697,3459997,655586
4794,3359616,555205
4895,3438487,634076
5001,3589059,784648
5096,3130173,325762
5196,2993941,189530
5296,3022621,218210
5397,2581094,0
5497,2637470,0
5598,1958586,0
5698,2142742,0
5799,2392075,0
5903,2902020,97609
6002,2646915,0
6100,2435964,0
6199,2457474,0
6304,2565025,0
6407,1998742,0
6507,2047543,0
6610,2118129,0
6718,2225074,0
6810,2095614,0
6909,2213816,0
7010,2044956,0
7110,1892982,0
7219,1836695,0
7316,2157530,0
7417,2225074,0
7520,2144524,0
7629,2037579,0
7727,2183924,0
7822,2234202,0
7920,2099113,0
8019,2144524,0
8117,2060093,0
8219,2195182,0
8323,2178296,0
8432,2054465,0
8526,2060093,0
8628,2110752,0
8725,2003807,0
8828,2043207,0
8935,2144524,0
9029,2099494,0
9143,2195182,0
9235,2183924,0
9334,2195182,0
9430,2195182,0
9534,2138895,0
9631,2138895,0
9730,2144524,0
9832,2127638,0
9938,2082608,0
10045,2110752,0
10138,2015064,0
10249,2015064,0
10356,2105123,0
10438,2195182,0
10550,2195182,0
10657,2195182,0
10740,2251468,0
10851,2251468,0
10949,2138895,0
11046,2195182,0
11152,2251468,0
11244,2251468,0
11343,2251468,0
11442,1834947,0
11546,1634171,0
11645,1849918,0
11745,1726087,0
11845,2654818,0
11944,1495312,0
12050,1329272,0
12145,1662771,0
12247,1369622,0
12293,1748613,0
12396,1861175,0
12499,1282362,0
12597,2131352,0
12701,1630400,0
12794,1996263,0
12894,1281424,0
13001,937989,0
13100,1253279,0
13199,1585373,0
13304,896016,0
13402,1534712,0
13500,1326451,0
13604,1135921,0
13705,1793631,0
13806,1804889,0
13914,1945605,0
14006,1742973,0
14106,2069436,0
14210,2277697,0
14309,2530987,0
14406,2081634,0
14506,1924031,0
14606,1860717,0
14708,2323201,0
14809,2385582,0
14914,1204975,0
15016,1742973,0
15110,1928719,0
15210,1529086,0
15311,1708273,0
15418,1728916,0
15514,2271603,0
15611,1225135,0
15718,1242961,0
15813,1529084,0
15913,1338660,0
16019,1432468,0
16126,1501880,0
16221,2744877,0
16323,2322726,0
16432,2422185,0
16526,2251468,0
16631,2054465,0
16729,2009435,0
16829,2138895,0
16931,2200810,0
17044,2251468,0
17135,2020693,0
17230,2127638,0
17332,1485969,0
17430,1885605,0
17533,1863090,0
17634,1694230,0
17737,1981292,0
17846,1711116,0
17939,1930634,0
18037,2088237,0
18136,1277708,0
18237,1249565,0
18339,1165135,0
18439,1288965,0
18539,1041304,0
18639,1052561,0
18740,1170763,0
18841,1080705,0
18944,1108848,0
19043,1136991,0
19143,1232679,0
19244,1238307,0
19347,1187649,0
19441,1108848,0
19541,577843,0
19641,627091,0
19742,574774,0
19842,549099,0
19943,598980,0
20043,730463,0
20144,721177,0
20244,648498,0
20345,1310519,0
20445,1544113,0
20546,1397756,0
20646,1334912,0
20748,955448,0
20850,713317,0
20948,838858,0
21048,698564,0
21149,770086,0
21249,861556,0
21350,955445,0
21450,1060047,0
21551,961542,0
21651,940905,0
21751,725137,0
21852,1315680,0
21953,1023925,0
22053,732644,0
22153,727280,0
22254,1034714,0
22354,680320,0
22454,829930,0
22554,819956,0
22656,824943,0
22755,610675,0
22856,656640,0
22957,1085598,0
23057,1020646,0
23157,742023,0
23258,954194,0
23358,883084,0
23460,882282,0
23563,1027229,0
23666,802715,0
23764,1150106,0
23862,987803,0
23962,994371,0
24062,814728,0
24168,881335,0
24271,525636,0
24365,752918,0
24465,931747,0
24566,833234,0
24666,803939,0
24767,974553,0
24868,862103,0
24977,867732,0
25068,886014,0
25169,931747,0
25269,597542,0
25370,600932,0
25471,758419,0
25571,702345,0
25672,665359,0
25772,785047,0
25872,615489,0
25973,780060,0
26075,829930,0
26174,642539,0
26278,1005652,0
26375,890083,0
26476,727280,0
26577,770086,0
26678,811313,0
26778,790034,0
26879,688555,0
26980,844891,0
27080,685307,0
27181,884787,0
27281,1000942,0
27381,545011,0
27482,1084268,0
27582,802085,0
27683,824532,0
27784,403555,0
27835,486129,0
27936,518961,0
28037,490593,0
28137,615301,0
28237,506952,0
28339,526435,0
28439,519912,0
28538,659602,0
28639,597265,0
28742,496198,0
28841,559342,0
28940,541728,0
29044,973669,0
29152,749037,0
29242,902444,0
29343,666040,0
29444,669772,0
29544,598791,0
29645,615919,0
29746,496844,0
29846,523259,0
29947,549417,0
30048,728870,0
30148,587692,0
30249,525021,0
30349,550596,0
30449,812666,0
30549,921651,0
30649,1197646,0
30749,1013273,0
30850,911957,0
30950,1093065,0
31051,852113,0
31151,1072971,0
31253,966814,0
31353,1035675,0
31454,957138,0
31561,1174523,0
31663,1395910,0
31754,1913748,0
31856,1564770,0
31955,1193278,0
32056,1023247,0
32157,1395910,0
32257,635567,0
32357,1023101,0
32458,1028088,0
32559,1006710,0
32660,1028088,0
32761,1157109,0
32862,981775,0
32962,908400,0
33063,1125734,0
33164,1176392,0
33266,1041304,0
33369,1123521,0
33465,922522,0
33572,1243148,0
33673,1097591,0
33767,1058190,0
33867,951245,0
33968,887022,0
34069,1051593,0
34169,832561,0
34269,863048,0
34370,957625,0
34470,788775,0
34571,901283,0
34673,973739,0
34772,947654,0
34872,1297972,0
34973,931995,0
35073,828543,0
35174,785425,0
35275,562569,0
35377,938987,0
35481,1070394,0
35583,1046932,0
35676,1007532,0
35777,1198907,0
35878,825523,0
35979,904792,0
36079,1000942,0
36180,1137802,0
36280,1008140,0
36380,1395910,0
36483,913701,0
36583,895875,0
36683,890247,0
36784,790034,0
36885,663206,0
36986,551367,0
37086,542370,0
37187,644232,0
37287,503712,0
37388,619695,0
37488,1014450,0
37589,981245,0
37693,869735,0
37790,865531,0
37890,973737,0
37991,777983,0
38091,770086,0
38192,580580,0
38294,804995,0
38392,1040343,0
38493,872947,0
38593,841981,0
38694,890247,0
38795,746482,0
38894,804995,0
38995,620524,0
39095,859852,0
39196,547748,0
39296,726534,0
39397,787124,0
39495,1145431,0
39596,1215793,0
39697,1103219,0
39797,1102252,0
39897,891659,0
39999,719582,0
40099,579906,0
40203,769428,0
40301,1216440,0
40401,951853,0
40502,1086333,0
40602,996274,0
40703,1086333,0
40803,1103040,0
40904,1053023,0
41004,1108848,0
41104,1053023,0
41205,998312,0
41307,903413,0
41406,956874,0
41507,1153877,0
41607,1182021,0
41708,1305525,0
41808,894942,0
41909,1117854,0
42009,1047394,0
42109,1138500,0
42214,872444,0
42316,1109495,0
42411,1026658,0
42511,933977,0
42612,956840,0
42713,1187819,0
42813,896996,0
42914,1038062,0
43015,1033075,0
43115,1032433,0
43215,1067984,0
43316,1117854,0
43416,1018114,0
43518,753645,0
43619,980305,0
43719,782137,0
43834,679622,0
43926,1098026,0
44021,1147279,0
44123,728486,0
44222,822703,0
44323,726447,0
44426,976236,0
44523,842120,0
44624,867732,0
44725,833960,0
44826,715229,0
44926,771105,0
45026,765099,0
45127,687384,0
45227,806326,0
45328,659923,0
45428,529127,0
45528,561824,0
45629,626804,0
45730,728908,0
45831,646793,0
45930,631684,0
46031,609372,0
46132,515040,0
46233,573331,0
46333,528012,0
46434,490593,0
46534,508481,0
46635,525960,0
46737,502092,0
46837,652608,0
46938,532872,0
47038,448381,0
47141,844300,0
47247,880576,0
47340,817348,0
47441,747228,0
47489,1041538,0
47642,1176392,0
47701,1229989,0
47796,1091962,0
47940,1016684,0
47990,827178,0
48091,1072768,0
48191,872444,0
48292,956874,0
48392,832561,0
48493,927302,0
48643,962954,0
48744,924019,0
48794,894470,0
48894,1011269,0
48996,761057,0
49096,641839,0
49201,776756,0
49304,1060957,0
49404,1391239,0
49505,1071542,0
49606,1041619,0
49707,1148249,0
49807,1080705,0
49900,1061568,0
50001,1016684,0
50102,885689,0
50202,799729,0
50303,858355,0
50403,888021,0
50504,728107,0
50605,862944,0
50706,849659,0
50806,816145,0
50907,930585,0
51007,1000005,0
51108,832920,0
51212,850576,0
51320,1163880,0
51417,900587,0
51510,1024418,0
51610,1108027,0
51710,837152,0
51811,1001723,0
51911,1048036,0
52011,1131363,0
52112,889330,0
52213,1072971,0
52313,1057368,0
52413,827178,0
52514,1053023,0
52614,1043049,0
52715,898426,0
52816,1286714,0
52916,1062355,0
53016,1072971,0
53117,834203,0
53222,1085227,0
53325,1177039,0
53419,1187649,0
53521,874301,0
53621,538444,0
53722,659923,0
53823,561824,0
53923,701409,0
54023,593274,0
54124,738720,0
54224,609372,0
54325,1060587,0
54426,707332,0
54526,884618,0
54626,969048,0
54727,642585,0
54828,623808,0
54929,748980,0
55028,836994,0
55129,844891,0
55229,715229,0
55330,804995,0
55431,598216,0
55531,649582,0
55633,532814,0
55733,644156,0
55837,906570,0
55934,683573,0
56034,809568,0
56135,740164,0
56235,785047,0
56335,730190,0
56436,901825,0
56535,1215418,0
56635,1367767,0
56736,1003299,0
56836,274285,0
56937,873491,0
57037,1077316,0
57137,1028088,0
57238,1367767,0
57338,891659,0
57439,838328,0
57540,842026,0
57640,1194089,0
57740,827821,0
57843,1095310,0
57941,1111438,0
58043,1116953,0
58142,989858,0
58243,1024418,0
58344,882747,0
58444,900573,0
58544,914169,0
58645,900842,0
58745,794027,0
58846,897546,0
58947,818587,0
59047,886897,0
59148,828328,0
59249,760885,0
59349,861645,0
59451,718387,0
