datetime,cpu,mem
Sun Oct 23 23:51:54 GMT 2022,0,1183853
Sun Oct 23 23:51:56 GMT 2022,0.1,1199461
Sun Oct 23 23:51:58 GMT 2022,0.1,1247431
Sun Oct 23 23:52:02 GMT 2022,0.1,1289615
Sun Oct 23 23:52:05 GMT 2022,0.1,1323652
Sun Oct 23 23:52:09 GMT 2022,98,1338194
Sun Oct 23 23:52:13 GMT 2022,98,1377741
Sun Oct 23 23:52:16 GMT 2022,98,1400543
Sun Oct 23 23:52:19 GMT 2022,0.1,1375110
Sun Oct 23 23:52:22 GMT 2022,0.1,1394628
Sun Oct 23 23:52:25 GMT 2022,0.1,1421346
Sun Oct 23 23:52:28 GMT 2022,0.1,1434736
Sun Oct 23 23:52:31 GMT 2022,0.1,1453803
Sun Oct 23 23:52:35 GMT 2022,0.1,1481071
Sun Oct 23 23:52:38 GMT 2022,0.1,1494985
Sun Oct 23 23:52:43 GMT 2022,0.1,1494696
Sun Oct 23 23:52:45 GMT 2022,97,1496604
Sun Oct 23 23:52:48 GMT 2022,97,1507544
Sun Oct 23 23:52:51 GMT 2022,0.1,1507193
Sun Oct 23 23:52:54 GMT 2022,0.1,1512896
Sun Oct 23 23:52:57 GMT 2022,0.1,1512109
Sun Oct 23 23:53:00 GMT 2022,0.1,1523445
Sun Oct 23 23:53:03 GMT 2022,90,1525744
Sun Oct 23 23:53:06 GMT 2022,90,1547643
Sun Oct 23 23:53:09 GMT 2022,89,1526458
