Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
65,2381287,173260
160,2496427,288400
265,2139648,0
360,2580156,372129
466,2581131,373104
561,2436501,228474
667,2290220,82193
762,2430626,222599
863,3640386,1432359
965,3293332,1085305
1068,3053846,845819
1171,3944733,1736706
1271,5986804,3778777
1378,6756939,4548912
1474,6626591,4418564
1570,4305400,2097373
1672,4427894,2219867
1775,3984685,1776658
1875,4557301,2349274
1993,4006965,1798938
2071,4824616,2616589
2172,4620002,2411975
2276,3443328,1235301
2377,2926396,718369
2486,3134328,926301
2579,2955076,747049
2693,2159196,0
2780,2861865,653838
2882,2847525,639498
2981,2768654,560627
3084,2632422,424395
3184,2524870,316843
3286,2955076,747049
3385,2769866,561839
3486,2920438,712411
3592,3192902,984875
3695,3049500,841473
3800,3368830,1160803
3890,3562423,1354396
3994,3619783,1411756
4108,3034464,826437
4201,2489322,281295
4296,2489322,281295
4398,2410713,202686
4505,2523286,315259
4597,2354426,146399
4711,2523286,315259
4803,2467000,258973
4902,2602932,394905
5009,2602932,394905
5103,2546645,338618
5220,2501615,293588
5311,2586046,378019
5413,2388213,180186
5513,2399471,191444
5615,2416357,208330
5719,2467015,258988
5813,2427614,219587
5921,2455757,247730
6022,2455757,247730
6118,2410728,202701
6223,2455757,247730
6324,2393842,185815
6419,2353405,145378
6516,2263347,55320
6622,2128258,0
6734,2225074,17047
6834,2251468,43441
6937,2043207,0
7027,2251468,43441
7125,2195182,0
7238,2144524,0
7334,2195182,0
7438,2195182,0
7531,2054465,0
7634,2155781,0
7739,2127638,0
7828,2138895,0
7941,2127638,0
8026,2251468,43441
8146,2048836,0
8231,2047543,0
8333,2148859,0
8442,2205146,0
8544,2261432,53405
8637,2092572,0
8734,2103829,0
8839,2098201,0
8932,2015064,0
9039,2082608,0
9135,2122009,0
9237,2065722,0
9347,2009435,0
9438,1970035,0
9545,1970035,0
9638,2093865,0
9742,2122009,0
9842,2060093,0
9942,2110752,0
10050,2110752,0
10150,2093865,0
10240,2148859,0
10345,2126344,0
10448,2261432,53405
10548,2261432,53405
10671,2205146,0
10755,2154488,0
10846,2205146,0
10947,2205146,0
11048,2261432,53405
11158,2154488,0
11254,2195182,0
11356,2183924,0
11456,2251468,43441
11504,2251468,43441
11607,2251468,43441
11703,2195182,0
11807,2251468,43441
11907,2082608,0
12009,2183924,0
12115,2195182,0
12213,2280524,72497
12319,2274896,66869
12416,2274896,66869
12526,2235495,27468
12615,2263638,55611
12725,2331182,123155
12822,2410728,202701
12923,2241868,33841
13015,2467015,258988
13114,2416357,208330
13217,2035671,0
13322,2566623,358596
13414,2566623,358596
13515,1917081,0
13627,2120094,0
13718,2142609,0
13820,1737345,0
13919,1894947,0
14020,1624771,0
14118,1624771,0
14222,1652914,0
14322,1861175,0
14423,2001892,0
14524,2176381,0
14627,1833032,0
14727,2153866,0
14837,2682961,474934
14927,2232668,24641
15027,2136980,0
15133,1955006,0
15230,2185167,0
15336,2263968,55941
15440,2342770,134743
15536,2286483,78456
15632,2325884,117857
15738,2348399,140372
15858,2342770,134743
15947,2243709,35682
16055,2099494,0
16145,2183924,0
16240,2251468,43441
16342,2138895,0
16450,2251468,43441
16559,2251468,43441
16661,2251468,43441
16763,2251468,43441
16856,2251468,43441
16963,2251468,43441
17049,2122009,0
17177,2150152,0
17247,2261432,53405
17365,2205146,0
17461,2205146,0
17559,2148859,0
17668,2261432,53405
17758,2137602,0
17864,2205146,0
17984,2261432,53405
18067,2261432,53405
18166,2205146,0
18275,2081315,0
18389,2195182,0
18475,2251468,43441
18570,2251468,43441
18681,2122009,0
18776,2155781,0
18870,2178296,0
18969,2195182,0
19068,2183924,0
19171,2195182,0
19280,2261432,53405
19388,2148859,0
19468,2188260,0
19577,2205146,0
19675,2148859,0
19772,2261432,53405
19882,2086943,0
19980,2193888,0
20078,2075686,0
20178,2092572,0
20274,2193888,0
20383,2205146,0
20484,2261432,53405
20603,2210774,2747
20692,2131973,0
20789,2251468,43441
20890,2251468,43441
20993,2251468,43441
21088,2206439,0
21189,2251468,43441
21293,2099494,0
21399,2195182,0
21439,2251468,43441
21549,2195182,0
21643,2251468,43441
21743,2251468,43441
21862,2195182,0
21956,2251468,43441
22044,2144524,0
22147,2195182,0
22260,2251468,43441
22357,2261432,53405
22448,2109458,0
22558,2165745,0
22664,2205146,0
22768,2195182,0
22860,2251468,43441
22970,2195182,0
23055,2138895,0
23155,2195182,0
23353,2195182,0
23417,2251468,43441
23505,2183924,0
23630,2195182,0
23714,2251468,43441
23812,1947520,0
23916,2048836,0
24020,2251468,43441
24078,2251468,43441
24172,2251468,43441
24265,2183924,0
24381,2127638,0
24465,2195182,0
24575,2105123,0
24670,2144524,0
24775,2144524,0
24875,2251468,43441
24970,2251468,43441
25071,2127638,0
25178,2251468,43441
25276,2088237,0
25398,2043207,0
25481,2251468,43441
25594,2195182,0
25684,2200810,0
25788,2195182,0
25904,2116380,0
25984,2127638,0
26079,2251468,43441
26183,2110752,0
26287,2082608,0
26391,2178296,0
26487,2144524,0
26598,2138895,0
26683,2122009,0
26786,2110752,0
26894,2178296,0
26987,2060093,0
27087,1998178,0
27193,2043207,0
27298,2015064,0
27399,2127638,0
27492,2048836,0
27596,2060093,0
27699,2082608,0
27801,2183924,0
27900,2043207,0
28011,2138895,0
28102,2138895,0
28195,1763631,0
28297,1810517,0
28397,1911833,0
28499,1979377,0
28598,2018778,0
28703,1872433,0
28799,1866804,0
28902,1450282,0
29005,1782374,0
29106,1737345,0
29203,1782374,0
29303,1731716,0
29404,1821775,0
29503,1754231,0
29606,1529084,0
29706,1624771,0
29810,1444654,0
29906,1799260,0
30006,2198896,0
30107,2097580,0
30206,2773020,564993
30304,2581645,373618
30411,2525359,317332
30512,2637932,429905
30614,2604160,396133
30712,2395899,187872
30813,2069436,0
30916,2851822,643795
31013,2908108,700081
31111,2851822,643795
31246,2579788,371761
31318,2251468,43441
31424,2195182,0
31535,2251468,43441
31634,2251468,43441
31726,2065722,0
31825,2122009,0
31932,2144524,0
32041,2195182,0
32150,2183924,0
32237,2251468,43441
32325,2122009,0
32427,2138895,0
32532,2122009,0
32643,2251468,43441
32726,2200810,0
32827,2015064,0
32934,2155781,0
33028,2178296,0
33135,2122009,0
33228,2015064,0
33329,2043207,0
33440,2026321,0
33542,2195182,0
33641,2251468,43441
33742,2026321,0
33845,2110752,0
33944,2122009,0
34042,2082608,0
34143,2155781,0
34265,2054465,0
34352,2110752,0
34452,2031950,0
34550,2167038,0
34649,2183924,0
34699,1964406,0
34797,2138895,0
34891,2251468,43441
35001,2195182,0
35098,2195182,0
35196,2093865,0
35298,2122009,0
35417,2093865,0
35495,2195182,0
35599,2195182,0
35711,2251468,43441
35805,2251468,43441
35923,2251468,43441
36008,2183924,0
36108,2251468,43441
36211,2195182,0
36301,2071351,0
36410,2009435,0
36503,2144524,0
36622,2088237,0
36702,2251468,43441
36803,2037579,0
36911,1840575,0
37011,2037579,0
37105,2015064,0
37210,1941891,0
37322,2183924,0
37411,2054465,0
37513,2043207,0
37613,2178296,0
37708,2195182,0
37813,2138895,0
37921,2155781,0
38026,2155781,0
38118,2110752,0
38226,2178296,0
38323,2251468,43441
38429,2178296,0
38518,2200810,0
38624,2144524,0
38719,2110752,0
38835,1778660,0
38925,2026321,0
39023,2251468,43441
39130,2076979,0
39232,2195182,0
39337,2127638,0
39430,2251468,43441
39532,2144524,0
39637,2251468,43441
39760,2251468,43441
39844,2251468,43441
39936,2251468,43441
40031,2060093,0
40136,2251468,43441
40238,2088237,0
40343,2195182,0
40439,2183924,0
40545,2251468,43441
40633,2195182,0
40748,2082608,0
40851,2183924,0
40937,2150152,0
41039,2251468,43441
41136,2183924,0
41248,2122009,0
41348,2144524,0
41448,2020693,0
41538,2251468,43441
41650,2195182,0
41747,2251468,43441
41853,2251468,43441
41950,2195182,0
42052,2195182,0
42144,2195182,0
42254,2144524,0
42357,2195182,0
42446,2122009,0
42548,2251468,43441
